,emrR
Cr_1,0.005001774578568831
Cr_2,0.006960753429407443
Cr_3,0.002073748274451166
Cr_4,0.0004991055426712734
Cr_5,-0.0007361477615800486
Cr_6,-0.0010561114591154613
Fe_1,-0.0002693630267292047
Fe_2,-0.005294063420674153
Fe_3,-0.006712915325304049
Fe_4,-0.00689165533351714
Fe_5,-0.0070482013781871375
Fe_6,-0.003314930600245472
Cd_1,0.002885211968234977
Cd_2,0.0008981249492535744
Cd_3,0.00020163860132549536
Cd_4,0.0018195114383927602
Cd_5,0.000928576125487715
Cd_6,0.003226454710412132
Zn_1,-0.0036339674887598773
Zn_2,0.0009870030427991993
Zn_3,0.004716712136537132
Zn_4,0.014787810706715926
Zn_5,0.027918887094112117
Zn_6,0.0418196366668312
Cu_1,0.0008800041947969413
Cu_2,0.003564397620003425
Cu_3,0.006261158573222747
Cu_4,0.004846548953168958
Cu_5,0.006003540708599871
Cu_6,0.019704750518018392
Pb_1,0.004295205560941647
Pb_2,0.007952684092021857
Pb_3,0.006571912284683018
Pb_4,0.006194474188927835
Pb_5,0.008294575660978876
Pb_6,0.01875085542301136
