,fliC
Cr_1,-0.009523197267210506
Cr_2,-0.021483504252995857
Cr_3,-0.02964306879709057
Cr_4,-0.05392715480106989
Cr_5,-0.06509955784820486
Cr_6,-0.08361753417508827
Fe_1,-0.021259500871420176
Fe_2,-0.0931148034813267
Fe_3,-0.10333723695564323
Fe_4,-0.15795933195371398
Fe_5,-0.15142418440091085
Fe_6,-0.0853250614277793
Cd_1,0.005731893693242568
Cd_2,0.006509813785348031
Cd_3,0.009438962896978645
Cd_4,0.015976457426735622
Cd_5,0.010323512587531891
Cd_6,0.006795715447982727
Zn_1,-0.000220240210401798
Zn_2,-0.009247203342044529
Zn_3,-0.013043192181798502
Zn_4,-0.012265852050370788
Zn_5,0.006401160262812657
Zn_6,0.0028910512854083393
Cu_1,0.005008695216915006
Cu_2,0.005551341483882851
Cu_3,0.015336076134120153
Cu_4,0.020370749937578116
Cu_5,0.020922733439800903
Cu_6,0.0107379935572734
Pb_1,0.0025350299524872165
Pb_2,-0.005851807991022969
Pb_3,-0.0026164721744150908
Pb_4,0.015433229644013112
Pb_5,0.024512421418876974
Pb_6,0.03249153740736506
