,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,0.0,0.6669519029337041,3.0,0.0,-0.513267303,1.0,-0.2406010492,2.0,0.7538683522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,-7.910162186666667,1.4385338801612109,3.0,3.0,-8.7916637469,4.0,-8.6886718274,5.0,-6.2501509857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,-7.050095217,1.4554497992059325,3.0,6.0,-6.1232673941,7.0,-6.2993935005,8.0,-8.727624756400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.229421046191072e-17,2.1216959484542324,21.0,9.0,-3.1587654783,10.0,-3.3592913695,11.0,-0.6873669063000001,12.0,2.1838560242,13.0,3.2437961675,14.0,3.9788488349,15.0,-1.3403607573,16.0,-0.8040719146,17.0,-0.41505814290000004,18.0,0.3819536355,19.0,1.1383302132,20.0,1.7548325213,21.0,2.1986885708,22.0,2.2894795668,23.0,1.3034613148,24.0,-3.1358534427,25.0,-1.5799351912000001,26.0,-2.0169147528,27.0,-0.9743615062000001,28.0,-0.0455152564,29.0,-0.9557521308
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,-5.339944773028571,1.1987397279292462,21.0,30.0,-5.559961374,31.0,-6.0646013478,32.0,-6.5892308171,33.0,-4.3624561682,34.0,-2.1486141274,35.0,-5.1736159823,36.0,-4.6232405978,37.0,-5.781980714,38.0,-6.15718892,39.0,-4.3882617473,40.0,-4.3712861071,41.0,-4.9732389766,42.0,-4.7049406776,43.0,-6.3752392359,44.0,-7.7281534912000005,45.0,-6.9144911011,46.0,-4.9226736994,47.0,-5.8850762222,48.0,-4.7511093258,49.0,-4.4355871894,50.0,-6.2278924114
5,WT_vs_Del_ccpA__THY_None_WT_exponential,9.25185853854297e-18,0.810787867203896,3.0,51.0,0.8535736614,52.0,-0.7598573473,53.0,-0.0937163141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,-4.801066376525,0.2493010859402441,4.0,54.0,-4.8926934586,55.0,-4.8845556181,56.0,-4.4344434773,57.0,-4.9925729521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,-1.3877787807814457e-17,0.39795806943714646,4.0,58.0,0.5824057062,59.0,-0.2017142744,60.0,-0.08365964170000001,61.0,-0.2970317901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,1.9164355505,0.46718878588209345,4.0,62.0,2.3853438661,63.0,2.1653508807,64.0,1.797655818,65.0,1.3173916372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,2.4440233039750003,0.5053581992784638,4.0,66.0,2.4739149115,67.0,3.1325950016,68.0,1.9562586257999999,69.0,2.213324677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,-2.1810437516750003,0.5672431597220052,4.0,70.0,-2.9366438922,71.0,-2.2422070773,72.0,-1.6037380680000002,73.0,-1.9415859692000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,-1.6666649541955774e-11,1.1924729084287706,6.0,74.0,-1.1115784874,75.0,-0.5554771774,76.0,-1.32804587,86.0,0.5087989062,88.0,1.7187372783,90.0,0.7675653502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,-5.878745408,2.8791077718500744,6.0,77.0,-8.7260661877,78.0,-8.3090919338,79.0,-8.3945674656,87.0,-3.4668563297,89.0,-2.5534739946,91.0,-3.8224165366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,3.873275575933333,0.2929548648232032,3.0,80.0,4.1946640232,82.0,3.8039851394,84.0,3.6211775652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,-2.3648542062666666,0.4053240052198519,3.0,81.0,-1.9001935242,83.0,-2.5486522167,85.0,-2.6457168779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,WT_vs_Del_fabT__THY_35°C_WT_mid-exponential_OD1.0,-3.3333326839487164e-11,0.3545568684206294,3.0,92.0,0.40629554170000004,93.0,-0.15951839410000002,94.0,-0.2467771477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,WT_vs_Del_fabT__THY_35°C_Del_fabT_mid-exponential_OD1.0,1.0915400205666668,0.6462104024790039,3.0,95.0,1.8370192001,96.0,0.6908097371,97.0,0.7467911245000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,WT_vs_Del_fabT__THY_40°C_WT_mid-exponential_OD1.0,1.4963923133,0.9949474397745637,3.0,98.0,0.9327829898000001,99.0,2.645191096,100.0,0.9112028541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,WT_vs_Del_fabT__THY_40°C_Del_fabT_mid-exponential_OD1.0,0.19015921243333336,0.32922775752683997,3.0,101.0,0.5667592220000001,102.0,0.0468062979,103.0,-0.0430878826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
