,prmB
Cr_1,0.0040440073799912785
Cr_2,0.01142536198402283
Cr_3,0.008220770554522501
Cr_4,0.00839844866422669
Cr_5,0.009621465763501787
Cr_6,0.008977182791717345
Fe_1,-0.003070500079964574
Fe_2,-0.0069777949903734255
Fe_3,-0.012096114026807991
Fe_4,-0.01565824359037569
Fe_5,-0.014114535164670447
Fe_6,-0.01100390956258196
Cd_1,-0.008914312130055425
Cd_2,-0.01914676111009674
Cd_3,-0.025862856317845444
Cd_4,-0.025482642796769175
Cd_5,-0.02796403250367296
Cd_6,-0.02582463855454957
Zn_1,-0.003939507384089957
Zn_2,-0.005101394397344925
Zn_3,0.006869976277215729
Zn_4,0.014396762088078234
Zn_5,0.02799984172955106
Zn_6,0.03928355661380082
Cu_1,-0.0019127637308589641
Cu_2,-0.0003428042740935953
Cu_3,0.005704652475654899
Cu_4,0.012536594375012613
Cu_5,0.010785702273854943
Cu_6,0.016344017741179447
Pb_1,0.0010755266417633751
Pb_2,-0.0012806818437006591
Pb_3,0.006461632431411939
Pb_4,0.012211058760243362
Pb_5,0.01643669394281191
Pb_6,0.01625230419391179
