,yhgA
Cr_1,0.004135574028368101
Cr_2,0.0070794895805705955
Cr_3,0.00755977373279383
Cr_4,0.018647408907430756
Cr_5,0.01290246814741798
Cr_6,0.01303905169181191
Fe_1,-0.010667151562299205
Fe_2,-0.01440668924859829
Fe_3,-0.014196817124284462
Fe_4,-0.02174966713688194
Fe_5,-0.019509171120549968
Fe_6,-0.014181923047895659
Cd_1,-0.002545133833389861
Cd_2,-0.0026506922370984963
Cd_3,-0.0021648671914030193
Cd_4,0.0036886387486074704
Cd_5,0.0011084444660208674
Cd_6,0.0017115581806707368
Zn_1,-0.013986889500662918
Zn_2,-0.017082616724593373
Zn_3,-0.0016887997685906878
Zn_4,0.016510139879124825
Zn_5,0.02810921036763933
Zn_6,0.028265522961057075
Cu_1,0.006556499047188467
Cu_2,0.006591619952302632
Cu_3,0.0158150195820535
Cu_4,0.015402185670123397
Cu_5,0.020790263829079617
Cu_6,0.030563460903348792
Pb_1,0.002299667179369489
Pb_2,0.006346689733556186
Pb_3,-0.0025322927752091176
Pb_4,0.0003879437741636933
Pb_5,0.002818561999414302
Pb_6,0.0005377404965103541
