,yeiG
Cr_1,-0.005622735294010214
Cr_2,-0.006886899351792128
Cr_3,-0.006764945036567747
Cr_4,-0.008758662205947197
Cr_5,-0.010472850829055644
Cr_6,-0.012965353464264287
Fe_1,-0.009962828850311734
Fe_2,-0.026840551188508626
Fe_3,-0.0438295982679421
Fe_4,-0.06383455872680906
Fe_5,-0.0831248129461075
Fe_6,-0.09574370962395444
Cd_1,0.0012997771105268995
Cd_2,0.004879195223901878
Cd_3,0.006716217468299096
Cd_4,0.00743707223357397
Cd_5,0.006714850217400121
Cd_6,0.011337906890658259
Zn_1,0.03811121245508271
Zn_2,0.2877377474005661
Zn_3,0.5770248131277763
Zn_4,0.789714736810744
Zn_5,0.9144981546118692
Zn_6,0.984420201728566
Cu_1,-0.009018382151376543
Cu_2,-0.016182327769910243
Cu_3,-0.022291047676115096
Cu_4,-0.0217520010472528
Cu_5,-0.019269625017384887
Cu_6,-0.015413440203456344
Pb_1,-0.00042589767733358777
Pb_2,0.008279405657761205
Pb_3,0.030074443289549887
Pb_4,0.061317289700839016
Pb_5,0.09835312195766983
Pb_6,0.14194058261198453
