,ygiW
Cr_1,-0.0076849890277377875
Cr_2,-0.009210430991282662
Cr_3,0.006469704044790666
Cr_4,0.031482947745922044
Cr_5,0.06212416554913304
Cr_6,0.09270260081927363
Fe_1,-0.017044668732840162
Fe_2,-0.03813269222188493
Fe_3,-0.05022133176530967
Fe_4,-0.0659025916004842
Fe_5,-0.06664403428891609
Fe_6,-0.07328125785845349
Cd_1,-0.0030773361445989955
Cd_2,-0.004903691921798029
Cd_3,0.001041778290768751
Cd_4,0.0031783713740115536
Cd_5,-0.000809193318098843
Cd_6,0.007736595350714231
Zn_1,-0.006333011809564547
Zn_2,-0.010887064223549608
Zn_3,0.03599653005423205
Zn_4,0.09143347688650014
Zn_5,0.15773529090861205
Zn_6,0.22175547934734152
Cu_1,-0.0004483674770957106
Cu_2,0.0015968904886448907
Cu_3,0.003929600243785912
Cu_4,0.006767167309870169
Cu_5,0.008942571904031655
Cu_6,0.008879833341243922
Pb_1,0.0025934880441771035
Pb_2,0.011130709730549457
Pb_3,0.02417860273949813
Pb_4,0.03360235830096221
Pb_5,0.03742074223378873
Pb_6,0.04829175544616797
