,bcsE
Cr_1,-0.007951200014621249
Cr_2,-0.003959515869820618
Cr_3,0.005290667908929605
Cr_4,0.011469427355416712
Cr_5,0.012666415205919731
Cr_6,0.012716917321798249
Fe_1,-0.007996065120704296
Fe_2,-0.0418916401125671
Fe_3,-0.0933212491153552
Fe_4,-0.14308185540086726
Fe_5,-0.1912297480769473
Fe_6,-0.23706998822172054
Cd_1,-0.0017152814817645516
Cd_2,-0.0026512211303867193
Cd_3,0.003038572453258575
Cd_4,0.00407102874599844
Cd_5,0.0009505379566670039
Cd_6,0.009071329675490238
Zn_1,0.01826209534089298
Zn_2,-0.0011560982763291127
Zn_3,-0.005261741459149155
Zn_4,-0.019064939239069382
Zn_5,-0.020159373131843482
Zn_6,-0.014271013235371385
Cu_1,0.005979629814569919
Cu_2,0.012252581064451177
Cu_3,0.015213206758638124
Cu_4,0.020382167135218832
Cu_5,0.0277342440620042
Cu_6,0.031943777186464004
Pb_1,0.003151205951056497
Pb_2,0.004009029737051952
Pb_3,0.011970314206955155
Pb_4,0.027053894614722674
Pb_5,0.041483392529079496
Pb_6,0.05479766072349263
