,pheP
Cr_1,-0.0028760147470015267
Cr_2,-0.005262268106963964
Cr_3,-0.006884051481409931
Cr_4,-0.009503634268307451
Cr_5,-0.018053017423471814
Cr_6,-0.021833377863381024
Fe_1,-0.012273108511271457
Fe_2,0.010906617290643359
Fe_3,0.06307564319492681
Fe_4,0.12302391000297687
Fe_5,0.17580883069795922
Fe_6,0.21050737916505755
Cd_1,-0.0019859441221011694
Cd_2,-0.0011890408060794568
Cd_3,0.006174677234521876
Cd_4,0.012720306285463627
Cd_5,0.017426332294794213
Cd_6,0.026429332257548337
Zn_1,-0.10894742269751063
Zn_2,-0.18033899770194708
Zn_3,-0.21285703600190292
Zn_4,-0.21950517754578694
Zn_5,-0.2250575714236934
Zn_6,-0.23242936892925106
Cu_1,-0.00038246261306802107
Cu_2,0.007320405025121964
Cu_3,0.02155258171508178
Cu_4,0.03895175890933431
Cu_5,0.05665023058388983
Cu_6,0.07634332583649787
Pb_1,0.0006974658225310968
Pb_2,0.020325848385369383
Pb_3,0.04770644361652258
Pb_4,0.04940052539550189
Pb_5,0.062280656218328775
Pb_6,0.08836580513781357
