k,name,in_iM,gene_weight,regulator,function,category
6,Iron,False,0.048479506373405465,,,
8,Zinc - Fast,False,-0.022908438462764025,,,
7,Zinc - Steady,False,-0.022309428043663503,,,
5,Lead,False,0.017242559418082237,,,
11,Chromium,False,-0.012669806350022557,,,
14,UC-7,False,0.011989927906543015,,,
12,Zinc - Intermediate,False,-0.006237154502522604,,,
9,UC-5,False,-0.005570425506097725,,,
13,UC-6,False,-0.004243073542602361,,,
4,UC-4,False,-0.0041555031249299644,,,
10,Copper,False,0.002533327855635434,,,
2,UC-3,False,-0.002192531335167587,,,
1,UC-2,False,-0.00190159383462742,,,
3,Cadmium,False,-0.001664690722245723,,,
0,UC-1,False,0.0016152214969042688,,,
