,yebB
Cr_1,0.0016573358351884516
Cr_2,0.004131091886302825
Cr_3,0.00941010584845812
Cr_4,0.013621448644479344
Cr_5,0.012864739419153554
Cr_6,0.013285974739160076
Fe_1,-0.009330189556455612
Fe_2,-0.034787945560793065
Fe_3,-0.0590782403232886
Fe_4,-0.08464005367886157
Fe_5,-0.10345730055568586
Fe_6,-0.11718903585972328
Cd_1,-0.0012244118106437005
Cd_2,0.0005070822045851151
Cd_3,0.004709980604338596
Cd_4,0.0069859393229069824
Cd_5,-0.0020787873108973525
Cd_6,0.0039338242175702715
Zn_1,0.0007577234021290693
Zn_2,0.0015773619969766616
Zn_3,0.006198506579269361
Zn_4,0.017304172401978294
Zn_5,0.029017521921429455
Zn_6,0.04061376904340427
Cu_1,0.002513369239797257
Cu_2,0.004479411957195746
Cu_3,0.015188145472156625
Cu_4,0.026199312867828332
Cu_5,0.037117526039830234
Cu_6,0.0457257224594694
Pb_1,-0.0030820714659011072
Pb_2,-0.003865289307918249
Pb_3,-0.00031320896206193645
Pb_4,0.0040516710277525
Pb_5,0.013988805630540124
Pb_6,0.021188148317024973
