,asnC
Cr_1,0.003136249661576045
Cr_2,0.008978716639004541
Cr_3,0.0199729402926704
Cr_4,0.031710366071477675
Cr_5,0.044452590260686216
Cr_6,0.05192140669465289
Fe_1,-0.012932754026806636
Fe_2,-0.03528913901852554
Fe_3,-0.061937748656707176
Fe_4,-0.10037803471297367
Fe_5,-0.1377771908212068
Fe_6,-0.1777407689728285
Cd_1,0.0010632212204916792
Cd_2,0.0022177189481187975
Cd_3,0.007390232205763614
Cd_4,0.008798143348001304
Cd_5,-0.0051954683165680035
Cd_6,-0.009262457267663518
Zn_1,-0.002435657537326053
Zn_2,-0.0006075439918488268
Zn_3,-0.0049306561648347095
Zn_4,-0.00405380164997944
Zn_5,-0.010449496355352212
Zn_6,-0.02159709264319824
Cu_1,-0.012433044553078405
Cu_2,-0.022552246852275325
Cu_3,-0.02952314388510855
Cu_4,-0.033642332702762026
Cu_5,-0.040156753764903685
Cu_6,-0.041101731126150336
Pb_1,0.014544090973821797
Pb_2,0.023337058536170158
Pb_3,0.03502005378226625
Pb_4,0.046163874326263066
Pb_5,0.05496961630427092
Pb_6,0.059132566133264834
