,sthA
Cr_1,0.001366248011973041
Cr_2,0.006053535239074539
Cr_3,0.009787686912594714
Cr_4,0.014081736010012369
Cr_5,0.017238797428752114
Cr_6,0.01857802207999976
Fe_1,0.002826831587710799
Fe_2,0.028605310826773363
Fe_3,0.05737545647062745
Fe_4,0.06272902401703828
Fe_5,0.06566042948078378
Fe_6,0.06277273715433727
Cd_1,0.03640367393599085
Cd_2,0.0821198840213334
Cd_3,0.1293052484779435
Cd_4,0.17179770522687599
Cd_5,0.2032600360605062
Cd_6,0.22694225492377404
Zn_1,-0.004697649917201827
Zn_2,0.00631579319432041
Zn_3,0.03544658793474701
Zn_4,0.06333288590019319
Zn_5,0.07562884900849304
Zn_6,0.07139503826809034
Cu_1,0.0040977266807558695
Cu_2,0.007429486610550856
Cu_3,0.018044959225055168
Cu_4,0.029183470579451483
Cu_5,0.0390171115171495
Cu_6,0.0490616283394561
Pb_1,-0.01358701107067929
Pb_2,-0.022869491424311883
Pb_3,-0.02668667627755952
Pb_4,-0.023882720987343696
Pb_5,-0.024164180849283998
Pb_6,-0.037309514461645266
