,moaA
Cr_1,-0.001487155637802459
Cr_2,0.0034668190346889877
Cr_3,0.0136275864363004
Cr_4,0.024437273633744736
Cr_5,0.032801794937916406
Cr_6,0.040893653423669934
Fe_1,-0.003504697996090856
Fe_2,-0.011866614915192563
Fe_3,-0.016196781065999134
Fe_4,-0.02633724061164541
Fe_5,-0.031791978818937534
Fe_6,-0.0377979417511315
Cd_1,0.0017954918051061696
Cd_2,0.0034463530345959052
Cd_3,0.0066124696497306176
Cd_4,0.012011926363148214
Cd_5,0.01714998339685348
Cd_6,0.02448777404911082
Zn_1,0.004356778698684915
Zn_2,0.007971771197512354
Zn_3,0.01746687369677322
Zn_4,0.030839974432414624
Zn_5,0.044317232104256615
Zn_6,0.05449580759095266
Cu_1,-0.001242349343215283
Cu_2,-0.0007890363063040082
Cu_3,0.003913311424446077
Cu_4,0.008520590888458818
Cu_5,0.012508702977654593
Cu_6,0.014603602299116374
Pb_1,0.0029516341613829416
Pb_2,0.006375570670412719
Pb_3,0.013468443972893871
Pb_4,0.02201423275596624
Pb_5,0.028190358024148918
Pb_6,0.03969655347734991
