,folD
Cr_1,0.0022470193853308404
Cr_2,0.0077134509416073955
Cr_3,0.011778117400491252
Cr_4,0.015025321401826563
Cr_5,0.017939155970948466
Cr_6,0.0118308670939471
Fe_1,-0.007518202304287256
Fe_2,-0.009684446946937392
Fe_3,-0.00867721999155969
Fe_4,-0.00730516585829565
Fe_5,-0.0009360069497932463
Fe_6,0.00827787813963292
Cd_1,0.0023869775358712074
Cd_2,0.007563004873476105
Cd_3,0.010032765328550727
Cd_4,0.013276450903031185
Cd_5,0.012073454527578657
Cd_6,0.014844835588097141
Zn_1,-0.008016665036567922
Zn_2,-0.017414719094084815
Zn_3,-0.004737700226587043
Zn_4,0.003668509708523597
Zn_5,0.009335006157830684
Zn_6,0.0194601213071396
Cu_1,0.002867348139392299
Cu_2,0.0014800030530410526
Cu_3,0.0027961312740111947
Cu_4,0.005677239456703421
Cu_5,0.013960901053609255
Cu_6,0.01965496084732061
Pb_1,0.0039676238146334995
Pb_2,0.003930140964103653
Pb_3,0.013311576659424132
Pb_4,0.01856019711203638
Pb_5,0.02598913411409097
Pb_6,0.038917952524011264
