,A,Cra
R2,,0.15732378634982214
xmin,,-7.2746930645
xmid,,
xmax,,2.0021776035
ystart,,15.882348599910625
yend,,-1.2591768805482215
control__wt_glc__1,-0.1806839919,0.0308891915
control__wt_glc__2,0.1806839919,-0.0308891915
fur__wt_dpd__1,1.0964601103,-1.1877552405
fur__wt_dpd__2,1.2227916112,-1.1737682105
fur__wt_fe__1,0.7735197153000001,-0.3327269625
fur__wt_fe__2,0.5796365729,-0.2594009255
fur__delfur_dpd__1,1.4008687745000001,-1.0912162295
fur__delfur_dpd__2,1.1917156404,-1.0673563795
fur__delfur_fe2__1,0.1593645779,-0.5522316355
fur__delfur_fe2__2,0.27649709,-0.5848465775
acid__wt_ph5__1,0.8087528962,-0.23737093050000002
acid__wt_ph5__2,0.9428321873000001,-0.24076136350000002
acid__delgadx_ph5__2,0.7801214023,-0.2069328745
acid__delgadw_ph5__1,0.7868237538,-0.28221490650000003
acid__delgadw_ph5__2,0.2022875812,-0.2312081875
acid__delgade_ph5__1,0.9016823945,-0.1426848045
acid__delgade_ph5__2,0.8553867578000001,-0.2107098605
oxidative__wt_pq__1,1.7839404463,-0.9948958295
oxidative__wt_pq__2,1.1148115007,-1.0895483045
oxidative__deloxyr_pq__1,-0.6363144593,-0.22714133450000001
oxidative__deloxyr_pq__2,-0.87406165,-0.1089024705
oxidative__delsoxr_pq__1,1.5314390949,-0.8179514835
oxidative__delsoxr_pq__2,1.3282158961000001,-0.8006893435
oxidative__delsoxs_pq__1,2.0471037102,-1.1173508365
oxidative__delsoxs_pq__2,2.0584833917,-0.9308994235
nac_ntrc__wt_csn__1,1.0206884998,-0.2068408135
nac_ntrc__wt_csn__2,0.5943341971,-0.2683508555
nac_ntrc__wt_cytd__1,0.32788630280000003,-0.0824133625
nac_ntrc__wt_cytd__2,0.1316928297,-0.1677115365
nac_ntrc__wt_gln__1,-0.1624437433,0.0801267355
nac_ntrc__wt_gln__2,0.5997063591,0.0043702345
nac_ntrc__bw_delnac_csn__1,2.3019570791,-0.3579043765
nac_ntrc__bw_delnac_csn__2,1.9075688583,-0.1233860915
nac_ntrc__bw_delnac_cytd__1,1.1111502538,-0.18457792450000002
nac_ntrc__bw_delnac_cytd__2,1.2886829719000001,-0.21771202550000002
nac_ntrc__bw_delnac_gln__1,1.3265196446,-0.058414558500000005
nac_ntrc__bw_delnac_gln__2,0.6459642205,0.0276207205
nac_ntrc__bw_delnac_nh4__1,0.6613829224000001,-0.1843641365
nac_ntrc__bw_delnac_nh4__2,0.2927857868,-0.2454034005
misc__wt_no_te__1,1.3691410027,-0.46721748750000003
misc__wt_no_te__2,0.6984615682,-0.2667226935
misc__bw_delcbl__1,1.3876133674,-0.2915494965
misc__bw_delcbl__2,1.1144625993,-0.28677707750000003
misc__bw_delfabr__1,1.1721692394,-0.2201390145
misc__bw_delfabr__2,1.4049773869,-0.3216772765
misc__bw_delfadr__1,0.8418453963,-0.2075440335
misc__bw_delfadr__2,1.3888491129,-0.1982028295
misc__nitr_031__1,1.2684945635,-0.2527009105
omics__wt_glu__1,-1.1379483271,0.2896546635
omics__wt_glu__2,-0.5479300557,0.1785036485
omics__wt_gly__1,-0.9080939431,0.0584354255
omics__wt_gly__2,-0.7817881531,0.08485717250000001
omics__wt_thr__1,4.6897844928,0.6122284505000001
omics__wt_thr__2,4.7160986737,0.6146578485
omics__bw_ac__1,-1.3449085081,0.8817667035000001
omics__bw_ac__2,-1.47947875,0.8924773015
omics__bw_fum__1,-0.8174263861000001,0.5877983865
omics__bw_fum__2,-0.7913087198000001,0.5226877135
omics__bw_glc__1,-0.3991846557,0.0273994885
omics__bw_glc__2,0.232305276,0.0728779705
omics__bw_pyr__1,-1.7166467485,0.4805777875
omics__bw_pyr__2,-1.6733641149,0.5675752305
ompr__wt_nacl__1,3.4958429304,-1.5929679745
ompr__wt_nacl__2,3.0937541139,-1.7497737265
ompr__bw_delompr_nacl__1,3.8740915974,-1.7213951165
ompr__bw_delompr_nacl__2,3.4757821068,-1.8707998295000001
minspan__wt_ade__1,0.3401199064,-0.4489845905
minspan__wt_glc__2,1.1885145899,-0.2207924055
minspan__wt_glc__3,0.8036201337000001,-0.1532301705
minspan__wt_glc__4,1.1342199215,-0.1654427225
minspan__wt_glc_anaero__1,2.2850916799,0.7999081985000001
minspan__wt_glc_anaero__2,2.9819647022,1.1722754415
minspan__wt_trp__1,11.0239386374,0.4102215775
minspan__bw_delcra_glc__2,17.0372155533,-6.3602353955
minspan__bw_delcra_trp__1,17.8458215363,-4.7930176055
minspan__bw_delmntr__1,10.2759839635,0.5425909545000001
minspan__bw_delnac_ade__1,1.6128651736,-0.7930149015
minspan__bw_delnac_glc__1,-1.2245456543,-0.0986223765
cra_crp__wt_ac__1,-1.6140652640000002,0.9012172285000001
cra_crp__wt_ac__2,-1.759295966,1.1057735505
cra_crp__wt_fru__1,9.3624408953,0.7123657575
cra_crp__wt_fru__2,8.831596275,0.47676490250000003
cra_crp__delcra_ac__1,17.2033722806,-7.2746930645
cra_crp__delcra_ac__2,17.4575970122,-7.2746930645
cra_crp__delcra_fru__1,14.9657213639,-7.2746930645
cra_crp__delcra_fru__2,14.9469776062,-7.2746930645
cra_crp__delcra_glc__1,15.3883402359,-7.2746930645
cra_crp__delcra_glc__2,15.017715512,-7.2746930645
rpoB__wt_031__1,1.2373393562000001,0.7803328845
rpoB__wt_044__1,1.0608116034,0.10390239150000001
rpoB__wt_lb__1,2.1603548862,0.5522476165
rpoB__wt_lb__2,2.3891375884,0.5466030005
rpoB__rpoBE546V_031__1,1.4352243361,0.5672867075
rpoB__rpoBE546V_044__1,0.5639730001000001,0.5335004895000001
rpoB__rpoBE546V_lb__1,1.2207574011,0.6674809845
rpoB__rpoBE546V_lb__2,1.2538713705,0.5745490675
