,new_1073110_1073875
M9exp_1,9.46
M9exp_2,9.25
M9exp_3,9.14
M9tran_1,9.36
M9tran_2,9.46
M9tran_3,9.35
M9stat_1,9.24
M9stat_2,9.09
M9stat_3,8.9
MG-0.1_1,9.13
MG-0.1_2,8.06
MG-0.1_3,9.82
MG-0.2_2,9.28
MG-0.2_3,9.51
MG+5_1,10.09
MG+5_2,9.26
MG+5_3,9.61
MG+10_1,10.45
MG+10_2,9.77
MG+10_3,8.33
MG+15_1,9.84
MG+15_2,10.21
MG+15_3,10.07
MG+25_1,9.62
MG+25_2,8.86
MG+25_3,10.02
MG+45_1,9.88
MG+45_2,8.57
MG+45_3,9.96
MG+60_2,9.21
MG+60_3,9.48
MG+90_2,8.63
MG+90_3,9.75
MG+120_1,8.76
MG+120_2,9.22
MG+120_3,8.89
MG+150_1,9.14
MG+150_3,9.68
GM-0.1_1,9.1
GM-0.1_2,9.46
GM-0.1_3,9.91
GM-0.2_1,8.85
GM-0.2_2,9.22
GM-0.2_3,9.31
GM+5_1,8.72
GM+5_2,9.23
GM+5_3,9.57
GM+10_2,9.45
GM+10_3,8.85
GM+15_1,9.37
GM+15_2,9.65
GM+15_3,9.73
GM+25_1,10.14
GM+25_2,10.23
GM+25_3,9.22
GM+45_1,9.12
GM+45_2,8.08
GM+45_3,8.83
GM+60_1,9.07
GM+60_2,7.83
GM+60_3,8.48
GM+90_1,9.31
GM+90_2,9.71
GM+90_3,9.15
GM+120_1,8.57
GM+120_3,9.7
GM+150_1,9.63
GM+150_2,9.47
GM+150_3,9.17
BT_1,10.58
BT_2,9.63
B36_1,9.16
B36_2,8.92
B60_1,9.3
B60_2,9.63
S0_1,9.82
S0_2,10.47
S0_3,10.33
S1_1,8.78
S1_2,9.74
S1_3,8.57
S2_1,9.9
S2_2,10.12
S2_3,9.46
S3_1,9.57
S3_2,9.06
S4_1,9.38
S4_2,10.06
S4_3,9.5
S5_1,9.2
S5_2,8.83
S5_3,9.16
S6_1,9.49
S6_2,8.4
S6_3,8.78
S6/t_1,9.62
S6/t_2,8.36
S6_4,9.15
S6_5,9.55
S6_6,9.13
S7_4,10.12
S7_5,10.17
S7_6,10.34
S8_4,10.05
S8_5,10.05
G135_1,9.14
G135_3,8.23
G150_1,9.02
G150_2,9.32
G150_3,9.17
G180_1,8.77
G180_2,8.89
G180_3,8.68
T-5.40H_1,9.43
T-4.40H_1,9.81
T-3.40H_1,9.7
T-2.40H_1,9.32
T-1.40H_1,9.62
T-1.10H_1,9.27
T-0.40H_1,9.34
T0.0H_1,9.19
T0.30H_1,10.8
T1.0H_1,9.63
T1.30H_1,9.51
T2.0H_1,9.48
T2.30H_1,9.51
T3.0H_1,9.17
T3.30H_1,9.49
T4.0H_1,9.11
T5.0H_1,9.17
LBexp_1,10.02
LBexp_2,10.79
LBexp_3,10.44
LBtran_1,10.13
LBtran_2,9.93
LBtran_3,10.02
LBstat_1,11.38
LBstat_2,11.03
LBstat_3,10.93
LBGexp_1,9.32
LBGexp_2,10.17
LBGexp_3,10.18
LBGtran_2,10.12
LBGtran_3,9.74
LBGstat_1,9.01
LBGstat_2,8.9
LBGstat_3,10.09
Mt0_1,10.14
Mt0_3,9.7
M0t45_1,10.68
M0t45_2,10.81
M0t45_3,11.23
M0t90_1,9.82
M0t90_2,11.54
M0t90_3,10.58
M40t45_1,10.46
M40t45_2,10.85
M40t45_3,11.34
M40t90_1,10.06
M40t90_2,11.34
M40t90_3,11.34
dia0_1,9.83
dia0_2,10.74
dia0_3,10.3
dia5_1,10.05
dia5_2,10.88
dia5_3,10.44
dia15_1,11.41
dia15_2,11.14
dia15_3,10.06
C30_1,9.9
C30_2,10.15
C90_1,10.55
C90_2,9.64
SMM_1,9.5
SMM_2,9.47
SMM_3,9.53
Salt_1,10.49
Salt_2,10.47
Salt_3,10.41
M+G_1,10.1
M+G_2,9.73
M+G_3,10.13
Glu_1,9.67
Glu_2,9.91
Glu_3,9.96
Fru_1,10.88
Fru_2,10.97
Fru_3,9.64
Mal_1,9.06
Mal_2,10.33
Mal_3,9.91
G+S_2,10.31
G+S_3,10.19
Pyr_1,9.91
Pyr_2,10.34
Pyr_3,9.98
Gly_1,10.09
Gly_2,10.91
Gly_3,10.14
Glucon_1,9.56
Glucon_2,9.68
Glucon_3,9.19
BI_1,10.02
BI_2,9.93
BC_2,9.4
BC/t_1,9.8
BC/t_2,10.07
BC_1,8.74
Sw_1,9.56
Sw_2,9.34
BMM_1,9.32
BMM_2,9.23
BMM_3,10.02
Heat_1,10.91
Heat_2,10.45
Heat_3,10.58
Cold_1,10.85
Cold_2,10.49
Cold_3,9.85
Etha_1,11.01
Etha_2,11.14
Etha_3,11.04
SMMPr_1,9.72
SMMPr_2,9.56
SMMPr_3,9.98
HiTm_1,8.47
HiTm_2,9.34
HiTm_3,9.35
LoTm_1,9.59
LoTm_2,9.2
LoTm_3,8.78
HiOs_1,9.43
HiOs_2,10.11
HiOs_3,9.67
Oxctl_1,9.05
Oxctl_2,9.69
Oxctl_3,10.31
Diami_1,9.72
