,A,LeuO
R2,,0.030847627462644023
xmin,,-2.433599924
xmid,,
xmax,,2.8350950900000003
ystart,,-4.87262250702211
yend,,1.4320950029365995
ecoli_00001,-0.2703919182,0.040954031
ecoli_00002,0.2703919182,-0.040954031
ecoli_00003,5.9149341139,0.13763054
ecoli_00004,6.2521691689,0.08014075400000001
ecoli_00005,0.3159011472,-0.317217433
ecoli_00006,0.5685141424,-0.044441411
ecoli_00007,3.1238959732,0.727252168
ecoli_00008,2.4710214746,0.895689265
ecoli_00009,1.7949729418,-0.1198699
ecoli_00010,1.4500796628,-0.227403978
ecoli_00011,0.3509286044,-0.167129148
ecoli_00012,0.459350276,-0.236193018
ecoli_00014,0.3336464783,-0.15811703800000002
ecoli_00015,0.25445269260000003,-0.336886501
ecoli_00016,0.471305843,-0.07592660400000001
ecoli_00017,0.5018811848,0.14740077000000001
ecoli_00018,0.5697423665,-0.167909724
ecoli_00019,9.1199920603,-0.6767043490000001
ecoli_00020,9.2163096699,-0.8838247300000001
ecoli_00021,8.8840954758,-0.18730031100000002
ecoli_00022,9.0634611275,-0.401799444
ecoli_00023,10.0308179406,-0.248956592
ecoli_00024,10.0692283933,-0.24630438000000002
ecoli_00025,9.1758535494,-0.44925657100000005
ecoli_00026,9.2607210306,-0.46703725300000004
ecoli_00027,3.5007585069,1.155184548
ecoli_00028,3.56066501,1.112523071
ecoli_00029,0.12282272470000001,0.36235990300000004
ecoli_00030,-0.1252154193,0.266253192
ecoli_00031,-0.39132239350000003,1.373282923
ecoli_00032,0.0262403612,1.29132909
ecoli_00033,0.9109990290000001,0.37202483000000003
ecoli_00034,1.8256429987,0.24142854200000002
ecoli_00035,0.1518318185,0.009958305
ecoli_00036,0.6949418311000001,0.26847118600000003
ecoli_00037,-1.2717430394,-0.387910586
ecoli_00038,-0.8252061101,0.30071684600000004
ecoli_00039,1.3602888869,-0.07479838800000001
ecoli_00040,2.0397297511,-0.006636232000000001
ecoli_00041,1.8662251599,0.39263507400000003
ecoli_00042,0.8036450121000001,-0.072422464
ecoli_00043,2.5803187177,-0.208640722
ecoli_00044,2.8591172217,0.014041107
ecoli_00045,2.4703282168,-1.074158577
ecoli_00046,2.5794272608,-0.46148028700000004
ecoli_00047,2.6841435074,-0.06692136600000001
ecoli_00048,2.4822761386,-0.304557187
ecoli_00049,1.8135800029,0.141377737
ecoli_00050,0.31545271,-0.048965676
ecoli_00051,-0.28592420550000003,-0.32065360800000003
ecoli_00052,-0.2322817982,-0.1710235
ecoli_00053,-0.11986611130000001,-0.132848472
ecoli_00054,-4.1978736714,1.243544192
ecoli_00055,-3.2643554169,1.18287943
ecoli_00056,-0.9938602474,-0.005162105
ecoli_00057,-1.1689799187,0.546318843
ecoli_00058,-2.5344663732,0.355429851
ecoli_00059,-2.9548918662,-0.031374383
ecoli_00060,-2.7177770959,0.292730498
ecoli_00061,-2.7724718302999998,0.033277156
ecoli_00062,-3.6689692151,0.9305991370000001
ecoli_00063,-4.245768018,0.421815733
ecoli_00064,-4.2598011686,-0.330434969
ecoli_00065,-4.219310353,-0.314991574
ecoli_00066,-6.759329279,-0.371075191
ecoli_00067,-6.5717592565,-0.23903770600000002
ecoli_00068,0.3588202515,1.078137457
ecoli_00070,-0.15992696650000002,0.177021793
ecoli_00071,-0.9705121393,0.6247662230000001
ecoli_00072,-0.8771515969,0.34636137
ecoli_00073,-1.6243847359,1.558017887
ecoli_00074,-2.6498284193,0.9235749510000001
ecoli_00075,-3.9489336128,1.151477943
ecoli_00077,-1.7326126768,1.9352178050000002
ecoli_00078,-4.3576009797,2.8350950900000003
ecoli_00079,-1.9215467937000001,0.727923037
ecoli_00080,-0.44627569920000004,1.641787136
ecoli_00081,-0.7609295475000001,0.9316758810000001
ecoli_00082,-0.2704712582,-0.076998305
ecoli_00083,0.1814834663,-0.124633611
ecoli_00084,0.8911618119,0.11226119500000001
ecoli_00085,0.36647999880000004,0.260860228
ecoli_00086,-2.5562857660000002,-0.13203088
ecoli_00087,-3.0292748397,-0.449146456
ecoli_00088,1.6179864644,-0.035982231
ecoli_00089,1.4253342605000001,0.057382508000000006
ecoli_00090,1.6869669499,-0.08997983100000001
ecoli_00091,1.9042869819,0.175026076
ecoli_00092,-0.5773797262,0.7206342330000001
ecoli_00093,0.35652275920000004,-0.18275107200000001
ecoli_00094,-14.1737385062,0.5054719670000001
ecoli_00095,-13.8311889389,0.711144262
ecoli_00096,0.7187142069,0.665388376
ecoli_00097,0.9125123481,0.5396506520000001
ecoli_00098,-11.3630792633,0.26868348200000003
ecoli_00099,-10.8709075172,-0.343223504
ecoli_00100,0.8555046043000001,-0.54935733
ecoli_00101,1.5149497837,-0.163843454
ecoli_00102,1.0010683789,-0.050527874
ecoli_00103,-11.5980135286,-0.74532414
ecoli_00104,-11.3796259572,-0.9490855090000001
ecoli_00105,-1.6018626071000002,-0.23202213300000002
ecoli_00106,-1.0377358543,-0.487495695
ecoli_00107,-1.322528331,-0.126055669
ecoli_00108,-0.3218280506,0.39389592500000004
ecoli_00109,-1.3348944647,0.352046171
ecoli_00110,1.0082358879,0.097358121
ecoli_00111,0.9614135875,-0.008823492
ecoli_00112,0.4943920183,-0.022446661
ecoli_00113,1.1071589278,0.789943786
ecoli_00114,1.9168288077,1.031951484
ecoli_00115,1.9007949388,1.112183253
ecoli_00116,3.6431735984999998,-0.11879010200000001
ecoli_00117,3.1848268027,-0.010179708
ecoli_00118,3.1268826218,-0.593332422
ecoli_00119,1.3817880654999999,-0.06689537200000001
ecoli_00120,1.4434895423,-0.30060838100000004
ecoli_00121,1.2659051043,-0.29860403900000004
ecoli_00122,1.0653693832,-0.153189594
ecoli_00123,1.1169238434,0.005727252
ecoli_00124,1.8335422488000002,0.182475309
ecoli_00125,-1.8693520645000001,-0.144782788
ecoli_00126,1.1643720699,-2.433599924
ecoli_00127,2.2474055838,-1.062971117
ecoli_00128,1.8753697356,-1.319903721
ecoli_00129,-1.5675215355,-0.27538321600000004
ecoli_00130,-0.3404461288,-0.477380097
ecoli_00131,-1.3090153574,0.633566857
ecoli_00132,1.5478061051,-0.17786142200000002
ecoli_00133,-1.7421782324000001,-0.064643158
ecoli_00134,4.1499850508,0.044089767
ecoli_00135,1.9870562485,-0.700110251
ecoli_00136,-0.4099309848,-1.055057563
ecoli_00137,0.2788608883,-0.193835966
ecoli_00138,-2.5184466717,-0.5008309670000001
ecoli_00139,-0.27623355780000003,-0.8334269740000001
ecoli_00140,1.0768040055,-1.039784925
ecoli_00141,-2.6528993869,-0.39196698700000004
ecoli_00142,-3.5962288106,-0.45576853300000003
ecoli_00143,1.1162576799,-0.194018779
ecoli_00144,-5.2303253554,0.8660770120000001
ecoli_00145,-8.4582717492,2.304879919
