,-0.09359880555555555,-0.07019910416666666,-0.04679940277777778,-0.02339970138888889,0.0,0.02339970138888889,0.04679940277777778,0.07019910416666666,0.09359880555555555,0.11699850694444444,0.14039820833333333,0.1637979097222222,0.1871976111111111,0.21059731250000002,0.23399701388888888,0.25739671527777774,0.28079641666666666,0.3041961180555556,0.32759581944444444,0.3509955208333333
thresh,-0.10529865625,0.10529865625,7,,,,,,,,,,,,,,,,,
unreg,0,1,13,477,2393,395,11,1,1,1,0,0,0,0,0,0,0,0,0,0
ppGpp,0,1,4,119,640,111,7,4,0,0,0,0,0,0,0,0,0,0,0,0
LeuO,0,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leu-tRNA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp and LeuO,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppGpp and Leu-tRNA,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ppGpp, LeuO, and Leu-tRNA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['ilvC'],[],[],[],[],[],[],[],[],[],[]
ppGpp_genes,[],['emrD'],['yddM' 'purR' 'yfdF' 'dgcM'],"['allB' 'ftp' 'yegQ' 'recO' 'mutM' 'yihY' 'recX' 'elaB' 'ybgS' 'ybaP'
 'yceA' 'dkgA' 'holD' 'yadV' 'yaeI' 'csiD' 'ygaM' 'ycfZ' 'puuD' 'argH'
 'yhjC' 'udk' 'ynfD' 'menD' 'udp' 'yhjY' 'ybhG' 'ybhF' 'pyrB' 'dtd' 'potI'
 'yeiS' 'glpA' 'yceD' 'nudI' 'fliP' 'aphA' 'ecnB' 'rsmG' 'pepT' 'yhhA'
 'yehE' 'tam' 'yhiI' 'mdtJ' 'yecJ' 'dctA' 'yjbR' 'ybfE' 'ybgA' 'fadD'
 'ycaM' 'ybhS' 'yjbD' 'spy' 'evgS' 'mltF' 'yhcB' 'rluC' 'proX' 'wrbA'
 'rsxG' 'nikR' 'ydiY' 'lhgO' 'yebF' 'rimI' 'dtpB' 'ariR' 'rplM' 'recF'
 'rof' 'betB' 'mntP' 'yiiS' 'yihX' 'queD' 'osmB' 'yiiD' 'yfaZ' 'ygdQ'
 'yfjW' 'upp' 'envR' 'wbbH' 'rplK' 'trmD' 'rsmB' 'kdpC' 'tcdA' 'rpmB'
 'menH' 'xylR' 'thrA' 'yjjJ' 'hslO' 'mdtI' 'hdeD' 'betI' 'dauA' 'pheP'
 'tsgA' 'yfhL' 'yqgC' 'rplA' 'waaA' 'pyrR' 'atpI' 'tabA' 'rlmN' 'tyrP'
 'yqaE' 'rnd' 'slp' 'ydiV' 'yegP' 'dhaR' 'murR' 'rffC']","['gluQ' 'bioA' 'pyrI' 'rpsT' 'hisP' 'yhfA' 'ydiZ' 'eutD' 'osmY' 'yfcZ'
 'yafD' 'csgG' 'ccmB' 'cysB' 'ybhR' 'rsfS' 'tufB' 'csrA' 'ymgA' 'rfbC'
 'atpB' 'ldtD' 'gadA' 'plsX' 'blc' 'rpsI' 'kch' 'tsaB' 'rplQ' 'ygiV'
 'cysQ' 'dgcF' 'rluB' 'yiaG' 'acnA' 'yqeG' 'rpsB' 'nth' 'raiA' 'rlmA'
 'yjgH' 'pphB' 'yabI' 'yhdH' 'yegS' 'rplJ' 'mltD' 'yggE' 'marR' 'ykfB'
 'rnt' 'tyrB' 'yccJ' 'yjbQ' 'yjgL' 'flhD' 'rlmG' 'grxB' 'hdfR' 'iraD'
 'yiaC' 'qseC' 'kup' 'rsxE' 'insI-1' 'insA-1' 'frr' 'gfcC' 'dusB' 'ycjY'
 'gcvH' 'ybfA' 'ybjP' 'rplI' 'yihI' 'rnc' 'hpf' 'pqiA' 'envY' 'treA'
 'endA' 'purD' 'rpsR' 'setA' 'nlpC' 'phr' 'rpsP' 'ytfB' 'rfbB' 'menE'
 'uraA' 'ruvC' 'yghA' 'thiQ' 'yhbW' 'ygiQ' 'cvpA' 'uspA' 'gcvT' 'rfbX'
 'yhiD' 'suhB' 'uup' 'mazF' 'gpt' 'yhaJ' 'sbmC' 'yjiK' 'glnH' 'dgcJ'
 'mazG' 'rlmC' 'gabD' 'ugpB' 'yjdC' 'cfa' 'yjjU' 'rfbA' 'yagU' 'priB'
 'ytfI' 'yhhN' 'yjaZ' 'rsd' 'mdfA' 'hcaT' 'menA' 'pyrF' 'purC' 'dgt'
 'pitA' 'atoD' 'truB' 'pdeL' 'dnaA' 'fis' 'opgH' 'narU' 'qorA' 'rplY'
 'smf' 'argB' 'rseA' 'rpoD' 'rimM' 'hisM' 'ygcN' 'yjiR' 'secY' 'miaB'
 'rpoA' 'yiiX' 'sgbE' 'thiP' 'yeiG' 'ybdK' 'yfiP' 'tesA' 'msrA' 'nudK'
 'prkB' 'fucR' 'ydiP' 'yaeP' 'rpsK' 'pabA' 'yejK' 'insA-7' 'nrfA' 'tsf'
 'yghD' 'yfcJ' 'mgtA' 'rpsF' 'purK' 'thiB' 'yfdG' 'yfbU' 'era' 'yafC'
 'asnB' 'rplO' 'nlpA' 'obgE' 'gsiA' 'sufE' 'yidC' 'yhaH' 'hcaB' 'cbpA'
 'yjbJ' 'dusC' 'purF' 'nudB' 'iaaA' 'fpr' 'rlmH' 'cadA' 'gadB' 'thiI'
 'trmA' 'smg' 'ybjQ' 'queA' 'hdeB' 'ftsA' 'kbp' 'yebQ' 'nrdH' 'yehY' 'tas'
 'mscK' 'bcsE' 'rpsE' 'yciI' 'hdeA' 'rseB' 'prmA' 'gsk' 'purB' 'sufS'
 'yjcE' 'rplU' 'ybbC' 'sufA' 'pspF' 'cspA' 'yceM' 'alkA' 'ybcI' 'yciH'
 'clcB' 'yeaH' 'prs' 'hisJ' 'rutR' 'osmE' 'ldtB' 'rplS' 'rpoE' 'msyB'
 'ytfL' 'ydfV' 'ydgK' 'rbsA' 'aroK' 'cutA' 'ycgZ' 'ycbZ' 'srmB' 'yjeI'
 'rpsU' 'artM' 'yihD' 'yniA' 'yhcN' 'cbpM' 'yeaO' 'recQ' 'wecB' 'purL'
 'rpmA' 'rhlE' 'yhbE' 'nrdF' 'ydcV' 'mnaT' 'trmI' 'yfdX' 'yhdT' 'rfbD'
 'ynjE' 'purE' 'rpmE' 'ychQ' 'uspE' 'yqhH' 'yjiJ' 'wecC' 'hisQ' 'rnpA'
 'ansA' 'intA' 'gspC' 'cedA' 'pgl' 'ybjS' 'dacC' 'trmJ' 'argF' 'otsB'
 'ftsK' 'rsxD' 'yafV' 'gltA' 'dbpA' 'yhhX' 'rluD' 'lpxB' 'deaD' 'waaQ'
 'glnP' 'phoH' 'rpsD' 'rnhB' 'rplX' 'yjgR' 'ybaT' 'kdpB' 'mcrA' 'yicI'
 'dnaE' 'yidD' 'ispD' 'yibT' 'rsxC' 'trxA' 'yegR' 'glsB' 'otsA' 'yeaY'
 'cysK' 'yqeH' 'rplF' 'aspS' 'crp' 'purH' 'rplR' 'yjeM' 'cecR' 'puuA'
 'infB' 'thiL' 'yfcF' 'yieF' 'yraQ' 'yebO' 'hsdR' 'proW' 'bipA' 'osmF'
 'yhiN' 'yccU' 'yehX' 'yfcC' 'rpsM' 'kptA' 'gcvP' 'potC' 'yejL' 'gabT'
 'yejM' 'ycgB' 'sfmC' 'rluA' 'rsxB' 'pspG' 'ftnB' 'fucU' 'cysN' 'rplE'
 'relA' 'rplT' 'ybcV' 'opgC' 'rplN' 'lpxL' 'essD' 'rplL' 'wzxC' 'znuB'
 'hisD' 'yoaC' 'nlpI' 'kefB' 'mreC' 'yhhY' 'mglC' 'yihG' 'gabP' 'dnaC'
 'aroB' 'rarD' 'glcF' 'speA' 'epmA' 'ispU' 'ycdZ' 'yccT' 'ycaP' 'sdaC'
 'lysO' 'ygjR' 'proY' 'fadE' 'rsxA' 'mioC' 'gntP' 'argR' 'pth' 'sufD'
 'trpC' 'mrdA' 'yfjF' 'uspC' 'ykgF' 'yfaA' 'rlmF' 'yhjV' 'tolQ' 'ytiD'
 'yccS' 'ycjN' 'ldtE' 'pssA' 'lysP' 'pyrD' 'ftsZ' 'ydcL' 'ydgI' 'betA'
 'yidE' 'cspD' 'dnaN' 'rpsJ' 'yqcC' 'ampD' 'rhaT' 'murJ' 'yhfZ' 'yaiA'
 'ycaO' 'argO' 'rfaH' 'yphA' 'tgt' 'lrp' 'tag' 'ftsQ' 'uspB' 'potA' 'yojI'
 'yohC' 'folA' 'rbsC' 'gstB' 'rpmH' 'cheZ' 'efp' 'lepB' 'metN' 'rpsL'
 'greA' 'gntU' 'msbA' 'pyrG' 'tktB' 'dps' 'nac' 'pgeF' 'nrdE' 'dgcT'
 'proV' 'rimP' 'yecT' 'mrcA' 'mreD' 'sufB' 'ycaD' 'agp' 'narZ' 'yqeF'
 'mltG' 'ytiC' 'rapA' 'nusA' 'yhjD' 'sgrR' 'yciA' 'yiiQ' 'rsmF' 'ndk'
 'artQ' 'yebV' 'ttcA' 'lpxT' 'lpxH' 'ssuA' 'yicH' 'yheV' 'infC' 'pcnB'
 'sufC' 'gcvR' 'metI' 'yafW' 'rpsN' 'insL-3' 'cspF' 'uspD' 'pyrL' 'glgP'
 'yeaG' 'mnmE' 'gltX' 'yghU' 'amn' 'qseB' 'potB' 'yagN' 'lpxK' 'nrdI'
 'yahO' 'ppnN' 'fkpA' 'yafT' 'rimO' 'chiQ' 'ycfH' 'clpA' 'ybgI' 'glgB'
 'prfB' 'xdhC' 'kefG' 'rpsH' 'yqiK' 'folK' 'yhbO' 'rayT' 'ybeL' 'mrdB'
 'rlmL' 'ymfA' 'cmoA' 'hcaE' 'csgF' 'rplC' 'sodC' 'argS' 'yjhI' 'zupT'
 'purM' 'bolA' 'xanP' 'yehS' 'insL-2' 'fadL' 'yjfY' 'cdsA' 'mazE' 'apt'
 'leuE' 'znuC' 'hlyE' 'tadA' 'parE' 'yedP' 'cmoB' 'yjdF' 'prfA' 'rpoS'
 'prmC' 'gadE' 'yehW' 'ansP' 'lpxP' 'sixA' 'dgoR' 'prfC' 'sdaB' 'panF'
 'yecF' 'rpsG' 'lysS' 'dnaG' 'flhC' 'ybaQ' 'tsaC' 'yodB' 'ppc' 'ybiT'
 'rpsA' 'flgJ' 'pnp' 'ygjQ' 'argA' 'glgX' 'ebgR' 'secE' 'waaG' 'gadX'
 'insL-1' 'lepA' 'csgE' 'infA' 'alx' 'satP' 'ghrB' 'dnaJ' 'yaeH' 'alaC'
 'argI' 'talA' 'dtpD' 'nhaA' 'rseC' 'rbbA' 'plsB' 'fimB' 'yhhM' 'rplB'
 'rlmI' 'dksA' 'cmk' 'yajO' 'opgE' 'ybjL' 'rimJ' 'appA' 'ppsR' 'mnmA'
 'ychH' 'btsS' 'gsiC' 'yadS' 'ybaA' 'nusG' 'lnt' 'truC' 'dmlA' 'yccF'
 'ppnP' 'ychF' 'aroE' 'glgA' 'rplD' 'fbaB' 'pxpA' 'yceH']","['ydfO' 'ysgA' 'pyrC' 'iraP' 'tsx' 'aroD' 'accC' 'yagH' 'treF' 'argT'
 'ygeA' 'yehL' 'serA' 'gadW' 'purT' 'ymgC' 'dadX' 'yhhQ' 'pheS' 'hchA'
 'rpsS' 'yeiL' 'ssuB' 'aceK' 'yqjF' 'hflD' 'aroM' 'csgD' 'ymfJ' 'asd'
 'tusA' 'ydcK' 'gstA' 'yddH' 'waaH' 'argC' 'aidB' 'glsA' 'plaP' 'sra'
 'uspG' 'yidL' 'rssB' 'accB' 'rpoB' 'pgaD' 'ghxP' 'ivy' 'secG' 'gsiB'
 'serC' 'gdhA' 'glgC' 'yhhJ' 'poxB' 'ycaN' 'cdgI' 'ggt' 'yjfZ' 'adhP'
 'rplW' 'der' 'clsB' 'recT' 'mglA' 'yedE' 'adeP' 'yhcO' 'nhoA' 'yajC'
 'pxpB' 'mnmG' 'argE' 'rpsO' 'insA-6' 'yfgJ' 'katE' 'mepS' 'gadC' 'katG'
 'aceA' 'psiE' 'curA' 'ltaE' 'ybhP' 'hmp' 'uspF' 'aroG' 'yhjE' 'speC'
 'yadK' 'codB' 'pstS' 'dadA' 'ybhN' 'glgS' 'mdtF' 'hdhA' 'yjjZ' 'tdcA'
 'sgrT' 'mdtE' 'putA' 'patA' 'osmC' 'metH' 'nupC' 'pxpC' 'ais' 'modF'
 'mhpC']",['aceB' 'yeaQ' 'ykfI' 'livJ' 'rmf' 'gltD' 'gltB'],['ilvI' 'ilvH' 'thrB' 'thrC'],[],[],[],[],[],[],[],[],[],[],[],[]
