,-0.10690661605263158,-0.09502810315789473,-0.08314959026315788,-0.07127107736842103,-0.059392564473684184,-0.047514051578947336,-0.03563553868421049,-0.02375702578947364,-0.011878512894736792,5.551115123125783e-17,0.011878512894736903,0.02375702578947375,0.0356355386842106,0.04751405157894745,0.059392564473684295,0.07127107736842114,0.08314959026315799,0.09502810315789484,0.10690661605263169,0.11878512894736853
thresh,-0.1128458725,0.1128458725,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,1,5,47,631,2908,676,24,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
