,ybaL
Cr_1,-0.010993221455776192
Cr_2,-0.02738532551950134
Cr_3,-0.021827073306716262
Cr_4,-0.004748561633925861
Cr_5,-0.005572788799887304
Cr_6,-0.0029143469030239013
Fe_1,-0.04656313763153986
Fe_2,-0.07931053947338078
Fe_3,-0.0661941110201804
Fe_4,-0.09106997890581807
Fe_5,-0.07404631017564914
Fe_6,-0.06130072743800244
Cd_1,0.014671284582678456
Cd_2,0.02244554808137934
Cd_3,0.02363447848542803
Cd_4,0.03375969676838824
Cd_5,0.019467727705191663
Cd_6,0.02332855953355369
Zn_1,0.000623278387913951
Zn_2,0.009169901877405821
Zn_3,0.04009165649014529
Zn_4,0.07007220753553704
Zn_5,0.10587034775405367
Zn_6,0.13013944825010496
Cu_1,0.00474932465845809
Cu_2,0.004992927575538071
Cu_3,0.008679735271933482
Cu_4,0.013613855916113898
Cu_5,0.0283674743084238
Cu_6,0.037157054466022695
Pb_1,-0.0011195827436528737
Pb_2,0.002434658370233761
Pb_3,0.018312044823939472
Pb_4,0.035188681657090236
Pb_5,0.05387002124929275
Pb_6,0.07065868635077449
