,tonB
Cr_1,-0.0034891806242574363
Cr_2,-0.005583608310613614
Cr_3,-0.00835916082823788
Cr_4,-0.010121032878497013
Cr_5,-0.014162775418980625
Cr_6,-0.020300904964035117
Fe_1,0.013250378713840029
Fe_2,-0.002694421321239069
Fe_3,-0.03921570920149043
Fe_4,-0.09267893769115852
Fe_5,-0.13391095196082994
Fe_6,-0.17366186274826367
Cd_1,-0.0020326739856587656
Cd_2,-0.0019381635986469726
Cd_3,-1.1713984267586086e-05
Cd_4,0.003767401673384929
Cd_5,0.006394342745724624
Cd_6,0.01099759948054162
Zn_1,-0.05953622582559341
Zn_2,-0.0932187340421145
Zn_3,-0.11839009445685368
Zn_4,-0.12292574584653874
Zn_5,-0.11311238127277555
Zn_6,-0.09128871295864648
Cu_1,0.003527132154705532
Cu_2,0.007451305711645592
Cu_3,0.011516705970913938
Cu_4,0.016205626662869916
Cu_5,0.02002611809321325
Cu_6,0.01862934759271524
Pb_1,0.004378486736681847
Pb_2,0.0038047457011690647
Pb_3,0.006156076539819728
Pb_4,0.011082192640398192
Pb_5,0.01150321546099845
Pb_6,0.020117057855348786
