,rrfC
Cr_1,0.008980057762453043
Cr_2,0.02512448165662195
Cr_3,0.04624044126856429
Cr_4,0.06975442261934715
Cr_5,0.09167864325436
Cr_6,0.10348416686299472
Fe_1,-0.013328284652753559
Fe_2,-0.04587182782747616
Fe_3,-0.05344622902396007
Fe_4,-0.07250674151135766
Fe_5,-0.07854994155345267
Fe_6,-0.07542684001756693
Cd_1,0.0050520303880998395
Cd_2,0.010907138813446722
Cd_3,0.016871838157783522
Cd_4,0.022583737288739504
Cd_5,0.026234096084281504
Cd_6,0.038190612696312125
Zn_1,0.00414820133469919
Zn_2,-0.0027449022220862192
Zn_3,-0.00572921650897565
Zn_4,-0.009024724217653305
Zn_5,-0.002052284773964413
Zn_6,-0.016711992489740854
Cu_1,-0.007876706648789016
Cu_2,-0.0013967796750075446
Cu_3,0.0013618621205669795
Cu_4,0.009562632470830551
Cu_5,0.0165736683266507
Cu_6,0.024140203302551386
Pb_1,-0.021918730849584026
Pb_2,-0.04093493121480768
Pb_3,-0.0406447800451348
Pb_4,-0.028492576398849383
Pb_5,-0.0065228281234052865
Pb_6,0.00391462764360394
