,yegP
Cr_1,0.0021242000053716165
Cr_2,0.00629556508682739
Cr_3,0.011520718759520569
Cr_4,0.019081238450144863
Cr_5,0.02429345734396333
Cr_6,0.026533405894942283
Fe_1,-0.01329232957491063
Fe_2,-0.04729757213413386
Fe_3,-0.09706512299991923
Fe_4,-0.15738214297394867
Fe_5,-0.210896115020118
Fe_6,-0.25388676062972404
Cd_1,0.00011596740990145376
Cd_2,-0.0002134213586526824
Cd_3,-0.00013456511229307537
Cd_4,0.0007699356801626994
Cd_5,-0.0019558300926532236
Cd_6,-0.00015683380552866202
Zn_1,-0.0008980734620479739
Zn_2,-0.0009756790660505194
Zn_3,0.01013482859163039
Zn_4,0.028827055407446463
Zn_5,0.05198085635353181
Zn_6,0.07254819116726081
Cu_1,0.0037469839388418157
Cu_2,0.007256104427796264
Cu_3,0.005190608845459332
Cu_4,0.001393634507274232
Cu_5,0.0016776945579576607
Cu_6,0.009605731010441263
Pb_1,0.0006111262633202053
Pb_2,0.001475055972031713
Pb_3,-0.00029173423097569623
Pb_4,-0.0008008286078333075
Pb_5,0.002530391429653648
Pb_6,0.004530322660558954
