,yjaH
Cr_1,-0.015143072910745443
Cr_2,-0.02396088595963291
Cr_3,-0.030925258142547006
Cr_4,-0.034504902198954204
Cr_5,-0.04882398469780723
Cr_6,-0.043973689040081664
Fe_1,-0.10983402028615856
Fe_2,-0.3399516975519512
Fe_3,-0.1647146723336619
Fe_4,-0.21481971131823496
Fe_5,-0.2305228008114755
Fe_6,-0.23488183169902374
Cd_1,-0.00260322561975255
Cd_2,0.0002597326779857006
Cd_3,0.005753259035312909
Cd_4,0.008978622463704778
Cd_5,0.005621178335095877
Cd_6,0.007462440157012477
Zn_1,-0.017689569884501283
Zn_2,-0.03095775385243293
Zn_3,-0.041100833806711916
Zn_4,-0.023035416144103985
Zn_5,-0.00635854518237126
Zn_6,0.0072873366125426105
Cu_1,0.006348746352508293
Cu_2,0.010175081396546458
Cu_3,0.006963606571846861
Cu_4,0.017138634457478666
Cu_5,0.013994466762589707
Cu_6,0.019927131657091385
Pb_1,-0.00929710087512302
Pb_2,-0.005856150500365583
Pb_3,-0.0020000240994598514
Pb_4,0.007577472020459016
Pb_5,0.017736248585847908
Pb_6,0.0371344912819367
