,yjbJ
Cr_1,0.007788253217165805
Cr_2,0.017675383560146894
Cr_3,0.02959416348863133
Cr_4,0.044623174369466286
Cr_5,0.05903504080574699
Cr_6,0.07350304466039237
Fe_1,-0.008136257364060307
Fe_2,-0.033768812804009084
Fe_3,-0.06851603600202051
Fe_4,-0.11065713597415297
Fe_5,-0.1506894932658488
Fe_6,-0.18484785349457766
Cd_1,-0.00475303156007157
Cd_2,-0.007553633005836214
Cd_3,-0.009838824904399851
Cd_4,-0.01079658719426084
Cd_5,-0.01567612151049064
Cd_6,-0.013269357227977615
Zn_1,-0.005224041331949522
Zn_2,-0.007461337057207093
Zn_3,0.0010001323858588823
Zn_4,0.01787389987307656
Zn_5,0.036062679710193314
Zn_6,0.05186717455067416
Cu_1,0.0013112408554050473
Cu_2,0.0074961696118261536
Cu_3,0.01625235728526922
Cu_4,0.022730099237340085
Cu_5,0.025922574583466525
Cu_6,0.02688298336309853
Pb_1,0.011437300186769129
Pb_2,0.02544318553829569
Pb_3,0.041692003767812486
Pb_4,0.05508740402739274
Pb_5,0.07100653850434367
Pb_6,0.08736293111831155
