,yfgH
Cr_1,0.002069493578491761
Cr_2,0.002951871429661236
Cr_3,0.00293176978828496
Cr_4,0.00025721864510390484
Cr_5,-0.007882643980574618
Cr_6,-0.01592739583928964
Fe_1,-0.008262721573436887
Fe_2,-0.018809875234433143
Fe_3,-0.033097838316486064
Fe_4,-0.051742890344175785
Fe_5,-0.06518909876410281
Fe_6,-0.07689734328382851
Cd_1,-0.0002405360839988522
Cd_2,-0.00073220973868113
Cd_3,0.00021069423758320025
Cd_4,0.0008343603066357318
Cd_5,-0.0008780571011414043
Cd_6,-0.00013528378746812902
Zn_1,-0.013006191384757095
Zn_2,-0.029929814351599245
Zn_3,-0.04297852996196183
Zn_4,-0.04985981062601709
Zn_5,-0.056258806475444616
Zn_6,-0.06246590144862201
Cu_1,0.0037313035414949063
Cu_2,0.0090208187594355
Cu_3,0.01357173441011756
Cu_4,0.014240106277876363
Cu_5,0.01631435933704358
Cu_6,0.01900873466338492
Pb_1,0.0009229600783718672
Pb_2,-3.7282899895348394e-06
Pb_3,0.00012523057556324522
Pb_4,0.003291176892982559
Pb_5,0.005143927532716897
Pb_6,0.009694477686586378
