,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A
0,algU_regulon__empty_vector,0.0,0.6002024377848572,3.0,0.0,0.34700943170000004,2.0,0.3460444224,4.0,-0.6930538541,,,,,,,,,,,,,,,,,,,,,,
1,algU_regulon__algU_overexpression,0.5224528268,0.9595941784496167,3.0,1.0,1.4155342641,3.0,0.6439131179,5.0,-0.4920889016,,,,,,,,,,,,,,,,,,,,,,
2,co_culture__c_viol_40,2.404254322375,1.3043400693561498,4.0,6.0,3.0208750327,20.0,3.518450829,40.0,2.5349355629,63.0,0.5427558649,,,,,,,,,,,,,,,,,,,,
3,co_culture__c_viol_12.5,1.9892202105999999,1.236228925219023,4.0,7.0,1.653839294,33.0,1.3289060763,81.0,3.8175913988,82.0,1.1565440733,,,,,,,,,,,,,,,,,,,,
4,co_culture__b_thai_30,7.150404394075,0.8883374628052882,4.0,8.0,6.3584991814,51.0,8.1302239226,65.0,7.6739479544,76.0,6.4389465179,,,,,,,,,,,,,,,,,,,,
5,co_culture__b_thai_25,7.121772913299999,3.4446858270164484,3.0,9.0,4.9331347316,22.0,5.3397648967,49.0,11.0924191116,,,,,,,,,,,,,,,,,,,,,,
6,co_culture__mono_30,4.291158691650001,0.10642308835410083,2.0,10.0,4.2159062042,26.0,4.3664111791,,,,,,,,,,,,,,,,,,,,,,,,
7,co_culture__b_thai_12.5,6.9627832822,1.3232405306010953,3.0,11.0,7.1154394016,54.0,5.5698354658,83.0,8.2030749792,,,,,,,,,,,,,,,,,,,,,,
8,co_culture__b_thai_35,7.289522101775,0.4697039395622867,4.0,12.0,6.9673177538,48.0,7.9811635636,64.0,7.0291730999,78.0,7.1804339898,,,,,,,,,,,,,,,,,,,,
9,co_culture__mono_25,4.038048314675,0.58203813772804,4.0,13.0,4.2705494822,38.0,4.4663538347,67.0,3.1782726866,72.0,4.2370172552,,,,,,,,,,,,,,,,,,,,
10,co_culture__c_viol_30,2.796848602966667,0.5295481755795075,3.0,14.0,2.3249288018,41.0,3.3695428888,85.0,2.6960741183,,,,,,,,,,,,,,,,,,,,,,
11,co_culture__c_viol_35,2.955909236675,0.8167199874401774,4.0,15.0,3.6614945506,52.0,3.4958272821,71.0,1.8662029695000002,80.0,2.8001121445,,,,,,,,,,,,,,,,,,,,
12,co_culture__b_thai_40,7.005625369433333,0.19287015973350854,3.0,16.0,6.8915672876,53.0,6.8969982484,77.0,7.2283105723,,,,,,,,,,,,,,,,,,,,,,
13,co_culture__b_thai_45,6.760762579066667,0.8830219220682871,3.0,17.0,6.9867131038,50.0,7.5088549593,66.0,5.7867196741,,,,,,,,,,,,,,,,,,,,,,
14,co_culture__b_thai_c_viol_40,6.307093649366666,1.0143461402282743,3.0,18.0,5.1360000194,25.0,6.9100437567,62.0,6.875237172,,,,,,,,,,,,,,,,,,,,,,
15,co_culture__mono_35,3.8968510501999996,0.74546196207168,4.0,19.0,3.2375941727,28.0,4.6111753686,56.0,4.4696278897,73.0,3.2690067698,,,,,,,,,,,,,,,,,,,,
16,co_culture__b_thai_c_viol_45,6.87451706955,0.397944332608945,4.0,21.0,7.0091901269,34.0,6.6409384879,45.0,6.478160378,58.0,7.3697792854,,,,,,,,,,,,,,,,,,,,
17,co_culture__c_viol_25,2.9499332161000003,0.32324311722840005,4.0,23.0,2.7594825589000003,42.0,2.707049185,70.0,3.4159043479,79.0,2.9172967726000003,,,,,,,,,,,,,,,,,,,,
18,co_culture__mono_45,4.48849673355,1.1189978365394955,4.0,24.0,4.6496116172,29.0,3.6406900176,68.0,3.6537167216,74.0,6.0099685778,,,,,,,,,,,,,,,,,,,,
19,co_culture__mono_40,3.723543166475,0.4284008324143017,4.0,27.0,3.2215938288,31.0,4.1384969008,69.0,4.0146878568,75.0,3.5193940795,,,,,,,,,,,,,,,,,,,,
20,co_culture__b_thai_c_viol_35,6.147625463375,0.9208973572632317,4.0,30.0,5.1361718078,32.0,7.3596186477,59.0,5.9207030237,86.0,6.1740083743,,,,,,,,,,,,,,,,,,,,
21,co_culture__b_thai_c_viol_25,9.4058580531,,1.0,35.0,9.4058580531,,,,,,,,,,,,,,,,,,,,,,,,,,
22,co_culture__b_thai_c_viol_30,6.314208987075,0.6164057050423125,4.0,36.0,6.8859864349,44.0,6.5450530438,60.0,5.4451649179,61.0,6.3806315517,,,,,,,,,,,,,,,,,,,,
23,co_culture__mono_12.5,-5.551115123125783e-17,0.8914398450947965,4.0,37.0,0.0330285569,46.0,0.8161542881,57.0,0.3988891579,84.0,-1.2480720029,,,,,,,,,,,,,,,,,,,,
24,co_culture__c_viol_45,3.43043688265,0.7066988396172191,2.0,39.0,3.9301484244,43.0,2.9307253409,,,,,,,,,,,,,,,,,,,,,,,,
25,co_culture__b_thai_c_viol_12.5,2.8649981606,2.387522849331314,2.0,47.0,1.1767645636,55.0,4.5532317576,,,,,,,,,,,,,,,,,,,,,,,,
26,immunity_2__WT_sid2,-3.33333360913457e-11,6.490935474203272,3.0,87.0,-5.906140264,90.0,-1.0432248668,93.0,6.9493651307,,,,,,,,,,,,,,,,,,,,,,
27,immunity_2__WT_pad4,8.4259059988,8.446012800770848,3.0,88.0,-0.9918826297000001,91.0,10.9407002145,94.0,15.3289004116,,,,,,,,,,,,,,,,,,,,,,
28,immunity_2__WT_PS,9.700000858000001,10.26140586749234,3.0,89.0,-1.5902373226000002,92.0,12.2315461582,95.0,18.4586937384,,,,,,,,,,,,,,,,,,,,,,
29,immunity_in_vitro__WT_MM,0.0,1.4311621112058655,4.0,96.0,0.5330378865000001,97.0,-1.3474849354,98.0,1.7697887391,99.0,-0.9553416902,,,,,,,,,,,,,,,,,,,,
30,immunity_isolated__WT_DE,-0.35663628195,0.4748812869345289,2.0,100.0,-0.0208445037,104.0,-0.6924280602,,,,,,,,,,,,,,,,,,,,,,,,
31,immunity_isolated__WT_DEPS,-0.8927966891500001,0.24178551401120776,2.0,101.0,-0.7218285126,105.0,-1.0637648657,,,,,,,,,,,,,,,,,,,,,,,,
32,immunity_isolated__WT_WT,-1.295260195396016e-16,5.13818612838297,12.0,102.0,0.32989607860000003,110.0,12.6276000578,117.0,-0.3147995913,125.0,6.9603683029,131.0,-1.0810878638,134.0,-2.3852718314,138.0,-4.7287263177,159.0,-6.4898696299,162.0,-2.2845985185,164.0,-1.8667284592,170.0,-1.3743520486,174.0,0.6075698211,,,,
33,immunity_isolated__WT_npr1,-2.0106512009,4.417696445165174,2.0,103.0,-5.1344343145,126.0,1.1131319127000001,,,,,,,,,,,,,,,,,,,,,,,,
34,immunity_isolated__AvrRpt2_WT,-9.30014262587857,3.3480111542840856,14.0,106.0,-7.6868090075,113.0,-5.0069005164,121.0,-7.0865125582,127.0,-13.8417587434,136.0,-10.4673532784,142.0,-9.2388176663,145.0,-7.5787418326000004,150.0,-13.4173652365,160.0,-12.9050299128,161.0,-9.4925592847,163.0,-2.3087738215,167.0,-7.6400860326,172.0,-12.4910994835,176.0,-11.0401893879
35,immunity_isolated__AvrRpt2_npr1,-5.189274727666667,6.668518053586132,3.0,107.0,0.061511426800000005,128.0,-12.6922765019,146.0,-2.9370591079,,,,,,,,,,,,,,,,,,,,,,
36,immunity_isolated__AvrRpt2_DE,-4.6166592934,4.6965982153861425,3.0,108.0,-0.7369449775,129.0,-9.8381162772,147.0,-3.2749166255,,,,,,,,,,,,,,,,,,,,,,
37,immunity_isolated__AvrRpt2_DEPS,0.7170980791,0.9826751726719537,2.0,109.0,1.4119543574,148.0,0.0222418008,,,,,,,,,,,,,,,,,,,,,,,,
38,immunity_isolated__WT_pad4,2.56047510585,8.251779343849599,4.0,111.0,14.578818195,119.0,1.0856436137,140.0,-3.730366087,165.0,-1.6921952983000002,,,,,,,,,,,,,,,,,,,,
39,immunity_isolated__WT_PS,-1.4853812083500002,6.180298210752572,4.0,112.0,7.2891067334,120.0,-4.9894034502,141.0,-6.5111728908,166.0,-1.7300552258000002,,,,,,,,,,,,,,,,,,,,
40,immunity_isolated__AvrRpt2_sid2,-2.9546135574,4.147661818095807,3.0,114.0,1.8327864539,122.0,-5.4653580253000005,143.0,-5.2312691008,,,,,,,,,,,,,,,,,,,,,,
41,immunity_isolated__AvrRpt2_pad4,-4.134392999775,1.9605193548553355,4.0,115.0,-4.1735443777,123.0,-6.1778351792,144.0,-4.7032393341,168.0,-1.4829531081,,,,,,,,,,,,,,,,,,,,
42,immunity_isolated__AvrRpt2_PS,-1.0736897892,5.160239644017373,3.0,116.0,4.8410682879,124.0,-4.6554091602,169.0,-3.4067284953,,,,,,,,,,,,,,,,,,,,,,
43,immunity_isolated__WT_sid2,-2.76685881975,1.3306773665373255,2.0,118.0,-3.7077898092,139.0,-1.8259278303,,,,,,,,,,,,,,,,,,,,,,,,
44,immunity_isolated__WT_WT_mock,-1.4928963882666668,4.096794578429582,3.0,130.0,-4.8339957666,152.0,-2.7226082435,156.0,3.0779148453,,,,,,,,,,,,,,,,,,,,,,
45,immunity_isolated__WT_SP,-4.07666764585,0.533168631641985,2.0,132.0,-3.6996604909,135.0,-4.4536748008,,,,,,,,,,,,,,,,,,,,,,,,
46,immunity_isolated__AvrRpt2_b2b3,-7.0370339218,3.8959267973322187,2.0,133.0,-9.7918701792,137.0,-4.2821976644,,,,,,,,,,,,,,,,,,,,,,,,
47,immunity_isolated__AvrRpt2_RR,-3.1096982527500003,0.42452313913081585,2.0,149.0,-3.4098814432,151.0,-2.8095150623,,,,,,,,,,,,,,,,,,,,,,,,
48,immunity_isolated__WT_WT_SA,-2.2254942011,1.878611100427682,3.0,153.0,-2.3553833687,155.0,-4.0357899405,158.0,-0.2853092941,,,,,,,,,,,,,,,,,,,,,,
49,immunity_isolated__WT_WT_chitin,3.6697403628,0.1872193875412357,2.0,154.0,3.8021244613,157.0,3.5373562643,,,,,,,,,,,,,,,,,,,,,,,,
50,immunity_isolated__WT_stp,-0.053432481600000026,1.1191399831749418,2.0,171.0,-0.8447839528000001,175.0,0.7379189896,,,,,,,,,,,,,,,,,,,,,,,,
51,immunity_isolated__AvrRpt2_stp,-10.9230809784,0.6481040035155571,2.0,173.0,-10.4648022426,177.0,-11.3813597142,,,,,,,,,,,,,,,,,,,,,,,,
52,immunity_no_isolation__WT_WT_mock,-1.4802973661668753e-16,9.417769751185693,3.0,178.0,-10.7042605279,182.0,7.0130011197,183.0,3.6912594082,,,,,,,,,,,,,,,,,,,,,,
53,immunity_no_isolation__WT_WT_flg22,15.297284350433332,2.7723046799353224,3.0,179.0,12.691512888,180.0,18.2104928917,181.0,14.9898472716,,,,,,,,,,,,,,,,,,,,,,
54,immunity_time__mock_1hpi,3.3333326839487164e-11,0.7614975612909893,3.0,184.0,-0.7254836391,185.0,0.7930134232,186.0,-0.06752978400000001,,,,,,,,,,,,,,,,,,,,,,
55,immunity_time__flg22_1hpi,2.761481008866667,1.3270951077350994,3.0,187.0,3.5096443253,188.0,3.5455747104,189.0,1.2292239909,,,,,,,,,,,,,,,,,,,,,,
56,immunity_time__mock_3hpi,1.0969893937,0.7766750155446714,3.0,190.0,1.6545520126,191.0,1.4265394284,192.0,0.20987674010000001,,,,,,,,,,,,,,,,,,,,,,
57,immunity_time__flg22_3hpi,5.924164344,2.1436899143237227,3.0,193.0,4.1370160179,194.0,8.3009721684,195.0,5.3345048457,,,,,,,,,,,,,,,,,,,,,,
58,immunity_time__mock_5hpi,-0.09566335663333336,1.5036109622723643,3.0,196.0,-0.1876976249,197.0,1.4518507625,198.0,-1.5511432075,,,,,,,,,,,,,,,,,,,,,,
59,immunity_time__flg22_5hpi,6.8170254863999995,0.9774039024203135,3.0,199.0,5.745991024,200.0,7.0443507746,201.0,7.6607346606,,,,,,,,,,,,,,,,,,,,,,
