,A,evgA
R2,,0.062315737137459415
xmin,,0.0
xmid,,
xmax,,10.0647012179576
ystart,,-2.7016433854701973
yend,,6.234097207732946
control__wt_glc__1,-0.577041315876,8.049268120086982
control__wt_glc__2,0.577041315876,8.12631138415537
fur__wt_dpd__1,2.81549462371,5.85357121251987
fur__wt_dpd__2,2.7773806216500003,5.64192699501153
fur__wt_fe__1,2.1559367773400004,7.80996968526821
fur__wt_fe__2,3.1187548874,7.64885260529895
fur__delfur_dpd__1,4.37296205333,6.20877942997317
fur__delfur_dpd__2,4.39369334821,6.30804813079631
fur__delfur_fe2__1,3.4074698037299997,7.52810667413422
fur__delfur_fe2__2,3.3214317781,7.70204441680225
acid__wt_ph5__1,23.6245769535,7.25454708470477
acid__wt_ph5__2,23.6431022845,7.247461582681321
acid__delgadx_ph5__1,27.6657173117,7.6898482549987195
acid__delgadx_ph5__2,27.138518309499997,7.3360019037374995
acid__delgadw_ph5__1,24.8469502102,7.281676721925219
acid__delgadw_ph5__2,25.3646610981,7.3782203957925
acid__delgade_ph5__1,23.818433881599997,7.357336133739389
acid__delgade_ph5__2,24.0836632669,7.369796021016259
oxidative__wt_pq__1,2.69028522143,6.181116574594389
oxidative__wt_pq__2,2.91516101924,6.08640865612087
oxidative__deloxyr_pq__1,2.18604076629,7.23183719914495
oxidative__deloxyr_pq__2,1.80990529409,6.983024788219921
oxidative__delsoxr_pq__1,2.83229451958,5.87158462453608
oxidative__delsoxr_pq__2,3.73768774715,5.833347251369151
oxidative__delsoxs_pq__1,3.31666768957,6.219024127513309
oxidative__delsoxs_pq__2,2.85945777218,6.164888616539531
nac_ntrc__wt_csn__1,4.8248474017400005,6.0570887963730895
nac_ntrc__wt_csn__2,4.90561106209,6.304190952401509
nac_ntrc__wt_cytd__1,3.9327704513,6.67980429868304
nac_ntrc__wt_cytd__2,4.13724094607,6.47203548511697
nac_ntrc__wt_gln__1,5.25534357111,7.15928778817445
nac_ntrc__wt_gln__2,4.664531966559999,6.94201227372958
nac_ntrc__bw_delnac_csn__1,7.4330338737899995,5.80145279862135
nac_ntrc__bw_delnac_csn__2,3.6409669796199995,4.73821609864407
nac_ntrc__bw_delnac_cytd__1,4.22903798978,6.97313203243762
nac_ntrc__bw_delnac_cytd__2,4.58630172638,7.008444723030539
nac_ntrc__bw_delnac_gln__1,4.51937980319,7.37450287376159
nac_ntrc__bw_delnac_gln__2,4.2922407290199995,7.6285385791522
nac_ntrc__bw_delnac_nh4__1,0.467248562544,7.487031230944459
nac_ntrc__bw_delnac_nh4__2,1.6801609113799998,7.34467474779722
misc__wt_no_te__1,4.663220514180001,7.39094884079377
misc__wt_no_te__2,2.9660524127900003,7.53168124171535
misc__bw_delcbl__1,1.6298226485,6.303114287667509
