,-0.05528266555555556,-0.04422613244444445,-0.033169599333333334,-0.02211306622222222,-0.011056533111111107,6.938893903907228e-18,0.01105653311111112,0.022113066222222234,0.03316959933333335,0.04422613244444446,0.055282665555555575,0.06633919866666668,0.07739573177777781,0.08845226488888891,0.09950879800000004,0.11056533111111116,0.12162186422222226,0.13267839733333336,0.1437349304444445,0.15479146355555562
thresh,-0.049754399000000005,0.049754399000000005,2,,,,,,,,,,,,,,,,,
unreg,1,4,22,160,1335,2934,880,128,31,11,12,3,0,1,0,0,0,0,0,0
RpoN,0,0,0,0,0,4,0,0,0,2,2,7,7,4,10,5,4,3,2,0
unreg_genes,['pscE'],[],[],[],[],[],[],[],[],[],"['pslN' 'osmE' 'PA3231' 'PA0188' 'PA4171' 'PA3461' 'PA1404' 'PA3460'
 'PA2183' 'osmC' 'PA2433' 'PA4738']",['PA3274' 'PA1870' 'PA4877'],[],['PA3273'],[],[],[],[],[],[]
RpoN_genes,[],[],[],[],[],['exaC' 'PA4023' 'eutB' 'PA4025'],[],[],[],['PA2168' 'PA2136'],['PA2167' 'PA2181'],['PA2142' 'PA2178' 'PA2140' 'PA2175' 'PA2135' 'PA2150' 'PA2151'],['PA2192' 'PA2187' 'PA2166' 'PA2157' 'PA2141' 'PA2179' 'PA2155'],['PA2154' 'PA2148' 'katE' 'PA2152'],"['PA2165' 'PA2173a' 'PA2143' 'PA2156' 'PA2149' 'PA2180' 'PA2134' 'glgP'
 'glgB' 'PA2164']",['PA2161' 'PA2158' 'PA2172' 'PA2190' 'PA2163'],['PA2162' 'PA2184' 'PA2160' 'PA2169'],['PA2159' 'PA2173' 'PA2170'],['PA2146' 'PA2171'],[]
