,yehD
Cr_1,0.00035235260606055564
Cr_2,0.007715071123047022
Cr_3,0.007079568695832561
Cr_4,0.003454238924664707
Cr_5,0.00830391257137997
Cr_6,0.010227109387202877
Fe_1,-0.016877906868332546
Fe_2,-0.0466496488563499
Fe_3,-0.06498743499332027
Fe_4,-0.10367592126037553
Fe_5,-0.107976964076598
Fe_6,-0.09825529295776968
Cd_1,-0.00012806845816085713
Cd_2,0.0005762557822014775
Cd_3,0.0007325511517207742
Cd_4,0.006337867935832392
Cd_5,0.002570505578461074
Cd_6,0.008388583053713206
Zn_1,0.012266568386997266
Zn_2,-0.0795833489617042
Zn_3,-0.09508562229039663
Zn_4,-0.056246658362814624
Zn_5,0.017862192968071098
Zn_6,0.11731749323480148
Cu_1,-0.002787297691936141
Cu_2,-0.0037286156794788007
Cu_3,-0.0028888315349305197
Cu_4,0.0029538269275733967
Cu_5,0.0029796378098109664
Cu_6,0.0018525377951481622
Pb_1,-0.0007300162896001235
Pb_2,0.003971968378253965
Pb_3,0.011088310366208508
Pb_4,0.01521596083367235
Pb_5,0.01218814199595435
Pb_6,0.013241850627177063
