,ecfG
Cr_1,-0.0014700601998496896
Cr_2,0.004820961905173237
Cr_3,0.01495170373532641
Cr_4,0.020122623886157417
Cr_5,0.027043467670346783
Cr_6,0.029529543735704912
Fe_1,-0.0034230955171878005
Fe_2,0.005664678626729636
Fe_3,0.018098448116455418
Fe_4,0.022113720840895662
Fe_5,0.025637141195067426
Fe_6,0.029705455242968293
Cd_1,-0.0015128724475973144
Cd_2,-0.001747219264366829
Cd_3,-0.00042217783153369263
Cd_4,0.00014972849717545598
Cd_5,-0.004284122091409915
Cd_6,-0.0048195933282396035
Zn_1,-0.002014523840741892
Zn_2,-0.005709284477373431
Zn_3,-0.006942410903970232
Zn_4,-0.0008736549723636472
Zn_5,-0.002189697917824793
Zn_6,-0.009860614511060314
Cu_1,0.005470237607993282
Cu_2,0.012593306743918394
Cu_3,0.019838568582414097
Cu_4,0.022365018823189326
Cu_5,0.027090399698716686
Cu_6,0.03342590487879951
Pb_1,-0.0020245603783472037
Pb_2,-0.0008944621327303375
Pb_3,-0.001480942700573743
Pb_4,-0.004479306159046323
Pb_5,-0.005453542385672285
Pb_6,-0.010136280108342395
