,ybbB
Cr_1,-0.0032070029846435425
Cr_2,-0.013762338781910272
Cr_3,0.0008701664460220642
Cr_4,0.011300575274179462
Cr_5,0.015575708573940304
Cr_6,0.01567716204964359
Fe_1,-0.03989389279598267
Fe_2,-0.05543671653440852
Fe_3,-0.06528506237386084
Fe_4,-0.04826755632071772
Fe_5,-0.006677682681051394
Fe_6,0.011627692966635341
Cd_1,-0.009636566340042743
Cd_2,-0.01711070676035566
Cd_3,-0.029387720890459726
Cd_4,-0.03154967157888552
Cd_5,-0.04337339343902793
Cd_6,-0.0564908524653421
Zn_1,0.009550246121147224
Zn_2,0.026767016570622647
Zn_3,0.05705193541908345
Zn_4,0.08853131243675713
Zn_5,0.1272050861174465
Zn_6,0.15018072138096386
Cu_1,0.010997701034096138
Cu_2,0.014737165751310937
Cu_3,0.03140358080901842
Cu_4,0.034870925081676045
Cu_5,0.020601644941007552
Cu_6,0.03482282410781997
Pb_1,-0.0055121793304354965
Pb_2,-0.01492593443600889
Pb_3,-0.012013661779273859
Pb_4,0.006673780580532142
Pb_5,0.01641452067277144
Pb_6,0.029438792891693738
