,-0.07195969517762285,-0.04797313011841523,-0.023986565059207612,0.0,0.023986565059207626,0.04797313011841525,0.07195969517762285,0.09594626023683048,0.1199328252960381,0.14391939035524573,0.16790595541445336,0.19189252047366095,0.21587908553286855,0.2398656505920762,0.2638522156512838,0.28783878071049146,0.31182534576969906,0.33581191082890666,0.3597984758881143,0.3837850409473219
thresh,-0.08395297770722666,0.08395297770722666,2,,,,,,,,,,,,,,,,,
unreg,0,8,478,4642,415,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0
RsmA,0,0,0,7,0,0,1,1,0,0,0,0,0,2,0,3,1,0,0,0
unreg_genes,[],[],[],[],[],[],[],['PA1746'],[],['PA5383'],[],[],[],[],[],[],[],[],[],[]
RsmA_genes,[],[],[],['pelG' 'pelA' 'pelB' 'pelE' 'pelD' 'pelF' 'pelC'],[],[],['hpcG'],['PA4128'],[],[],[],[],[],['PA4134' 'PA4132'],[],['PA4130' 'PA4133' 'PA4129'],['PA4131'],[],[],[]
