,rrlD
Cr_1,0.005327147523436415
Cr_2,0.012515975532363702
Cr_3,0.024154338458741983
Cr_4,0.0286705586907609
Cr_5,0.03275339718400665
Cr_6,0.0341030762763362
Fe_1,-0.007126472849996337
Fe_2,-0.023043975722716416
Fe_3,-0.041071795614026164
Fe_4,-0.0682976749926553
Fe_5,-0.08730043741700162
Fe_6,-0.10002197153935724
Cd_1,0.011518345748109612
Cd_2,0.02503520418653632
Cd_3,0.0423001938817745
Cd_4,0.05907737674473676
Cd_5,0.0716532112204533
Cd_6,0.08541040493955206
Zn_1,0.0013208372506229367
Zn_2,0.004850419911066027
Zn_3,0.018301683801569688
Zn_4,0.03243437261870768
Zn_5,0.03946444902430113
Zn_6,0.04912489262111122
Cu_1,0.013381839200626385
Cu_2,0.023532555969914347
Cu_3,0.03349504674179789
Cu_4,0.04184452369473926
Cu_5,0.05178210006273259
Cu_6,0.06482721285130884
Pb_1,-0.006149116477993049
Pb_2,-0.012739707653168685
Pb_3,-0.016244317718578257
Pb_4,-0.023324634093338112
Pb_5,-0.027103966526548912
Pb_6,-0.027052066639126918
