,tyrV
Cr_1,-0.010090687589908356
Cr_2,-0.009216211122332904
Cr_3,-0.004645556091916978
Cr_4,0.0041925290347557
Cr_5,0.00354330482175021
Cr_6,-0.0006811575037980793
Fe_1,-0.04359946730257632
Fe_2,-0.10420835090583087
Fe_3,-0.17858308277192084
Fe_4,-0.2424777324089576
Fe_5,-0.2939671978277917
Fe_6,-0.33270314595585965
Cd_1,-0.00017002630747892144
Cd_2,0.0038801792345076022
Cd_3,0.005496936303566517
Cd_4,0.006142637868247506
Cd_5,0.005412809416503663
Cd_6,0.010697617003562742
Zn_1,-0.0015585325124076069
Zn_2,0.02366954808748856
Zn_3,0.02072682458731444
Zn_4,0.04616036186370789
Zn_5,0.06852240717422034
Zn_6,0.09833006272846112
Cu_1,0.005617613815044613
Cu_2,0.006894855573697384
Cu_3,0.005462183264888291
Cu_4,0.008034707682434023
Cu_5,0.008041486073405879
Cu_6,0.01252803961343632
Pb_1,0.0033592010398366765
Pb_2,0.01125711679980554
Pb_3,0.016861653320356183
Pb_4,0.017572992538988776
Pb_5,0.029062569303212174
Pb_6,0.02881246870394561
