,213
abx_mega__amyc-d_dmso__6,1.4598602108
abx_mega__dox_dmso__2,-0.7218739274
abx_mega__teix_dmso__6,0.6301214491
abx_mega__naoh-6__2,1.0759166248
abx_mega__inh_h2o__2,-0.4858146058
abx_mega__chl_h2o__3,0.3969355028
abx_mega__nal_naoh__6,-0.2523669913
abx_mega__chl_dmso__2,-1.004151839
abx_mega__rach_dmso__4,0.0751386599
abx_mega__teix_dmso__7,1.0310923179
abx_mega__ceru_ethanol__1,0.0272258438
abx_mega__dmso-7__1,0.8901926818
abx_mega__naoh-6__3,0.3221685843
abx_mega__phos_ethanol__2,-0.0919695338
abx_mega__metro_dmso__3,-1.6825168684
abx_mega__van_dmso__4,0.7709423508000001
abx_mega__h2o-10__1,-0.0315620958
abx_mega__h2o-10__2,0.2539208464
abx_mega__dmso-6__3,-0.8845744837
abx_mega__mem_dmso__1,0.4809794384
abx_mega__ethanol-8__2,-0.2599420005
abx_mega__chl_h2o__4,2.185811995
abx_mega__van_h2o__1,0.5907646520000001
abx_mega__dcs_h2o__1,0.2494365398
abx_mega__rif_dmso__5,-0.09246108430000001
abx_mega__dox_dmso__3,0.025913029400000002
abx_mega__mem_dmso__2,2.2775529291
abx_mega__lvx_dmso__2,-0.24337434430000002
abx_mega__tet_h2o__2,-1.0052248863
abx_mega__phos_h2o__5,-2.2395990338
abx_mega__monac_dmso__1,0.6373101443
abx_mega__str_h2o__3,1.6690164142000001
abx_mega__zeocin_h2o__2,1.3115403289
abx_mega__amyc-d_dmso__7,0.7304990828
abx_mega__fidax_dmso__1,-0.6696765197
abx_mega__h2o-1a__1,1.4536032115
abx_mega__dox_dmso__4,0.6799032319
abx_mega__lzd_dmso__2,0.0362810102
abx_mega__tet_h2o__3,0.3990465918
abx_mega__dmso-1__2,0.7459492509000001
abx_mega__sxt_dmso__2,2.8827969625
abx_mega__tric_ethanol__2,1.0816599795
abx_mega__teix_dmso__8,0.8197285722000001
abx_mega__ramo_h2o__2,1.3215538037
abx_mega__inh_h2o__3,0.8534501295
abx_mega__cst_h2o__3,0.0671772091
abx_mega__dmso-9__1,-0.5726546001
abx_mega__ethanol-8__3,-0.0714061346
abx_mega__monac_dmso__2,-0.0813746614
abx_mega__dmso-9__2,0.0751484293
abx_mega__metro_dmso__4,0.6540229425
abx_mega__ctx_h2o__4,1.1338015269
abx_mega__zeocin_h2o__3,3.3740792732
abx_mega__bacit_h2o__5,-1.4170114218
abx_mega__reta_dmso__1,-0.4554862887
abx_mega__ery_h2o__4,-0.1973738994
abx_mega__ceru_ethanol__2,0.3333338415
abx_mega__fidax_dmso__2,0.0327175763
abx_mega__novo_dmso__1,2.1836093038
abx_mega__naoh-6__4,0.6462879890000001
abx_mega__amyc-d_dmso__8,-0.1850665323
abx_mega__chl_dmso__3,0.9577300395
abx_mega__nal_naoh__7,0.0267823921
abx_mega__teix_dmso__9,0.3790822568
abx_mega__ery_dmso__3,5.5239097703999995
abx_mega__tmp_dmso__3,4.1496515681
abx_mega__sxt_dmso__3,0.23498144210000002
abx_mega__polmyx_h2o__4,-1.5690794955
abx_mega__mem_dmso__3,0.2730637218
abx_mega__nal_naoh__8,-1.4173309802
abx_mega__pen_h2o__3,0.7961998374
abx_mega__van_dmso__5,2.0947549328
abx_mega__zeocin_h2o__4,-3.1224675047
abx_mega__h2o-6__2,0.7084599033
abx_mega__tet_h2o__4,2.4754170579
abx_mega__nor_naoh__4,-0.45403656540000004
abx_mega__cip_naoh__4,-0.5314389126
abx_mega__tmp_dmso__4,-0.3034714854
abx_mega__reta_dmso__2,-1.262851611
abx_mega__mem_dmso__4,-0.125487532
abx_mega__dox_dmso__5,0.3778647082
abx_mega__tmp_dmso__5,-0.6868397143
abx_mega__flavo_dmso__3,0.9457901041000001
abx_mega__tmp_dmso__6,1.343003505
abx_mega__ceru_ethanol__3,-0.0156953792
abx_mega__teix_dmso__10,0.6102078644000001
abx_mega__novo_h2o__7,0.24649628610000002
abx_mega__fidax_dmso__3,1.0091514244
abx_mega__h2o-1a__2,-0.6009413066
abx_mega__dcs_h2o__2,0.09776358510000001
abx_mega__cst_h2o__4,0.47373957
abx_mega__van_h2o__2,-0.1437159316
abx_mega__pen_h2o__4,-0.031065823200000002
abx_mega__h2o-8b__2,0.6665353784
abx_mega__reta_dmso__3,-0.4921712882
abx_mega__dmso-7__2,-0.3333509327
abx_mega__rfp_h2o__2,-1.3927178034
abx_mega__rif_dmso__6,-0.5474928398000001
abx_mega__sxt_dmso__4,0.5448643948
abx_mega__cip_naoh__5,1.3457846816
abx_mega__dmso-9__3,-0.3078777911
abx_mega__mem_dmso__5,0.2893245186
abx_mega__tric_h2o__2,-0.8729503246
abx_mega__phos_h2o__6,0.7626383848
abx_mega__h2o-7__2,-0.6065203217
abx_mega__h2o-10__3,-0.1472749519
abx_mega__h2o-8a__2,1.3632312316
abx_mega__thio_dmso__3,-0.45935085070000004
abx_mega__lzd_dmso__3,1.3013692062
abx_mega__monac_dmso__3,1.3967730587
abx_mega__polmyx_h2o__5,-0.7642451507
abx_mega__naoh-6__5,0.1677183462
abx_mega__teix_dmso__11,0.7267188885
abx_mega__van_h2o__3,-0.0451924853
abx_mega__teix_dmso__12,0.1451040354
abx_mega__dox_dmso__6,-4.9139978327
abx_mega__teix_dmso__13,1.1524995589
abx_mega__h2o-7__3,0.5541682694
abx_mega__str_h2o__4,-0.24281533530000002
abx_mega__tec_h2o__3,-0.7735842302
abx_mega__phos_h2o__7,0.808325111
abx_mega__chl_h2o__5,1.0415844821
abx_mega__polmyx_h2o__6,-2.7536578097
abx_mega__teix_dmso__14,0.19037864370000002
abx_mega__rif_dmso__7,0.35994970190000003
abx_mega__ramo_h2o__3,0.3387756193
abx_mega__fidax_dmso__4,0.382310388
abx_mega__teix_dmso__15,1.1751764472
abx_mega__thio_dmso__4,0.7812664768
abx_mega__rif_dmso__8,0.8650193226
abx_mega__reta_dmso__4,-0.3850876862
abx_mega__inh_h2o__4,1.6537929880000002
abx_mega__novo_dmso__2,3.1241406855
abx_mega__dcs_h2o__3,-0.040810217
abx_mega__h2o-8b__3,0.1859290143
abx_mega__valin_dmso__3,1.2795591907000001
abx_mega__h2o-2__1,-0.6929635481
abx_mega__cro_h2o__4,-0.1066511924
abx_mega__dcs_h2o__4,1.5224895673
abx_mega__str_h2o__5,-0.142961103
abx_mega__h2o-8a__3,0.5773241778
abx_mega__dox_dmso__7,1.0277909891
abx_mega__doxo_dmso__2,3.4427418099000002
abx_mega__teix_dmso__16,1.2540852963
abx_mega__rfp_h2o__3,-0.1917295876
abx_mega__ethanol-10__3,-0.8128734923000001
abx_mega__naoh-2__2,-0.48366212750000004
abx_mega__van_h2o__4,0.22461534460000002
abx_mega__sacet_h2o__2,-0.11700903750000001
abx_mega__monac_dmso__4,0.7475204412
abx_mega__h2o-2__2,-1.1279561662
abx_mega__zeocin_h2o__5,0.5429541719000001
abx_mega__nor_naoh__5,0.3209561087
abx_mega__naoh-9__2,1.5698291861
abx_mega__dmso-7__3,0.0040400132
abx_mega__van_h2o__5,1.7999655264
abx_mega__flavo_dmso__4,-0.3581073898
abx_mega__novo_dmso__3,1.6957342145
abx_mega__polmyx_h2o__7,0.2029939282
abx_mega__teix_dmso__17,0.5967775497000001
abx_mega__doxo_dmso__3,0.9194077997000001
abx_mega__mem_dmso__6,-0.2957376521
abx_mega__h2o-1a__3,-0.8526619049
abx_mega__bacit_dmso__3,-3.2582975377
abx_mega__dox_dmso__8,-1.0475779646
abx_mega__teix_dmso__18,0.1947562011
abx_mega__h2o-6__3,2.2998204823
abx_mega__pen_h2o__5,0.2959985981
abx_mega__lzd_dmso__4,0.1648170606
abx_mega__daro__1,0.6880790502
abx_mega__solv__1,0.6967008164
abx_mega__daro__2,0.0068995286000000005
abx_mega__daro__3,1.2124641987
abx_mega__solv__2,0.013051794600000001
abx_mega__solv__3,0.3980101485
abx_mega__dmso-4__1,-0.5449348182
