,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A
0,aat__00m_00s,-3.3333345343204236e-11,0.9762709635108772,3.0,0.0,-0.9425142087,6.0,1.0068457702,12.0,-0.0643315616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,0.08012987753333335,0.4199623349036641,3.0,1.0,0.5290188179,7.0,-0.3031931694,13.0,0.0145639841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,0.21484592979999997,0.2262828518369657,3.0,2.0,0.47583897410000003,8.0,0.095115194,14.0,0.0735836213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,0.3837810382666667,0.11646990481458316,3.0,3.0,0.37301303490000004,9.0,0.5052610188000001,15.0,0.2730690611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,0.08748307710000003,0.23049689892707134,3.0,4.0,0.20719680240000002,10.0,0.2334909477,16.0,-0.1782385188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,0.5036668353333333,0.03664209435803218,3.0,5.0,0.5454663467,11.0,0.4770887246,17.0,0.4884454347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,-2.0692193191,0.8945501777519,2.0,18.0,-1.4366768223,71.0,-2.7017618159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,1.1921027814999998,4.013469421390169,3.0,19.0,0.4525663347,70.0,-2.4001677606,205.0,5.5239097703999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,0.08452171117500004,0.8000528626669984,8.0,20.0,-0.1394291799,32.0,0.7751622456,55.0,1.2658447981,67.0,-0.0693378013,126.0,0.4868492063,147.0,-0.2523669913,203.0,0.0267823921,210.0,-1.4173309802,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,-0.6849055853,0.10907392415432052,3.0,21.0,-0.7570558044,34.0,-0.7382333859,61.0,-0.5594275656000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abx_mega__rif_dmso,-0.367309261375,1.0538864198250395,8.0,22.0,-0.1264216359,104.0,-1.1880332976,111.0,0.2740008159,133.0,-2.4830350738,165.0,-0.09246108430000001,238.0,-0.5474928398000001,265.0,0.35994970190000003,270.0,0.8650193226,,,,,,,,,,,,,,,,,,,,
11,abx_mega__novo_h2o,0.4852216434285715,1.5697954693541019,7.0,23.0,-0.4789872308,56.0,2.2827989492,82.0,0.5611034864000001,118.0,-1.5219524003,134.0,2.8327950022,137.0,-0.5257025888,227.0,0.24649628610000002,,,,,,,,,,,,,,,,,,,,,,
12,abx_mega__rach_dmso,1.2652981897500002,1.5280347074062033,4.0,24.0,3.4080783436,101.0,1.3100160345,139.0,0.26795972100000004,149.0,0.0751386599,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,abx_mega__metro_dmso,0.4371321382000001,1.4565646289002492,4.0,25.0,1.3032362896,123.0,1.4737861891000001,155.0,-1.6825168684,191.0,0.6540229425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,abx_mega__dmso-6,-0.5327914127,0.32594186608508907,3.0,26.0,-0.4727644675,59.0,-0.2410352869,159.0,-0.8845744837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
