,ybhK
Cr_1,-0.0005621547050777206
Cr_2,0.0036252620546945134
Cr_3,0.008194057813452869
Cr_4,0.01135128702374106
Cr_5,0.015037776273482534
Cr_6,0.018927997496460947
Fe_1,-0.007214774610988611
Fe_2,-0.012958095904108421
Fe_3,-0.01167324832563998
Fe_4,-0.007709721555345694
Fe_5,0.004904053650256067
Fe_6,0.016946644703592282
Cd_1,0.0014316774667023373
Cd_2,0.0053654332403428855
Cd_3,0.01228052094290316
Cd_4,0.01574442987619252
Cd_5,0.015844329845668574
Cd_6,0.022150311464909256
Zn_1,-0.005038231379607085
Zn_2,-0.0073373490348141186
Zn_3,-0.00019622363327362411
Zn_4,0.01023515267685825
Zn_5,0.017729182178832206
Zn_6,0.018543366127064042
Cu_1,0.003905089601222207
Cu_2,0.005951277952138011
Cu_3,0.010303079393045656
Cu_4,0.015826683666567247
Cu_5,0.02321593168109137
Cu_6,0.028313233263664268
Pb_1,0.002748893741520659
Pb_2,0.00906323459411318
Pb_3,0.01727904610765961
Pb_4,0.02490247390261224
Pb_5,0.03219403810621195
Pb_6,0.039897953462792984
