,hemH
Cr_1,0.002585871840203816
Cr_2,0.010378881619116176
Cr_3,0.02166643602394665
Cr_4,0.03378055684349962
Cr_5,0.04418214627851528
Cr_6,0.04991804171016976
Fe_1,-0.014239390266453069
Fe_2,-0.03310007946467968
Fe_3,-0.04993963301727459
Fe_4,-0.0684663082361359
Fe_5,-0.08021968848877578
Fe_6,-0.08713965893033898
Cd_1,0.00045932458763550937
Cd_2,-0.0004499340898723957
Cd_3,0.0012749164209633766
Cd_4,0.003041642268850559
Cd_5,-0.0005780939978635639
Cd_6,0.0015138977586288574
Zn_1,-0.003689224978632711
Zn_2,-0.0006382353628721329
Zn_3,0.013987126112065177
Zn_4,0.03436923551200443
Zn_5,0.05388419221186788
Zn_6,0.06865172242469246
Cu_1,0.0023014870537995014
Cu_2,0.009130870552677046
Cu_3,0.01603981137092679
Cu_4,0.02100710145416948
Cu_5,0.02786023781496933
Cu_6,0.033882674491106615
Pb_1,0.004488585911992667
Pb_2,0.009287949480407143
Pb_3,0.018211841046202687
Pb_4,0.023670265344775374
Pb_5,0.035027082966976764
Pb_6,0.04653844684203247
