,-0.1652311548069996,-0.13769262900583298,-0.11015410320466637,-0.08261557740349976,-0.055077051602333144,-0.02753852580116653,8.326672684688674e-17,0.027538525801166697,0.05507705160233331,0.08261557740349992,0.11015410320466654,0.13769262900583315,0.16523115480699976,0.19276968060816638,0.220308206409333,0.2478467322104996,0.27538525801166625,0.3029237838128328,0.33046230961399947,0.35800083541516603
thresh,-0.0688463145029165,0.0688463145029165,1,,,,,,,,,,,,,,,,,
unreg,2,2,4,6,17,272,3660,253,22,10,4,1,1,2,0,1,0,0,0,0
unreg_genes,['yeeE' 'yeeD'],['gdhA' 'yraQ'],['kptA' 'fsr' 'yddA' 'yedA'],['yddB' 'yebQ' 'ygaY' 'pqqL' 'yqiJ' 'tfaX'],[],[],[],[],[],['yghE' 'mprA' 'dgcT' 'ycgH' 'dgcI' 'gfcA' 'iraD' 'gdx' 'ytiD' 'yfaZ'],['fumD' 'ygaH' 'ftnB' 'evgS'],['pppA'],['yghJ'],['yghF' 'evgA'],[],['yghG'],[],[],[],[]
