,ylbE
Cr_1,-0.005874954523323745
Cr_2,-0.01601697682778803
Cr_3,-0.018565609620316014
Cr_4,-0.02220050796096206
Cr_5,-0.019642074257440117
Cr_6,-0.012536093679627255
Fe_1,-0.025077114500839017
Fe_2,-0.05615289455030819
Fe_3,-0.0618249330240359
Fe_4,-0.056160322179719335
Fe_5,-0.04893503247815106
Fe_6,-0.05728398166514071
Cd_1,0.01088714318242845
Cd_2,0.017570568941642828
Cd_3,0.03372967116554616
Cd_4,0.05088966425993344
Cd_5,0.06833672794181411
Cd_6,0.09030264872236833
Zn_1,-0.04673152006272789
Zn_2,-0.10420800632351697
Zn_3,-0.14370358938707584
Zn_4,-0.1800423577458856
Zn_5,-0.00958207605780743
Zn_6,-0.019967746561560345
Cu_1,0.014283010171247404
Cu_2,0.026062594811440524
Cu_3,0.050868354198281084
Cu_4,0.0683640065634888
Cu_5,0.08305454060851188
Cu_6,0.0973002219644929
Pb_1,-0.00014315435415133753
Pb_2,-0.01098041107396799
Pb_3,-0.00859199694798495
Pb_4,-0.0020380035814920763
Pb_5,-0.00018924311335541543
Pb_6,0.0024002042178399158
