,yhcF
Cr_1,0.006716703806552887
Cr_2,0.011465411724324416
Cr_3,0.02428983864020905
Cr_4,0.05329749414709573
Cr_5,0.08483678242314767
Cr_6,0.12091799823090008
Fe_1,-0.012755958069884029
Fe_2,-0.049192287765478016
Fe_3,-0.09642446701307153
Fe_4,-0.14304095874931216
Fe_5,-0.18741994086394934
Fe_6,-0.222925165544012
Cd_1,-0.00028443947098955535
Cd_2,-0.0005026928172163944
Cd_3,-0.001981222687783041
Cd_4,-0.00019963055802186134
Cd_5,-0.00053850323566189
Cd_6,0.0040684086125875145
Zn_1,-0.0039319155298176344
Zn_2,-0.013379629166252854
Zn_3,-0.021705927505339343
Zn_4,-0.02405163640213763
Zn_5,-0.019830540052340438
Zn_6,-0.014782020090552687
Cu_1,0.0029850648232318416
Cu_2,0.008729068053009563
Cu_3,0.01790282831065838
Cu_4,0.025665540782179915
Cu_5,0.030847046866022004
Cu_6,0.03979659052870292
Pb_1,-0.0052729072742333785
Pb_2,-0.008281399579496277
Pb_3,-0.006280092626732617
Pb_4,-0.0045488752682264905
Pb_5,-0.0005112219708680712
Pb_6,0.0032127174056726525
