,ubiC
Cr_1,-0.004255839084584767
Cr_2,-0.0035698187106297783
Cr_3,-0.0010075659152416411
Cr_4,0.002586597296712127
Cr_5,0.010013065907881808
Cr_6,0.01578708644878711
Fe_1,-0.010344120648051146
Fe_2,-0.01805514109683686
Fe_3,-0.02315198904562088
Fe_4,-0.04190874752982135
Fe_5,-0.09072484845135742
Fe_6,-0.13691788588283774
Cd_1,-0.0010737926527840471
Cd_2,-0.0006837329170967127
Cd_3,0.0013546471069399578
Cd_4,0.00589388268306803
Cd_5,0.003130539859147148
Cd_6,0.003460337605398039
Zn_1,-0.0039834737289625105
Zn_2,-0.0058161596708692425
Zn_3,-0.008365061215946334
Zn_4,-0.001724564202734092
Zn_5,-0.012328801866403276
Zn_6,-0.008627071717773764
Cu_1,0.013530962282255782
Cu_2,0.029313168782200177
Cu_3,0.04112571549447508
Cu_4,0.05506977274075018
Cu_5,0.06772065178120862
Cu_6,0.08005476135971977
Pb_1,0.012691629298112772
Pb_2,0.022579418839642557
Pb_3,0.017387582973824454
Pb_4,0.015866913739278826
Pb_5,0.02488682618591793
Pb_6,0.028414889966668088
