,mobA
Cr_1,-0.0017731385135619844
Cr_2,-0.002593762036406888
Cr_3,-0.004041994575826318
Cr_4,-0.006236367097915115
Cr_5,-0.006539254255926418
Cr_6,-0.00590242101197181
Fe_1,-0.006127059800676682
Fe_2,-0.02216350724121906
Fe_3,-0.0410873575868375
Fe_4,-0.05964132056009507
Fe_5,-0.06458173410676958
Fe_6,-0.0631182391627026
Cd_1,-0.01404989472738697
Cd_2,-0.020768468300889
Cd_3,-0.0224396968921842
Cd_4,-0.024408109754677026
Cd_5,-0.02919321697350685
Cd_6,-0.029642617266182468
Zn_1,-0.001747340793673572
Zn_2,-0.004849048495166676
Zn_3,-0.018255649515482728
Zn_4,-0.017331616618859926
Zn_5,-0.01808054438063528
Zn_6,-0.02247728989510145
Cu_1,-0.0012345752401660382
Cu_2,0.0008518170579984236
Cu_3,0.006800085563357126
Cu_4,0.011333610212386188
Cu_5,0.014433857020002891
Cu_6,0.01774133480521433
Pb_1,0.0035438485200877533
Pb_2,0.007973683060676575
Pb_3,0.013494631188719592
Pb_4,0.01503564831106635
Pb_5,0.01842410449807494
Pb_6,0.0222639900402042
