,sbcB
Cr_1,6.0550990290455664e-05
Cr_2,0.002492961118056055
Cr_3,0.003018056332429698
Cr_4,0.0032263287623976425
Cr_5,0.004652749217442865
Cr_6,0.00782922631951863
Fe_1,-0.0061359613860152325
Fe_2,-0.020900386424038183
Fe_3,-0.035328724650389685
Fe_4,-0.05161295778499501
Fe_5,-0.06809722644785074
Fe_6,-0.07690957178386999
Cd_1,0.0011056476887260148
Cd_2,0.002447055711629296
Cd_3,0.0037696712070555147
Cd_4,0.003769889262814315
Cd_5,0.00017461052723057862
Cd_6,0.006217478867623265
Zn_1,0.004248342787487396
Zn_2,-0.0004052754623234518
Zn_3,0.008700072508580445
Zn_4,0.02474642416642641
Zn_5,0.04243520947382175
Zn_6,0.057616679657780785
Cu_1,0.002519144229617225
Cu_2,0.003715614777257143
Cu_3,0.005329574406058715
Cu_4,0.004782573936917984
Cu_5,0.009531571789957493
Cu_6,0.014090345240899981
Pb_1,-0.0054867676954898454
Pb_2,-0.006550550500890496
Pb_3,-0.006469784527660054
Pb_4,-0.009885129800449982
Pb_5,-0.003686901319488397
Pb_6,0.007442612471678067
