,A,XylR
R2,,0.831846460473056
xmin,,3.2356792935
xmid,,5.389893785953622
xmax,,10.6114886778
ystart,,0.9869966606815126
yend,,31.654941193964763
control__wt_glc__1,-0.1750292765,4.999832875
control__wt_glc__2,0.1750292765,5.1665421451
fur__wt_dpd__1,2.0358738034,4.8573286993
fur__wt_dpd__2,2.237291481,4.670682364
fur__wt_fe__1,-0.0099441767,4.8743366875
fur__wt_fe__2,0.2502649222,4.8239525762
fur__delfur_dpd__1,2.1012759719,4.7474265444
fur__delfur_dpd__2,2.2071652199,4.5637817079000005
fur__delfur_fe2__1,0.3362874661,5.1605300368
fur__delfur_fe2__2,0.0925564696,5.0517858716
acid__wt_ph5__1,0.29916879360000004,4.9617190424
acid__wt_ph5__2,0.3524313765,4.8728795542
acid__delgadx_ph5__1,-0.5009496973,4.9885702127
acid__delgadx_ph5__2,0.4905578183,4.8632475772
acid__delgadw_ph5__1,0.3766369929,5.0049760965
acid__delgadw_ph5__2,0.1689029438,5.1619299456
acid__delgade_ph5__1,0.06309558600000001,4.8694107387
acid__delgade_ph5__2,0.45408855940000004,5.1263664956
oxidative__wt_pq__1,4.2817820888,5.5620295744
oxidative__wt_pq__2,3.6757338937,5.7539783710000005
oxidative__deloxyr_pq__1,3.0789003649,5.6247491326
oxidative__deloxyr_pq__2,2.7185445244,5.664917751
oxidative__delsoxr_pq__1,3.9563474836,5.4299221014
oxidative__delsoxr_pq__2,3.5580343076,5.3216073206
oxidative__delsoxs_pq__1,3.7782841939000003,5.5557768695
oxidative__delsoxs_pq__2,3.9748663373,5.5454059273
nac_ntrc__wt_csn__1,1.7349472052000001,5.1103100429
nac_ntrc__wt_csn__2,2.2685643956,5.0779737301
nac_ntrc__wt_cytd__1,0.738699057,5.1574441656
nac_ntrc__wt_cytd__2,0.8814922538000001,5.1736206402
nac_ntrc__wt_gln__1,1.6329206022,5.4864887862
nac_ntrc__wt_gln__2,1.5986604332,5.3430006717000005
nac_ntrc__bw_delnac_csn__1,3.8902557606,5.4278679815
nac_ntrc__bw_delnac_csn__2,2.6477629465,4.8394442484999995
nac_ntrc__bw_delnac_cytd__1,0.7593779357,5.0025885792
nac_ntrc__bw_delnac_cytd__2,0.6741280822,5.1758334834
nac_ntrc__bw_delnac_gln__1,1.6005316501,5.3757078867
nac_ntrc__bw_delnac_gln__2,1.6829117625,5.2240230169
nac_ntrc__bw_delnac_nh4__1,0.38479772830000003,4.9716512006
nac_ntrc__bw_delnac_nh4__2,3.3308303147,4.9272351501
misc__wt_no_te__1,2.0404987685,5.5333287031000005
misc__wt_no_te__2,1.8257996355000001,5.4787105584999996
misc__bw_delcbl__1,0.06787176610000001,4.7823663374
misc__bw_delcbl__2,0.6118918054,4.7303536845
misc__bw_delfabr__1,-0.3381142628,4.7974245549
misc__bw_delfabr__2,0.053250258,4.667022326
misc__bw_delfadr__1,0.7507947044000001,5.0735840501
misc__bw_delfadr__2,0.3227018257,4.9741758002
misc__nitr_031__1,1.7501179103000002,5.2583355796
omics__wt_glu__1,1.4419130244,5.1833724808
omics__wt_glu__2,1.7780166994000002,5.0830214846
omics__wt_gly__1,0.070255449,5.0422777969
omics__wt_gly__2,0.7959994608000001,4.9370835424
omics__wt_thr__1,4.9745857604,6.0186084014
omics__wt_thr__2,4.5108777564,5.7831590107
omics__bw_ac__1,2.949903545,5.4028560966
omics__bw_ac__2,3.2348810972,5.229244676
omics__bw_fum__1,2.0172289391,4.9730418221
omics__bw_fum__2,1.4964639114,4.9376834387
omics__bw_glc__1,0.32618106410000003,4.8856309372
omics__bw_glc__2,0.5582779015,5.1209929221
omics__bw_pyr__1,1.6512550522,5.263639712
omics__bw_pyr__2,2.236117649,5.1592113404
ompr__wt_nacl__1,2.8216046107,4.1235051137
ompr__wt_nacl__2,2.4609388383,3.8845996045
ompr__bw_delompr_nacl__1,1.9607399032,3.4039940181
ompr__bw_delompr_nacl__2,1.9531621558,3.2356792935
minspan__wt_ade__1,-1.5543847697,4.6107812385999996
minspan__wt_glc__1,-0.21647626420000002,4.5818111752
minspan__wt_glc__2,-0.6545442043,4.4850713199
minspan__wt_glc__3,-0.1024613022,4.6955740258
minspan__wt_glc__4,0.43730123530000004,4.6734651361
minspan__wt_glc_anaero__1,-0.5319875977,4.7172139573
minspan__wt_glc_anaero__2,-0.32080718210000003,4.4335225686
minspan__wt_trp__1,0.0071355820000000006,5.2280613115
minspan__bw_delcra_glc__1,0.9685996123,5.1028449705
minspan__bw_delcra_glc__2,0.5100098584,4.9990994131
minspan__bw_delcra_trp__1,1.5582967408,5.1248942946
minspan__bw_delmntr__1,0.0439101682,5.0081281746
minspan__bw_delnac_ade__1,-0.8444834186,4.6691347213
minspan__bw_delnac_glc__1,0.25325528270000003,4.8803435227000005
cra_crp__wt_ac__1,5.1563852547,5.3162112545
cra_crp__wt_ac__2,5.5114423148,5.2862294604
cra_crp__wt_fru__1,4.1498195033,5.2829544764
cra_crp__wt_fru__2,3.3714082391,5.1606973139
cra_crp__delcra_ac__1,4.0242097061,5.198962749
cra_crp__delcra_ac__2,3.9886519168000003,5.1372387196
cra_crp__delcra_fru__1,0.6560833158,5.2423774179
cra_crp__delcra_fru__2,1.0304786395,5.0875268775
cra_crp__delcra_glc__1,0.6518257162000001,4.9170407865
cra_crp__delcra_glc__2,0.2022316181,5.0030515832
rpoB__wt_031__1,4.1440620142,5.3585755852
rpoB__wt_044__1,0.614590174,4.818275987
rpoB__wt_lb__1,8.8089047187,5.7923005723
rpoB__wt_lb__2,9.1012512012,5.8704856404
rpoB__rpoBE546V_031__1,2.8840663337,4.9173741584
rpoB__rpoBE546V_044__1,3.1844016862,5.3611378398
rpoB__rpoBE546V_lb__1,5.0795559602,4.6257938154
rpoB__rpoBE546V_lb__2,4.8449810311,4.7267625908
rpoB__rpoBE546V_glc__1,-0.5567590772000001,4.9286673736
rpoB__rpoBE672K_glc__1,-0.5674607417,4.0736698716
rpoB__rpoBE672K_glc__2,-1.2179422123,4.075049037
rpoB__rpoBE672K_lb__1,0.9104911249000001,4.5054143049
rpoB__rpoBE672K_lb__2,1.3122962266,3.9202412223
crp__wt_fru__1,1.0535101651,4.5219563984
crp__wt_glyc__1,2.2972868903,4.6580056393
crp__wt_glyc__2,2.4194195767,4.7602128948
crp__delar1_glyc__1,3.7124327668,6.1044415641
crp__delar1_glyc__2,3.1569081795,6.0338716745
