,A,PuuR
R2,,0.6967434286459562
xmin,,3.1761027864
xmid,,4.799162054783535
xmax,,9.5552872483
ystart,,-10.981594218636015
yend,,7.8826357081479195
control__wt_glc__1,-0.35246663770000003,7.2047617363
control__wt_glc__2,0.35246663770000003,7.3332738319
fur__wt_dpd__1,-5.3828852996,5.9789416051
fur__wt_dpd__2,-4.6893233753,6.0626952615
fur__wt_fe__1,-2.4300148288,6.7259763642
fur__wt_fe__2,-3.6507334054,6.6172957204
fur__delfur_dpd__1,-3.5354422728,6.2837305208
fur__delfur_dpd__2,-3.2378414303,6.3707251357
fur__delfur_fe2__1,-9.1671900455,5.6095872177
fur__delfur_fe2__2,-8.9658431341,5.7703175135
acid__wt_ph5__1,-5.6550192425,6.1578734916
acid__wt_ph5__2,-5.39189106,6.2905651845
acid__delgadx_ph5__1,-5.8335578432,6.0742561418
acid__delgadx_ph5__2,-5.496779149,6.0576964384
acid__delgadw_ph5__1,-5.9549417371,6.0708449746
acid__delgadw_ph5__2,-5.6814693722000005,6.1403540696
acid__delgade_ph5__1,-5.6297358235,6.4562086367
acid__delgade_ph5__2,-5.2211404892,6.176340336
oxidative__wt_pq__1,-1.5298296401,7.5413062316
oxidative__wt_pq__2,-2.3648440425,7.3853330157
oxidative__deloxyr_pq__1,-0.6471525508,7.8628175219
oxidative__deloxyr_pq__2,-0.9665434786,7.7000596973
oxidative__delsoxr_pq__1,-5.5682738909000005,6.1948468913
oxidative__delsoxr_pq__2,-5.2912956312,6.3007389976
oxidative__delsoxs_pq__1,-3.2545733023,7.1298971015
oxidative__delsoxs_pq__2,-2.3031578799,7.0653363349
nac_ntrc__wt_csn__1,-3.3897783525,6.4338811893
nac_ntrc__wt_csn__2,-4.0466446902,6.5561335907
nac_ntrc__wt_cytd__1,-0.9422128063,6.6965739209
nac_ntrc__wt_cytd__2,-1.3927219672,6.8260225667
nac_ntrc__wt_gln__1,-11.2279956996,5.4700947764
nac_ntrc__wt_gln__2,-9.8996569189,5.5526824665
nac_ntrc__bw_delnac_csn__1,-4.2478569928,6.146165168
nac_ntrc__bw_delnac_csn__2,-5.0101994049,6.0915307224
nac_ntrc__bw_delnac_cytd__1,-8.7244186521,5.8751028195
nac_ntrc__bw_delnac_cytd__2,-8.3040163848,5.6388961979
nac_ntrc__bw_delnac_gln__1,-9.5834795979,5.5563064147
nac_ntrc__bw_delnac_gln__2,-10.5167459854,5.7220735928
nac_ntrc__bw_delnac_nh4__1,-8.8231717767,5.592432898
nac_ntrc__bw_delnac_nh4__2,-8.9460327779,5.7555737803
misc__wt_no_te__1,-6.2987405141,6.0287852383
misc__wt_no_te__2,-3.3694786205,6.7729962686
misc__bw_delcbl__1,-2.8308447581,6.5532183131
