,fdhD
Cr_1,0.002067019520072277
Cr_2,0.007631183086032392
Cr_3,0.011300467171458365
Cr_4,0.007623995742138347
Cr_5,0.01817338831170625
Cr_6,0.011766409320291207
Fe_1,-0.017009868876177368
Fe_2,-0.0368673949787992
Fe_3,-0.0608605788172536
Fe_4,-0.09006556666813792
Fe_5,-0.11016529566887236
Fe_6,-0.12378356645886915
Cd_1,-0.004545736898340787
Cd_2,0.00014741695387902358
Cd_3,-0.0063215916590775795
Cd_4,0.015550161048403191
Cd_5,0.01800520300746045
Cd_6,0.0391908131001643
Zn_1,-0.00799039486951095
Zn_2,-0.01533634328750276
Zn_3,-0.015525043710205981
Zn_4,-0.010372525524706758
Zn_5,-0.017639142011962608
Zn_6,-0.01807125736794295
Cu_1,0.0007470766164764689
Cu_2,0.0055720054399631255
Cu_3,0.009139770083821684
Cu_4,0.005172650774782238
Cu_5,0.004353521847812679
Cu_6,0.00828736898270598
Pb_1,0.005446171189862892
Pb_2,0.007997058920739031
Pb_3,0.010620382623503826
Pb_4,0.01622869651464559
Pb_5,0.0218107449728273
Pb_6,0.02689729261387006
