,ycgX
Cr_1,-0.004241724239845273
Cr_2,-0.003215023136343916
Cr_3,0.00017967280508092594
Cr_4,0.005400865670807658
Cr_5,0.010678675452968928
Cr_6,0.015801613274454868
Fe_1,-0.018485187838426755
Fe_2,-0.032478749972529086
Fe_3,-0.02117940286399217
Fe_4,-0.005975442888048739
Fe_5,0.020800020882353998
Fe_6,0.040288889468264616
Cd_1,0.002722553241423359
Cd_2,0.005758125627774303
Cd_3,0.010368826359812816
Cd_4,0.014137756143096356
Cd_5,0.01160533805549357
Cd_6,0.01300754102099706
Zn_1,0.009202376706188006
Zn_2,0.033689837587461115
Zn_3,0.0720335485115543
Zn_4,0.1133544048028668
Zn_5,0.15264170373273694
Zn_6,0.18588362582857676
Cu_1,-0.0007168466386586151
Cu_2,0.003438623101409935
Cu_3,0.012333594235241944
Cu_4,0.018279550413003068
Cu_5,0.029026163363893874
Cu_6,0.0418883339579455
Pb_1,-0.002796228895418606
Pb_2,0.005046399949328387
Pb_3,0.014314551419003719
Pb_4,0.017543574351007802
Pb_5,0.021502145516851645
Pb_6,0.04344487265034792
