,A,ArcA,IclR,ihfB,Crp,Cra
R2,,0.18633176471688107,0.13161008761006443,0.02833107753532671,0.016434492491693486,0.009432680893078249
xmin,,-9.267007604,-2.6574792163145045,-2.3858350260000005,-9.852476477,-7.274693064499999
xmid,,0.05789610996035422,0.6810764964862599,-0.36471694206543315,,
xmax,,3.5163621913034038,2.6554262656436003,1.6466498449999991,1.6003325529999994,2.0021776035000016
ystart,,-1.9243739820039065,-0.767430331232009,-1.1948955655415605,3.946450312584195,2.550619764721473
yend,,8.791633548757053,16.90384890522514,1.4176650403293811,-1.1595731649043621,-1.538351995524925
control__wt_glc__1,0.3448767230166279,0.03663697100000008,-0.06423780950000069,0.08337238499999877,0.012478645999999928,0.030889191500000912
control__wt_glc__2,-0.3448767230166742,-0.03663697100000008,0.0642378094999998,-0.08337238500000055,-0.012478645999999928,-0.030889191500000024
fur__wt_dpd__1,5.450514715258417,1.0583041259999997,-0.7882625525,0.7158603249999995,0.07757413100000042,-1.1877552404999996
fur__wt_dpd__2,5.44403927165589,1.1267206660000006,-0.8535562954999998,0.8566654449999991,-0.0906821709999992,-1.1737682104999996
fur__wt_fe__1,-0.641401364371991,-0.052645840000000284,-0.2699275704999993,-0.0769950650000002,-0.030513672999999738,-0.3327269624999989
fur__wt_fe__2,-0.4724774538987997,-0.1298470389999995,-0.32442042349999944,-0.08671744500000145,0.0581907200000007,-0.2594009254999996
fur__delfur_dpd__1,5.557742915129924,1.1226786959999997,-0.3782053495,0.6898034449999989,-0.10598198399999957,-1.0912162294999996
fur__delfur_dpd__2,5.07082058643368,1.0438290660000007,-0.6043755995000001,0.621869414999999,-0.22346684100000047,-1.0673563794999996
fur__delfur_fe2__1,0.4236735776929353,0.03887232199999957,-0.3843892854999993,0.3658187149999996,0.4364299129999996,-0.5522316354999992
fur__delfur_fe2__2,0.5595222429308963,0.005759821999999914,-0.3569863225000001,0.33581042499999825,0.36756339300000107,-0.5848465774999987
acid__wt_ph5__1,0.1922548303225273,0.907706566,-0.25132292649999943,0.2842574349999989,0.3455225730000002,-0.23737093049999916
acid__wt_ph5__2,-0.0776799727758841,0.8854765760000003,-0.3671075214999995,0.3016573449999989,0.34313646300000045,-0.24076136349999902
acid__delgadx_ph5__2,-0.8362733577400083,0.6386470709999994,-0.5834132554999991,0.03620512499999862,0.3393877130000007,-0.20693287449999875
acid__delgadw_ph5__1,0.126583867814073,0.7741884859999999,-0.5087095064999998,0.19517709499999825,0.3838637929999997,-0.28221490649999925
acid__delgadw_ph5__2,0.5699423273517114,0.8036499260000003,-0.30025282950000065,0.1831834249999993,0.3398617829999999,-0.2312081874999992
acid__delgade_ph5__1,0.1424705589980263,0.4993382329999996,-0.33143421450000066,0.3321859449999991,0.432408723,-0.1426848044999991
acid__delgade_ph5__2,0.1866562048967794,0.4822611769999998,-0.3530047764999997,0.2395609849999989,0.4824361929999999,-0.21070986049999885
oxidative__wt_pq__1,5.5028369664111,2.1614953959999994,-1.5036497464999998,0.9466146249999988,0.17662370300000066,-0.994895829499999
oxidative__wt_pq__2,6.214424002752125,2.173902676000001,-1.3227186325,0.948808184999999,0.24038529300000103,-1.0895483044999992
oxidative__deloxyr_pq__1,4.3099054295878485,2.1325921060000006,-0.5868524874999999,0.8749087249999992,0.5131550130000004,-0.22714133449999885
oxidative__deloxyr_pq__2,4.714681991489649,2.155119376,-0.8031951014999983,0.9672342149999996,0.5363373029999998,-0.10890247049999946
