,A,FhlA,RpoN
R2,,0.028542682026874377,0.0
xmin,,-3.8272717542,-2.3873792415
xmid,,,
xmax,,2.8595785989999998,1.8751403472
ystart,,-0.8868286988089485,0.6314181821725806
yend,,1.8791268506537007,0.6314181821725806
aat__00m_00s__1,1.5228116988,0.28390955830000003,-0.1868415971
aat__00m_30s__1,1.5795930969,0.21023735570000002,-0.20162633530000001
aat__01m_00s__1,1.2804656997000001,0.20501975,-0.1942665755
aat__02m_00s__1,0.5681295418,-0.15151250700000002,-0.1859665862
aat__05m_00s__1,-2.2055512597,-0.9787792397,-0.1681106608
aat__10m_00s__1,-4.1016059013,-1.1145099083,-0.3706350145
aat__00m_00s__2,-2.0856409476,-0.011951507200000001,0.3031607257
aat__00m_30s__2,-1.7393962987,-0.07319307300000001,0.039643016600000004
aat__01m_00s__2,-1.8745006612,-0.1028005896,-0.0013643723
aat__02m_00s__2,-3.178459939,-0.5533174695,-0.0414927971
aat__05m_00s__2,-5.7202720517,-1.2573950576000001,-0.0746450885
aat__10m_00s__2,-6.7626552132,-0.8047177666,-0.23586419190000002
aat__00m_00s__3,0.5628292488000001,-0.27195805100000003,-0.1163191286
aat__00m_30s__3,0.5133007185,0.0144479822,-0.0736221406
aat__01m_00s__3,1.1378595236,0.0311133809,-0.17730413120000002
aat__02m_00s__3,-0.5841510268,-0.4079841907,0.020768331
aat__05m_00s__3,-2.8207509966,-0.9732044277,-0.0944720948
aat__10m_00s__3,-4.2289889488,-0.7535260991,-0.2044310802
abx_mega__dmso-2__1,0.918149077,1.7342632371,1.436026237
abx_mega__ery_dmso__1,3.5061658666,-1.3411913962,-0.4394529035
abx_mega__nal_naoh__1,0.7384683989,1.8519652317,0.8772278743
abx_mega__dmso-5__1,2.1481774737,0.1479438709,0.48399777580000003
abx_mega__rif_dmso__1,4.2877398143,0.0887385988,0.5157631166000001
abx_mega__novo_h2o__1,4.8908098138,-1.5031335521,-0.47626519900000003
abx_mega__rach_dmso__1,-0.48655840200000006,-0.1628683346,0.2802484757
abx_mega__metro_dmso__1,0.055983531600000004,-0.1498074866,0.5245333254
abx_mega__dmso-6__1,-0.5734368641,0.4506151781,0.6253545409
abx_mega__chl_h2o__1,2.1728656353,-2.7260073825,-1.1569223535
abx_mega__cst_h2o__1,-0.38807517150000004,0.8663025538,0.47138731170000003
abx_mega__tec_h2o__1,0.0662672819,0.4199449514,1.1163565781
abx_mega__str_h2o__1,0.4542934554,-0.2106531419,1.0148136427
abx_mega__ctx_h2o__1,0.2726673177,0.8083736572,0.17737386800000002
abx_mega__nal_naoh__2,1.0018224731,0.6731448057,0.29679740990000003
abx_mega__phos_h2o__1,9.6733013415,0.4087280048,0.0454729513
abx_mega__dmso-5__2,0.5274695089,-0.052802045400000004,0.3122538416
abx_mega__polmyx_h2o__1,1.4489475701,0.39394262360000004,0.2227196066
abx_mega__h2o-8b__1,0.9252493837,0.3958190632,0.5063994107
abx_mega__h2o-6__1,-0.11189847730000001,0.6461352001,0.3051735166
abx_mega__thio_dmso__1,4.3024164662,-1.1978002507,-0.5165923039
abx_mega__phos_h2o__2,1.7331521643,0.7037134609,0.2233186073
abx_mega__ctx_h2o__2,2.6542642324,0.9149779203,0.29327006640000003
abx_mega__lzd_dmso__1,1.6302953642,-1.063357878,-0.4751825277
abx_mega__naoh-9__1,0.46163118950000004,1.3452064046,0.7141301084
abx_mega__dox_dmso__1,1.005343779,-0.6178513830000001,-0.1250149644
abx_mega__phos_ethanol__1,-0.12774902970000002,0.7032078477,0.1832669966
abx_mega__teix_dmso__1,-0.0392783249,-0.46852765,0.24005400300000002
abx_mega__dmso-10__1,1.1982096765999999,1.0643821254999999,0.46972722450000004
abx_mega__van_dmso__1,3.8428621583,-3.8272717542,-1.4643864076
abx_mega__ramo_h2o__1,-1.0653806773,-0.7776748299,0.1260201991
abx_mega__tec_h2o__2,0.5074836439,0.26486235280000003,0.3343991052
abx_mega__h2o-7__1,7.5666706265,0.4627478055,0.4390523529
abx_mega__cro_h2o__1,3.8393436714,0.8311331864,0.0244285967
abx_mega__tric_ethanol__1,-0.4635284837,-0.6413476169,0.8885968622
abx_mega__nor_naoh__1,1.028312293,0.3218344993,0.0717713583
abx_mega__teix_dmso__2,3.6360747146,0.2253006156,0.0577123861
abx_mega__nal_naoh__3,0.23163089950000001,0.5557264388,0.3177105557
abx_mega__novo_h2o__2,4.6921267545,-1.5579605019,-0.515894651
abx_mega__dmso-10__2,1.5926717636,0.9294155636,0.5026956472
abx_mega__phos_h2o__3,-0.1454897527,0.1895723137,0.25320663050000003
abx_mega__dmso-6__2,1.885256437,-0.1504192104,0.399044075
abx_mega__rfp_ethanol__1,0.8063919587,-0.3871064051,-0.1980047811
abx_mega__dmso-5__3,1.3467234067,0.5667803572,0.44623232
abx_mega__amyc-d_dmso__1,2.3092480901,-2.4928271707,-1.6569644717
abx_mega__sxt_dmso__1,10.628443489,1.0672464178,0.3805901292
abx_mega__dmso-1__1,-0.0972333086,0.1707191736,0.1000790257
abx_mega__pen_h2o__1,0.3509266191,-0.7502376184,-0.6047470268
abx_mega__dmso-10__3,-0.9309971328000001,0.7255413669,0.5817327388
abx_mega__nal_naoh__4,0.07372871930000001,0.9421223637,0.4131544234
abx_mega__cip_naoh__1,1.1101240733,1.4800385593,0.3139018471
abx_mega__pen_h2o__2,0.07310645040000001,-0.2521641582,-0.4614786729
abx_mega__ery_dmso__2,7.0741013966,-1.1728458633,-0.8711782534
abx_mega__dmso-2__2,4.7589283898,1.3113626187,1.6330404249
abx_mega__van_dmso__2,5.7066150147,-2.7930421826,-1.4325930877
abx_mega__h2o-1b__1,-0.36177624080000004,0.3419650993,0.049925419000000006
abx_mega__ery_h2o__1,1.0360341208,-1.9422765683,-0.8530769732
abx_mega__bacit_h2o__1,1.910887072,-2.4580149079,0.06588176800000001
abx_mega__chl_h2o__2,2.4936476296,-2.5593507303000003,-1.1962969357
abx_mega__str_h2o__2,-0.1758022963,-0.5147785322,1.1805175986
abx_mega__rfp_ethanol__2,2.6696722482,-0.5576700824,0.0344397316
abx_mega__polmyx_h2o__2,0.953734136,-0.3542315702,0.0497336679
abx_mega__tric_h2o__1,-1.0050143321,-0.5466853314,0.4801215364
abx_mega__cip_naoh__2,1.4685002482,0.0979316613,0.1248055101
abx_mega__novo_h2o__3,5.168905635,-1.3993144414,-0.3918043912
abx_mega__bacit_dmso__1,5.1450118234,-1.3438963654,0.0971589638
abx_mega__gen_h2o__1,1.9923875687,-2.7882982358,0.3781390592
abx_mega__bacit_dmso__2,5.8784229965,-1.8308958336,-0.0185690991
abx_mega__chl_dmso__1,0.9157549865,-0.8591327582,-0.2968713899
abx_mega__bacit_h2o__2,0.5885176142,-1.1899144039,-0.2798995233
abx_mega__lvx_dmso__1,1.7080125056000002,0.9974035148,0.2366626578
abx_mega__bacit_h2o__3,1.8114247211,-2.193224129,0.1175635035
abx_mega__nor_naoh__2,1.668719131,0.0764939027,0.0778313483
abx_mega__amyc-d_dmso__2,4.8254091956,-1.4754465773,-0.482735487
abx_mega__polmyx_h2o__3,2.098865594,2.1009427745,1.1987243344
abx_mega__naoh-6__1,-2.3566611002,0.33781918800000005,0.3867353197
abx_mega__cst_h2o__2,4.1565318951,0.3683113058,-0.0592366311
abx_mega__h2o-1b__2,0.7182352329,0.8059112402,0.361309818
abx_mega__rfp_h2o__1,5.4193372937,-0.6873606109,0.1986005924
abx_mega__tet_h2o__1,-0.3833724781,-2.2028470052,-1.1852549083
abx_mega__flavo_dmso__1,1.6732886555,-0.6504603678,0.31348030800000004
abx_mega__zeocin_h2o__1,0.4654367847,0.729937857,0.1895157472
abx_mega__nor_naoh__3,1.0271431668,0.1449926729,0.0003915057
abx_mega__rach_dmso__2,0.8933696815000001,0.5422706816,0.7509322677
abx_mega__thio_dmso__2,0.9322962965,-2.8142213145,-1.2288856103999999
abx_mega__amyc-d_dmso__3,4.535301567,-2.4087623877,-2.0587907643
abx_mega__rif_dmso__2,7.5263068724,0.5234698608,0.5754528234
abx_mega__amyc-d_dmso__4,1.1487844103,-1.3632687851,-0.5423701563000001
abx_mega__teix_dmso__3,1.8769081600000002,0.10840582080000001,-0.0655542478
abx_mega__valin_dmso__1,6.3102126366,-0.8394919264,-0.43426283600000004
abx_mega__teix_dmso__4,2.2264183524,0.026763737000000003,0.27130681500000003
abx_mega__ethanol-10__1,0.3430620781,0.5069234007,0.40267153240000003
abx_mega__inh_h2o__1,2.0784389413,0.3022084335,0.0766455533
abx_mega__rif_dmso__3,2.5545240493,0.22495642910000002,0.5938319508000001
abx_mega__van_dmso__3,5.3923740588,-2.2883244841,-0.6893900788
abx_mega__doxo_dmso__1,1.4681421860000001,0.3268516412,0.3216071352
abx_mega__tmp_dmso__1,0.9172540646,1.4325445198,0.1661161452
abx_mega__ethanol-10__2,1.7558100014,-0.19284822540000002,0.1536875017
abx_mega__tmp_dmso__2,1.9502036464999999,1.378491649,0.1318068886
abx_mega__amyc-d_dmso__5,0.9446616613000001,-3.2002382842,-2.0873112251
abx_mega__novo_h2o__4,6.3224830105,-0.685324751,0.13625533880000001
abx_mega__cro_h2o__2,0.0700401698,0.5968897219,0.1035761797
abx_mega__cro_h2o__3,1.2724761903,0.2293964283,0.0686106756
abx_mega__gen_h2o__2,3.5692231598,-3.2442562625,0.7751869361
abx_mega__phos_h2o__4,-3.6355140328999997,1.2679958912,1.2666739765
abx_mega__metro_dmso__2,0.40749720100000003,0.2263232984,0.8183508658
abx_mega__ery_h2o__2,-0.1826297235,-2.8507701537,-0.602350214
abx_mega__sacet_h2o__1,-1.5892920419,-0.3659816899,1.8751403472
abx_mega__nal_naoh__5,0.0513896514,0.8046916430000001,0.1431744405
abx_mega__bacit_h2o__4,0.4416888195,-1.5051309582,-0.25559654600000004
abx_mega__cip_naoh__3,0.9149240937,1.1874377843,0.32443566830000004
abx_mega__ethanol-8__1,1.5714746299,0.2929582175,0.3540685267
abx_mega__h2o-8a__1,-0.5533078181000001,-0.9921929215,0.3335097184
abx_mega__ery_h2o__3,1.5952121191000002,-1.4496919087,-0.7729734864000001
abx_mega__flavo_dmso__2,2.2861816069,0.9207595204000001,0.3623249183
abx_mega__rif_dmso__4,4.9034810512,0.5477194604,0.4264630231
abx_mega__novo_h2o__5,1.9192819838,-1.0793967737,-0.5119814499
abx_mega__teix_dmso__5,1.2708345747,0.8451731399,0.3829448741
abx_mega__naoh-2__1,-0.3908549016,1.3593935254,1.2563867105
abx_mega__novo_h2o__6,2.6242321479,-1.0033536937,-0.40610684150000004
abx_mega__ctx_h2o__3,2.6869492224,0.5939099398000001,0.2070871461
abx_mega__rach_dmso__3,2.1016337401,0.4176804283,0.8095988900000001
abx_mega__valin_dmso__2,6.4071944973,-0.1472855103,-0.3638890656
abx_mega__amyc-d_dmso__6,1.273741263,-2.7358338568000002,-1.7587812473
abx_mega__dox_dmso__2,4.891175294,-0.16654686770000002,-0.0236915871
abx_mega__teix_dmso__6,2.0591653404,0.7282850538000001,0.2270913317
abx_mega__naoh-6__2,-0.08312000130000001,0.5062783061,0.390126913
abx_mega__inh_h2o__2,-1.0602851664,-1.5922123188000001,0.5741467445
abx_mega__chl_h2o__3,3.6589702663,-2.6636246137,-0.8383837954000001
abx_mega__nal_naoh__6,0.22046516400000002,0.4742116877,0.1949048065
abx_mega__chl_dmso__2,2.0664011369,-0.7491376872000001,-0.2965190891
abx_mega__rach_dmso__4,6.5192982392,1.3158775926000001,0.9072279491
abx_mega__teix_dmso__7,0.8952058273,1.157065001,0.4760578098
abx_mega__ceru_ethanol__1,-1.7188311132,-0.4819027402,0.5942382494
abx_mega__dmso-7__1,3.721085577,0.4787421693,0.5502041329
abx_mega__naoh-6__3,-0.5932596423000001,0.4113553509,0.3985351669
abx_mega__phos_ethanol__2,0.2754098039,0.9848615098000001,0.4755069677
abx_mega__metro_dmso__3,-0.9835962513000001,0.2588128189,0.7593384199000001
abx_mega__van_dmso__4,3.6614082391,-2.7398488769,-0.9437514518000001
abx_mega__h2o-10__1,1.16109403,-1.1463845642,-0.0088024738
abx_mega__h2o-10__2,1.2732997426,-0.18167348500000002,0.11731256200000001
abx_mega__dmso-6__3,-0.31963219,-0.0116677935,0.4245258925
abx_mega__mem_dmso__1,1.5914929845999999,0.3392312067,0.0221495772
abx_mega__ethanol-8__2,-0.0130905015,-0.0435230262,0.1553514222
abx_mega__chl_h2o__4,3.8812637725,-2.4173214164,-0.9067002987
abx_mega__van_h2o__1,-0.567245282,-1.195296519,-0.7663768052000001
abx_mega__dcs_h2o__1,0.4966851762,1.1921010459,0.34302064460000004
abx_mega__rif_dmso__5,2.6916441539,0.3962703057,0.5641164744
abx_mega__dox_dmso__3,-1.195185749,0.6590398202000001,0.3852142324
abx_mega__mem_dmso__2,0.5046135185,-0.5878881187,-0.0143963799
abx_mega__lvx_dmso__2,0.4945606433,0.7594335266000001,0.2120925827
abx_mega__tet_h2o__2,1.6537477516,-1.8155709717000001,-0.0535992765
abx_mega__phos_h2o__5,-1.5986373362,1.5086470685,1.1368348911
abx_mega__monac_dmso__1,1.5505311878999999,-2.2611507091,0.2581631515
abx_mega__str_h2o__3,3.8990372125,-0.3116211339,0.2098929226
abx_mega__zeocin_h2o__2,10.6367766526,1.3623051668000001,0.716158543
abx_mega__amyc-d_dmso__7,-1.0853774733,-3.5765071104,-1.8195500993
abx_mega__fidax_dmso__1,1.3022288954999999,0.837877316,0.3895025579
abx_mega__h2o-1a__1,-0.5121357534000001,-0.1296447174,-0.014744452600000001
abx_mega__dox_dmso__4,1.5510452677000002,0.2539945037,0.2542183783
abx_mega__lzd_dmso__2,-0.0819098093,-1.9823391515000002,-0.8593610486000001
abx_mega__tet_h2o__3,0.18226054960000002,-1.7296069782,-0.9487100239
abx_mega__dmso-1__2,3.8993596471,0.0302360876,0.3007382105
abx_mega__sxt_dmso__2,0.7123848042,0.2303837024,-0.1313019466
abx_mega__tric_ethanol__2,-1.0772520519,-0.7545196892,0.6589152801
abx_mega__teix_dmso__8,1.7230240983,0.49956095400000006,-0.3706064465
abx_mega__ramo_h2o__2,1.3217500953,-0.7359992955,0.0097559328
abx_mega__inh_h2o__3,1.1870517437,0.2075398229,0.4438443918
abx_mega__cst_h2o__3,0.8464234463,0.8768561297,0.093635272
abx_mega__dmso-9__1,0.6549527325000001,0.8178943477,0.5502023702000001
abx_mega__ethanol-8__3,0.2450905578,0.0564328625,0.23941242100000001
abx_mega__monac_dmso__2,3.9574413002,-2.7008388068,-0.7440725934
abx_mega__dmso-9__2,1.2446543429,0.6922717938,0.4683853437
abx_mega__metro_dmso__4,4.2232123578,-0.6919496818,0.5657900501
abx_mega__ctx_h2o__4,2.1466815525,0.8989052105,0.1570129421
abx_mega__zeocin_h2o__3,9.1384144264,1.3529974434,0.7747464813
abx_mega__bacit_h2o__5,8.6112528899,-0.9144894528,-0.2931713245
abx_mega__reta_dmso__1,2.511859441,-1.8949370919000001,-0.5449878411
abx_mega__ery_h2o__4,2.4628456375,-1.9000880355,0.0784509131
abx_mega__ceru_ethanol__2,-0.0220434507,-0.8571570077,0.7547704340000001
abx_mega__fidax_dmso__2,1.6150100215,0.6376141072,0.3536250526
abx_mega__novo_dmso__1,3.6605466282,-1.7657458117,0.8746578005000001
abx_mega__naoh-6__4,0.2972990431,0.3448198102,0.29936246310000003
abx_mega__amyc-d_dmso__8,4.6274103424,-1.2487957067,-0.4710809825
abx_mega__chl_dmso__3,1.7805303358,-0.4822863584,-0.326672564
abx_mega__nal_naoh__7,3.5758537269,0.5642901345,0.3962943741
abx_mega__teix_dmso__9,2.9833844863000003,1.0611789316,0.37532094790000003
abx_mega__ery_dmso__3,0.7760968397,-1.0755609373,-0.6216938097
abx_mega__tmp_dmso__3,-0.7347511939,1.6018324499,0.13931253130000001
abx_mega__sxt_dmso__3,14.673315825,1.3819609094,0.558718774
abx_mega__polmyx_h2o__4,1.2389460717,2.0539263121,0.9320456988
abx_mega__mem_dmso__3,-0.2442627595,0.6106956410000001,0.3979415361
abx_mega__nal_naoh__8,2.0837316955,1.8161699572,0.9156218947
abx_mega__pen_h2o__3,0.1727855963,0.3441337003,0.0770701456
abx_mega__van_dmso__5,4.4707716647,-2.9694574612,-0.9236914394
abx_mega__zeocin_h2o__4,8.0404218232,1.3996418628,0.8473467504000001
abx_mega__h2o-6__2,-0.24593874640000002,0.5556475972,0.3170738315
abx_mega__tet_h2o__4,0.8456886278,-1.7333418361000001,-1.1251574594
abx_mega__nor_naoh__4,-0.2879930183,0.9029759394,0.39791129080000004
abx_mega__cip_naoh__4,1.1728946630000001,0.39711450540000004,0.3648318555
abx_mega__tmp_dmso__4,0.7785731497,2.0297109178,0.5319673363
abx_mega__reta_dmso__2,2.2512888966,-1.6668953067,-0.775060662
abx_mega__mem_dmso__4,3.2569797273,0.7822800543,0.3689014584
abx_mega__dox_dmso__5,1.5332101566,-0.7050672557000001,0.0294679464
abx_mega__tmp_dmso__5,5.7078726132,1.829992684,0.4541069357
abx_mega__flavo_dmso__3,4.6305554331,0.9251341791000001,0.4279902372
abx_mega__tmp_dmso__6,4.7906014818,1.4142562446,0.3348146301
abx_mega__ceru_ethanol__3,-2.5692702525,-0.557387311,0.8618926901
abx_mega__teix_dmso__10,1.2566192127,0.3164685089,0.0201267037
abx_mega__novo_h2o__7,6.1022580084,-1.3521956972,-0.16178331940000001
abx_mega__fidax_dmso__3,1.0136548952,1.0944713773,0.37991272070000004
abx_mega__h2o-1a__2,0.27758242650000003,0.0054084184,-0.037277264500000004
abx_mega__dcs_h2o__2,0.6954893430000001,0.7839943466,0.3548311478
abx_mega__cst_h2o__4,0.1204393301,0.5368656777,0.1030718915
abx_mega__van_h2o__2,1.5431532179,0.1985527622,-0.0312494943
abx_mega__pen_h2o__4,8.9274785232,0.4456958716,0.4373284991
abx_mega__h2o-8b__2,1.7426911071000002,0.6842984929,0.48419750240000003
abx_mega__reta_dmso__3,3.1543824139,-0.6856886586000001,-0.7107889245
abx_mega__dmso-7__2,2.7552302792,0.565916422,0.8456941073
abx_mega__rfp_h2o__2,3.0964239617000002,-0.7320018034,0.344381459
abx_mega__rif_dmso__6,3.5029775725,0.1506217917,0.5506100709
abx_mega__sxt_dmso__4,10.3541323673,1.4114058316,0.5508957859
abx_mega__cip_naoh__5,0.3609705447,0.13134427040000002,0.0168630616
abx_mega__dmso-9__3,1.1443623795,0.64488104,0.39087303290000003
abx_mega__mem_dmso__5,4.5487667733,0.6460414053,0.0445700484
abx_mega__tric_h2o__2,-1.9422704880000001,-0.42367458,0.7730122446000001
abx_mega__phos_h2o__6,0.037506170900000003,0.17406203850000002,0.2524576478
abx_mega__h2o-7__2,6.4988912404,0.2788485778,0.4396618196
abx_mega__h2o-10__3,1.7518959293,0.0724958806,0.0991312743
abx_mega__h2o-8a__2,0.0781366156,-1.5040542321,0.2002313933
abx_mega__thio_dmso__3,3.6363474896,-0.8547016201000001,-0.30735370970000003
abx_mega__lzd_dmso__3,1.0225651767,-0.9292039441000001,-0.5015458618
abx_mega__monac_dmso__3,2.6557282997,-2.9123950343000002,-0.9672754863
abx_mega__polmyx_h2o__5,0.9758777160000001,0.6195071658,0.5316735566
abx_mega__naoh-6__5,-0.2266788543,0.6407349124,0.4761598155
abx_mega__teix_dmso__11,0.0246573591,0.20871831970000002,0.0169839429
abx_mega__van_h2o__3,1.7580584291,-0.5961245439,-0.2305984282
abx_mega__teix_dmso__12,1.6649320605,1.5262826841,0.3116507979
abx_mega__dox_dmso__6,2.6615063231000002,1.4021703445,1.5216893711
abx_mega__teix_dmso__13,1.6337324303,-0.14940621880000002,0.2245963553
abx_mega__h2o-7__3,6.6524383676,0.24893904460000002,0.1371741921
abx_mega__str_h2o__4,-1.9022266937999999,-0.34876901860000004,1.1305458372000001
abx_mega__tec_h2o__3,1.1908219771,0.12009690810000001,1.0538105626
abx_mega__phos_h2o__7,-0.25150888190000004,0.145216055,0.1186262654
abx_mega__chl_h2o__5,1.5395385592,-2.5218160866,-1.0961085104
abx_mega__polmyx_h2o__6,2.1309029837,2.2035318487,1.1499602633000001
abx_mega__teix_dmso__14,0.299391385,0.1984954848,0.10986960450000001
abx_mega__rif_dmso__7,1.5666716399,0.1471226605,0.5247555823
abx_mega__ramo_h2o__3,-0.2104522171,-0.9908648520000001,0.28553015200000004
abx_mega__fidax_dmso__4,4.25479709,0.6291489290000001,0.1534864812
abx_mega__teix_dmso__15,2.0183435472,0.9510650334,0.4048724238
abx_mega__thio_dmso__4,3.1843146408,-1.1328996092999999,-0.6222267499
abx_mega__rif_dmso__8,6.6632096471,0.3405416005,0.4140184986
abx_mega__reta_dmso__4,3.2764343066,-1.6940840442,-0.7268102176
abx_mega__inh_h2o__4,-0.3557352059,-1.3171505855,0.6849445812
abx_mega__novo_dmso__2,4.0876439341,-1.6897413618,0.7372848823
abx_mega__dcs_h2o__3,0.1244935979,1.0932399951,0.4539067214
abx_mega__h2o-8b__3,7.8248118739,0.5965446926,0.32490079320000004
abx_mega__valin_dmso__3,-0.5484983888,-1.1774423243,-0.12180968210000001
abx_mega__h2o-2__1,-2.0454575487,2.0248868795,1.5449819276999999
abx_mega__cro_h2o__4,0.4972829648,0.4483434096,0.22832263900000002
abx_mega__dcs_h2o__4,1.4626683685000001,1.3206441527,0.5151084096
abx_mega__str_h2o__5,1.2622092902,0.3705380667,0.3231262352
abx_mega__h2o-8a__3,0.8702609438000001,-1.7491905294999999,0.22258493570000001
abx_mega__dox_dmso__7,0.2483975135,0.313855629,0.27905037790000004
abx_mega__doxo_dmso__2,2.1866426574,-0.2682294092,0.078736579
abx_mega__teix_dmso__16,0.6086649384,-0.5373431886,0.141757141
abx_mega__rfp_h2o__3,4.5730464799,-0.959465738,-0.0217036996
abx_mega__ethanol-10__3,1.0788290958,0.27189814630000003,0.35144685610000004
abx_mega__naoh-2__2,-2.8839122509,1.4798411555,1.3397554379
abx_mega__van_h2o__4,0.4136724975,-1.540236798,-0.6558120901000001
abx_mega__sacet_h2o__2,0.09168856260000001,0.12212170900000001,1.8194889627
abx_mega__monac_dmso__4,2.9431623248000003,-2.9457463796,-0.1014722777
abx_mega__h2o-2__2,-1.4999562955,1.5366328880000002,1.4152471684
abx_mega__zeocin_h2o__5,1.9967306804,0.7225233767,0.1218754201
abx_mega__nor_naoh__5,0.8783711788,1.104854474,0.34099238190000003
abx_mega__naoh-9__2,0.4003375102,1.0729271585,0.5996398814
abx_mega__dmso-7__3,1.9648882272,0.6607289703,0.8699823852
abx_mega__van_h2o__5,0.69896283,-1.1146274978,-0.7245664336000001
abx_mega__flavo_dmso__4,1.6774315525999999,0.8418145844,0.3460788568
abx_mega__novo_dmso__3,4.3583857644,-1.6627298983,0.684112421
abx_mega__polmyx_h2o__7,2.7775230513,0.4096097549,0.1741701713
abx_mega__teix_dmso__17,1.1415253934,0.5049941751,0.22184745760000002
abx_mega__doxo_dmso__3,0.7052624382,0.277292298,0.3126274732
abx_mega__mem_dmso__6,0.8762255922000001,1.2156079337,0.3505350951
abx_mega__h2o-1a__3,0.2345533269,0.1242362991,0.0520217171
abx_mega__bacit_dmso__3,8.8149685145,-0.9169136467000001,-0.1795968479
abx_mega__dox_dmso__8,5.7202540664,1.9122819433,1.300507726
abx_mega__teix_dmso__18,1.4199347801,0.2167975843,0.19175662170000002
abx_mega__h2o-6__3,0.19858581900000002,0.3946222245,0.262236693
abx_mega__pen_h2o__5,1.0937946079,-0.1173421749,-0.5225968489
abx_mega__lzd_dmso__4,1.2612013451,-0.8091358935,-0.3332799081
abx_mega__daro__1,0.5971593242000001,-2.625504853,-0.1066234063
abx_mega__solv__1,1.000906715,-1.8180866915,-0.009596166500000001
abx_mega__daro__2,1.2066494945,-2.524648956,-0.0790526196
abx_mega__daro__3,0.8383357556000001,-1.8380917439000002,0.38187602470000004
abx_mega__solv__2,1.6775124092,-2.9194589753,-0.34110027670000004
abx_mega__solv__3,1.1407355764,-1.9496098173,0.35312897400000004
abx_mega__dmso-4__1,6.1005092106,0.0567463257,0.5797424133
abx_mega__kirr_dmso__1,2.6022523487,-2.3500187142,-1.33942713
abx_mega__kirr_dmso__2,3.1608646113,-2.5812257993000003,-1.4284988515
abx_mega__kirr_dmso__3,3.2837129103000002,-2.5248407104,-1.1109287256
abx_mega__dmso-4__2,7.4179012451,0.2164482677,0.3686310324
abx_mega__dmso-4__3,6.1908209005,-0.2222271141,0.5269048507
ackA_pta__dnaA46_del_ackA__1,-0.23674131550000002,1.1137109452,0.4437075254
ackA_pta__dnaA46_del_ackA__2,-0.38813918280000004,2.0809349021,0.5704149586
ackA_pta__dnaA46_del_ackA__3,0.1580085154,1.1558191022,0.5369991293
ackA_pta__dnaA46_del_pta__1,-1.0386755407,2.5661699897,1.1478756833000001
ackA_pta__dnaA46_del_pta__2,-0.23429233300000002,0.8136442882,0.0448667602
ackA_pta__dnaA46_del_pta__3,-1.3019852399,0.8749289961000001,0.5671756971
ackA_pta__dnaA46__1,0.4396801249,0.26803988630000003,0.1614554932
ackA_pta__dnaA46__2,1.1281916924,0.1904217574,-0.013684229400000001
ackA_pta__dnaA46__3,0.3256718742,0.2761249276,0.1615911191
ackA_pta__del_ackA__1,-0.0506700631,0.8715263851,0.5863427365
ackA_pta__del_ackA__2,-0.5295421035,2.7052561353,1.3011363901
ackA_pta__del_ackA__3,-0.3296395521,0.7543874371,0.44244931
ackA_pta__del_pta__1,0.0597219677,0.0023148937,-0.23870822200000003
ackA_pta__del_pta__2,0.1969515043,1.2263034279,0.034623570400000005
