,araB
Cr_1,0.002817936179956437
Cr_2,0.009108544766965192
Cr_3,0.018465630800678024
Cr_4,0.02497223368429816
Cr_5,0.02989987601186703
Cr_6,0.032024838312188844
Fe_1,-0.015990701996688075
Fe_2,-0.03864139934059375
Fe_3,-0.03729618571280033
Fe_4,-0.04088425700867224
Fe_5,-0.03732808623201523
Fe_6,-0.01724980230249801
Cd_1,0.009498314816227788
Cd_2,0.017966736597071153
Cd_3,0.026769747488656688
Cd_4,0.024905667012380846
Cd_5,0.019646131006695884
Cd_6,0.023927120770207092
Zn_1,-0.035631339784501365
Zn_2,-0.10080739508155756
Zn_3,-0.056369151571816226
Zn_4,-0.06499586283404006
Zn_5,-0.0684836222035328
Zn_6,-0.06987432855933827
Cu_1,0.0019802610186858303
Cu_2,0.005235375961770665
Cu_3,0.005325373091922001
Cu_4,0.010098485563078316
Cu_5,0.018050565564480262
Cu_6,0.025362111730327732
Pb_1,-0.002017107390143299
Pb_2,0.0025183620816017238
Pb_3,0.00993502744263748
Pb_4,0.012787636167827335
Pb_5,0.012624373195916326
Pb_6,0.02173901382163355
