,A,ihfB,ArcA,Crp,IclR,Cra
R2,,0.18805404483895205,0.16769541254891274,0.019161436805839815,0.017427156258713827,0.013972448465316978
xmin,,-2.385835026,-1.6314585560000001,-9.852476477,-2.4659540565,-7.2746930645
xmid,,,,,-0.3158342394660171,0.9092923270743194
xmax,,1.646649845,2.531055996,1.6003325529999999,1.4015058905,2.0021776035
ystart,,-6.213842656085274,-5.637957182757712,2.025010107246006,-1.2610019324951451,-1.4674668277845218
yend,,1.621279281325188,2.7869611315272698,-2.0018091825169533,-3.075253240425042,-6.187875001024959
control__wt_glc__1,0.0928455031,0.08337238500000001,0.036636971000000004,0.012478646000000001,-0.0642378095,0.0308891915
control__wt_glc__2,-0.0928455031,-0.08337238500000001,-0.036636971000000004,-0.012478646000000001,0.0642378095,-0.0308891915
fur__wt_dpd__1,3.3453042853,0.7158603250000001,1.058304126,0.077574131,-0.7882625525,-1.1877552405
fur__wt_dpd__2,3.1347446712,0.8566654450000001,1.126720666,-0.090682171,-0.8535562955,-1.1737682105
fur__wt_fe__1,-0.5727796068000001,-0.076995065,-0.05264584,-0.030513673,-0.2699275705,-0.3327269625
fur__wt_fe__2,-0.5128768316,-0.086717445,-0.129847039,0.05819072,-0.3244204235,-0.2594009255
fur__delfur_dpd__1,2.8345154672,0.689803445,1.122678696,-0.105981984,-0.3782053495,-1.0912162295
fur__delfur_dpd__2,2.8135970737,0.621869415,1.043829066,-0.22346684100000003,-0.6043755995,-1.0673563795
fur__delfur_fe2__1,-0.47406601670000004,0.365818715,0.038872322,0.436429913,-0.3843892855,-0.5522316355
fur__delfur_fe2__2,-0.4483950148,0.335810425,0.005759822,0.367563393,-0.3569863225,-0.5848465775
acid__wt_ph5__1,-0.9977463561000001,0.284257435,0.9077065660000001,0.345522573,-0.2513229265,-0.23737093050000002
acid__wt_ph5__2,-0.9039093395000001,0.301657345,0.8854765760000001,0.343136463,-0.36710752150000003,-0.24076136350000002
acid__delgadx_ph5__2,-1.2865444696,0.036205125000000005,0.6386470710000001,0.33938771300000004,-0.5834132555,-0.2069328745
acid__delgadw_ph5__1,-1.0299728307,0.19517709500000002,0.774188486,0.383863793,-0.5087095065,-0.28221490650000003
acid__delgadw_ph5__2,-0.300566893,0.183183425,0.8036499260000001,0.33986178300000003,-0.3002528295,-0.2312081875
acid__delgade_ph5__1,-0.7783201163,0.33218594500000004,0.499338233,0.43240872300000005,-0.3314342145,-0.1426848045
acid__delgade_ph5__2,-1.0362745791,0.239560985,0.48226117700000004,0.482436193,-0.3530047765,-0.2107098605
oxidative__wt_pq__1,2.7375495046,0.946614625,2.161495396,0.17662370300000002,-1.5036497465,-0.9948958295
oxidative__wt_pq__2,3.4245330413,0.9488081850000001,2.173902676,0.24038529300000003,-1.3227186325,-1.0895483045
oxidative__deloxyr_pq__1,3.2618767083,0.874908725,2.132592106,0.513155013,-0.5868524875000001,-0.22714133450000001
oxidative__deloxyr_pq__2,3.3012304379,0.9672342150000001,2.155119376,0.536337303,-0.8031951015000001,-0.1089024705
oxidative__delsoxr_pq__1,2.9694967976,1.071325345,2.114133386,0.334672533,-1.4533245215,-0.8179514835
oxidative__delsoxr_pq__2,3.0909211015,1.168231695,2.045519786,0.387059873,-1.4911835895,-0.8006893435
oxidative__delsoxs_pq__1,2.8763100484,1.135143795,2.3445910960000003,0.513462963,-0.9833177315,-1.1173508365
oxidative__delsoxs_pq__2,3.1564318822,1.020138575,2.405278176,0.5104807530000001,-1.2542265785,-0.9308994235
nac_ntrc__wt_csn__1,2.4053274839,0.172544145,0.614107743,-0.07279683,-0.35283007450000003,-0.2068408135
nac_ntrc__wt_csn__2,2.6370028792999998,0.213025175,0.560547789,-0.093243951,-0.2237816245,-0.2683508555
nac_ntrc__wt_cytd__1,1.1609148118000001,0.457530655,0.279501977,-0.043119613,-0.1780797545,-0.0824133625
nac_ntrc__wt_cytd__2,0.6358014338,0.597994515,0.286099773,-0.07348926,-0.3520253405,-0.1677115365
nac_ntrc__wt_gln__1,0.5521769263,1.040972635,0.8913351260000001,0.16383650300000002,-0.2257914765,0.0801267355
nac_ntrc__wt_gln__2,1.1561165773,1.115534085,0.8662795560000001,0.11651884600000001,-0.4625749025,0.0043702345
nac_ntrc__bw_delnac_csn__1,2.9190347519,0.215499185,0.9463078960000001,0.16921202300000002,-0.8299160795,-0.3579043765
nac_ntrc__bw_delnac_csn__2,3.7838450694,-0.16648385500000001,1.058494226,0.03216219,-0.3125911065,-0.1233860915
nac_ntrc__bw_delnac_cytd__1,1.5572170889999999,0.46454559500000003,0.9694913660000001,0.29367586300000004,-0.6051621565,-0.18457792450000002
nac_ntrc__bw_delnac_cytd__2,1.5143668276,0.423041565,0.9866688160000001,0.22863865300000003,-0.6376970995,-0.21771202550000002
nac_ntrc__bw_delnac_gln__1,2.2030506553,0.8464916450000001,1.779034016,0.505105143,-0.47992015650000003,-0.058414558500000005
nac_ntrc__bw_delnac_gln__2,3.1173362438,0.8042016750000001,1.7441336060000001,0.563775123,-0.4281704055,0.0276207205
nac_ntrc__bw_delnac_nh4__1,-0.6800726948,-0.302034215,0.532564653,0.339165103,-0.5245148595,-0.1843641365
nac_ntrc__bw_delnac_nh4__2,-0.7173999823,-0.19284083500000002,0.613698527,0.360235063,-0.4901298885,-0.2454034005
misc__wt_no_te__1,1.7678705326,0.868944275,0.985523586,0.32216916300000004,-0.6491463425,-0.46721748750000003
misc__wt_no_te__2,0.9424613429,0.509379655,0.614279137,0.315987593,-0.4700250275,-0.2667226935
misc__bw_delcbl__1,-0.36900287470000004,-0.339403675,0.12568636,0.30577407300000004,-0.9361463335,-0.2915494965
misc__bw_delcbl__2,-0.3520524097,-0.297203465,0.035046911,0.322569413,-0.9483708275,-0.28677707750000003
misc__bw_delfabr__1,-1.3607846039,-0.6204796650000001,-0.24226446100000001,0.194465293,-0.8428382725,-0.2201390145
misc__bw_delfabr__2,-0.9990696712,-0.5922961330000001,-0.291546346,0.13385438500000002,-0.8185594715000001,-0.3216772765
misc__bw_delfadr__1,1.6634347702,-0.26224984500000004,0.639510641,0.325118883,-2.0382440805,-0.2075440335
misc__bw_delfadr__2,1.8971205096000001,-0.136506935,0.6575469140000001,0.343466333,-1.8481566265,-0.1982028295
misc__nitr_031__1,1.0953739373,0.036167395000000005,1.407530216,0.215598863,-0.2676456125,-0.2527009105
omics__wt_glu__1,-1.5930832292,-0.13827825500000002,-0.273254272,0.348125933,0.1828460825,0.2896546635
omics__wt_glu__2,-2.2260688057999998,-0.251474605,-0.267923509,0.319898823,0.1859363245,0.1785036485
omics__wt_gly__1,-2.2551895222000002,-0.8723242170000001,-0.30586483000000003,0.31218181300000003,0.0333837065,0.0584354255
omics__wt_gly__2,-2.7766822443,-0.871424807,-0.24486246900000003,0.348980073,-0.1945422695,0.08485717250000001
omics__wt_thr__1,-1.5251181276999999,-0.185728995,-0.121007954,0.883560683,-0.1162347205,0.6122284505000001
omics__wt_thr__2,-1.2715808243,-0.34076356500000005,-0.04399066,1.1275514229999999,-0.1464150225,0.6146578485
omics__bw_ac__1,2.3043132377,0.647908585,-0.048029848,0.46435899300000005,0.3470705975,0.8817667035000001
