,-0.17552528430357145,-0.1485213944107143,-0.12151750451785714,-0.09451361462499999,-0.06750972473214284,-0.04050583483928569,-0.013501944946428535,0.013501944946428618,0.04050583483928577,0.06750972473214292,0.09451361462500008,0.1215175045178572,0.14852139441071438,0.17552528430357156,0.20252917419642869,0.2295330640892858,0.256536953982143,0.28354084387500017,0.3105447337678573,0.3375486236607144
thresh,-0.18902722925,0.18902722925,15,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,3,76,1618,1624,59,1,0,0,0,0,0,0,0,0,0,0
IclR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ArcA,0,0,0,0,1,2,40,63,4,0,0,0,0,0,0,0,0,0,0,0
Cra,0,0,0,0,0,1,11,13,0,0,0,0,0,0,0,0,0,0,0,0
IHF,0,0,0,0,0,6,61,49,1,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,0,9,169,176,11,1,0,0,0,0,0,0,0,0,0,0
ArcA and Cra,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0
ArcA and IHF,0,0,0,0,0,1,18,7,2,0,0,0,0,0,0,0,0,0,0,0
ArcA and Crp,0,0,0,0,0,5,33,22,2,0,0,0,0,0,0,0,0,0,0,0
Cra and Crp,0,0,0,1,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0
IHF and Crp,0,0,0,1,0,2,34,22,0,0,0,0,0,0,0,0,0,0,0,0
"Cra, IHF, and Crp",0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, IHF, and Crp",0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0
"ArcA, Cra, and Crp",0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
"IclR, ArcA, Cra, IHF, and Crp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
IclR_genes,[],[],[],[],[],[],[],[],['iclR'],[],[],[],[],[],[],[],[],[],[],[]
ArcA_genes,[],[],[],[],['mqo'],['yeiQ' 'msrB'],"['xthA' 'fadA' 'igaA' 'rutC' 'ndk' 'ymjE' 'ybdN' 'yhjE' 'argT' 'pepN'
 'rutD' 'puuP' 'moeB' 'thiC' 'kdpA' 'yhgE' 'rpsQ' 'appY' 'acpP' 'ackA'
 'iraM' 'moeA' 'rpmC' 'hybA' 'dsbB' 'rutB' 'ssb' 'rstA' 'cydD' 'oppD'
 'ypdA' 'yejG' 'rutA' 'potF' 'rutG' 'fadJ' 'oppF' 'oppA' 'pldA' 'yjiR']","['fadB' 'cycA' 'appA' 'thrA' 'lldD' 'rpsJ' 'lldR' 'yfiF' 'hybE' 'rho'
 'cadB' 'fadI' 'rplP' 'hybF' 'pntA' 'ydeA' 'yieE' 'oppC' 'ydgC' 'cydC'
 'hyaD' 'cadA' 'nudE' 'rutF' 'hybO' 'rpsC' 'arcA' 'puuA' 'rutE' 'rsd'
 'appB' 'folE' 'argR' 'hybD' 'hybB' 'uvrA' 'rplC' 'yncE' 'hyaE' 'sstT'
 'yncD' 'tpx' 'putA' 'hyaF' 'rplW' 'fadE' 'appC' 'rplD' 'hybC' 'rplV'
 'rpsS' 'dcuC' 'rplB' 'yigI' 'ynaJ' 'oppB' 'hyaA' 'kgtP' 'feoA' 'lldP'
 'hyaB' 'ybiU' 'phoH']",['hyaC' 'ybfA' 'sthA' 'hybG'],[],[],[],[],[],[],[],[],[],[],[]
Cra_genes,[],[],[],[],[],['eda'],"['fruB' 'edd' 'pfkA' 'glk' 'tpiA' 'adhE' 'aroP' 'setA' 'yibQ' 'envC'
 'pykF']","['fruA' 'eno' 'hypF' 'gpmM' 'zwf' 'fruK' 'sgrT' 'ppc' 'fbaB' 'poxB' 'yeaD'
 'pdeL' 'ppsA']",[],[],[],[],[],[],[],[],[],[],[],[]
