,A,PyrR
R2,,0.35639435631622696
xmin,,-4.27108418192667
xmid,,-1.583487891037032
xmax,,2.559094078701401
ystart,,-12.007983643837585
yend,,13.899769299465735
amb:ctrl:1,7.814905080848603,0.7358106588760425
amb:ctrl:2,0.008671585105599,0.2527775197170623
amb:ctrl:3,-7.8235766659541115,-0.9885881785931012
amb:amb:1,8.113350090460273,0.477597220912708
amb:amb:2,-8.37115561905566,-1.0222577881683217
amb:amb:3,-8.579696301412756,-1.5869803557533295
ave1:ctrl_5m:1,-0.3250898571267875,-0.04751832616187457
ave1:vdave1_5m:1,10.550446133006297,0.7502160209601403
ave1:ctrl_20m:1,9.806540443023627,0.5987623467832588
ave1:vdave1_20m:1,11.001720445433842,0.4134540654527843
ave1:supernatant_5m:1,-0.9807416914020344,-0.0407941377450598
ave1:vnave1_20m:1,8.517048639901871,0.3331367130572698
ave1:supernatant_20m:1,8.471731314662831,0.38284219986454093
ave1:ctrl_5m:2,0.3250898571268233,0.047518326161872786
ave1:vdave1_5m:2,7.738459849623482,0.27477218837241324
ave1:ctrl_20m:2,10.198751091336137,0.4440230896466009
ave1:vdave1_20m:2,11.020862186825358,0.21137674067206014
ave1:supernatant_5m:2,2.2115029588204287,0.3712223719893899
ave1:vnave1_20m:2,9.578885986006654,0.2616327266679406
ave1:supernatant_20m:2,9.121661665774402,0.3077517509915264
biofilm_time:8h:1,0.4638417112817315,0.051712343504721765
biofilm_time:8h:2,-0.4127224354975377,-0.020045572715181592
biofilm_time:8h:3,-0.13181228973580178,-0.0253102098678788
biofilm_time:8h:4,0.08069301395162441,-0.006356560921666698
biofilm_time:12h:1,-3.5654438497885,-0.6190953763186986
biofilm_time:12h:2,-3.3337851998243733,-1.0093759979173846
biofilm_time:12h:3,-3.144514130860097,-1.7054881642874236
biofilm_time:12h:4,-2.7256434825834654,-1.9899934628368283
biofilm_time:16h:1,-3.2540623509701367,-2.9284468825457166
biofilm_time:16h:2,-3.27322582071333,-3.554058136963796
biofilm_time:16h:3,-4.948654240831584,-3.8955889725283352
biofilm_time:16h:4,-4.673767092613339,-4.0317551126305755
biofilm_time:20h:1,-2.5520373418011606,-0.3232686489689041
biofilm_time:20h:2,-1.134730745975664,-0.38856635825301744
biofilm_time:20h:3,-2.582326098883277,-0.2489977727711459
biofilm_time:20h:4,-1.6420624994741055,-0.2519703083937461
biofilm_time:24h:1,-2.4818498953124357,-0.20704966839165093
biofilm_time:24h:2,-0.5681749572205941,-0.5747061093469412
biofilm_time:24h:3,-1.8301013344781447,-0.07014365272891787
biofilm_time:24h:4,-3.0983179334820683,-0.4901119322493095
biofilm_time:28h:1,-6.474707327092368,-1.221879542577886
biofilm_time:28h:2,-5.8897737981629765,-1.4991079017062283
biofilm_time:28h:3,-9.073047768992893,-2.140678004177341
biofilm_time:28h:4,-4.4091798594213225,-0.3387802300504834
biofilm_time:32h:1,-5.028444344809465,-1.015082274018564
biofilm_time:32h:2,-7.225239617887814,-0.5429124309062754
biofilm_time:32h:3,-7.055915000495904,-1.4627701979795713
biofilm_time:32h:4,-6.914877754154795,-1.329777340352786
codY:wt:1,0.488906955985955,0.12759260001370798
codY:wt:2,-0.4889069559859561,-0.12759260001370798
codY:ctrl:1,-3.368711071063733,-0.14582990786671246
codY:ctrl:2,-3.365640757046348,-0.3271802116536566
codY:codYR61K:1,-1.4782443134519505,0.039669809848334125
codY:codYR61K:2,-2.5389383201877664,-0.20587077914753493
codY:codYR61H:1,-2.7513837256892937,-0.08167769551997495
codY:codYR61H:2,-3.12675152138438,-0.4466144294761225
codY:codYF71Y:1,-2.1551050140758883,-0.1476211018816933
codY:codYF71Y:2,-1.3206969371031472,-0.27581050388145195
decay:wt:1,-0.7667336518436463,-0.26159175143117075
decay:wt:2,-0.8583913229587555,0.15205904703315376
decay:wt:3,1.6251249748023489,0.10953270439801788
decay:delpnpA:1,-11.084163449101538,-0.5935241986923439
decay:delpnpA:2,-11.692844540819873,-0.3019398324011417
decay:delpnpA:3,-11.24320683996662,-0.16381988000306524
ecm_tasA:deltasA:1,0.3698041902737246,0.19531849006544102
ecm_tasA:deltasA:2,-1.1202492542615188,0.8772887426610545
ecm_tasA:deltasA:3,2.009904564018416,0.2308182088907849
ecm_tasA:delcssRS:1,0.6231651862399076,1.8331786386945892
ecm_tasA:delcssRS:2,-1.1051133833488027,1.4721277571385674
ecm_tasA:delcssRS:3,-1.415122762648468,1.5298215653287404
