locus,gene_weight,gene_name,gene_product,cog,regulator,MdcR,link
PA0212,0.23139047170000002,mdcE,malonate decarboxylase subunit gamma,Lipid transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0212&e1=1&assembly=complete
PA0211,0.2229505457,mdcD,malonate decarboxylase subunit beta,Lipid transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0211&e1=1&assembly=complete
PA0210,0.2143744914,mdcC,malonate decarboxylase acyl carrier protein,Energy production and conversion,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0210&e1=1&assembly=complete
PA0213,0.185050019,PA0213,phosphoribosyl-dephospho-CoA transferase,Coenzyme transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0213&e1=1&assembly=complete
PA0209,0.1757274708,PA0209,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,Coenzyme transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0209&e1=1&assembly=complete
PA0208,0.14677043680000001,mdcA,malonate decarboxylase subunit alpha,Lipid transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0208&e1=1&assembly=complete
PA0214,0.132152992,PA0214,acyl transferase,Lipid transport and metabolism,MdcR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0214&e1=1&assembly=complete
PA0216,0.0976303664,PA0216,malonate transporter MadM,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0216&e1=1&assembly=complete
