,0
bNum,b0002
name,thrA
operon,"thrL,thrA,thrB,thrC"
product,aspartate kinase / homoserine dehydrogenase
cog,No COG Annotation
regulator(s),"Sigma70, arcA, crp, fnr, lrp"
