,proQ
Cr_1,0.0006766126348512707
Cr_2,-0.001535390220403624
Cr_3,0.003602417911535928
Cr_4,0.002955325648973979
Cr_5,-0.0046244972413484525
Cr_6,-0.0007338487881130753
Fe_1,-0.015618606792104769
Fe_2,-0.024416135173061747
Fe_3,-0.010661171114873424
Fe_4,0.0016437108122527135
Fe_5,0.013596373402648085
Fe_6,0.008513350582501925
Cd_1,0.002201558726880251
Cd_2,0.004930796881911517
Cd_3,0.00653090075254035
Cd_4,0.014090085930747112
Cd_5,0.01607920689362275
Cd_6,0.019603174596201964
Zn_1,-0.04336998863692502
Zn_2,-0.052549795213465936
Zn_3,-0.06266468056572655
Zn_4,-0.048780916205324265
Zn_5,-0.031511138487338365
Zn_6,-0.02445078857841941
Cu_1,0.0046962953885099756
Cu_2,0.0002524651701934753
Cu_3,-0.00042861816815166633
Cu_4,0.0007935375332545668
Cu_5,0.012007754175565016
Cu_6,0.02429340913551873
Pb_1,0.005943528010361767
Pb_2,0.008865199177732359
Pb_3,0.01187056769090357
Pb_4,0.02072913456678799
Pb_5,0.02129682737558911
Pb_6,0.023391535149582515
