,setB
Cr_1,-0.0032165120942373488
Cr_2,-0.0026870594057181603
Cr_3,0.0022198283905475666
Cr_4,-0.00011475670709685073
Cr_5,0.002071555972928187
Cr_6,-0.0019606463444156773
Fe_1,-0.02051456009710166
Fe_2,-0.04511729191641937
Fe_3,-0.05249862686491375
Fe_4,-0.06174464498122136
Fe_5,-0.058837321343687264
Fe_6,-0.04684366555018906
Cd_1,-0.0005854062999611966
Cd_2,0.004341940587936187
Cd_3,0.004513770348111141
Cd_4,0.0008913155528750255
Cd_5,0.00028936681885840984
Cd_6,0.002162805574582864
Zn_1,-0.010548189517508804
Zn_2,-0.01701148757695305
Zn_3,-0.01222404406583764
Zn_4,-0.005262243024206813
Zn_5,0.0047147547325332145
Zn_6,0.009465872817371988
Cu_1,0.00442234058667063
Cu_2,-0.0018754545042027266
Cu_3,0.003397276969635125
Cu_4,0.005961828073906082
Cu_5,0.014729786478488048
Cu_6,0.025272167643448157
Pb_1,0.00043328130422353394
Pb_2,0.003781144566681777
Pb_3,0.002576095984174341
Pb_4,0.012030499569703756
Pb_5,0.010892889827367537
Pb_6,0.01942911950140928
