,yagG
Cr_1,-0.0021924621227409585
Cr_2,0.0011231699483938134
Cr_3,0.005214653638924147
Cr_4,0.005615480706622949
Cr_5,0.011739521402167816
Cr_6,0.018960460845868245
Fe_1,-0.01326687075646225
Fe_2,-0.034025968050236555
Fe_3,-0.05693859869038623
Fe_4,-0.10254873201769192
Fe_5,-0.13672162105821406
Fe_6,-0.16803475812849514
Cd_1,0.005324485825854636
Cd_2,0.007231740036678623
Cd_3,0.015595834225185541
Cd_4,0.01587004332476081
Cd_5,0.017150090332788536
Cd_6,0.016974365639806237
Zn_1,-0.0009226024543484099
Zn_2,-0.037389895581285165
Zn_3,-0.04337817688125377
Zn_4,-0.02990517826570128
Zn_5,0.002764871907753505
Zn_6,0.024220043769100492
Cu_1,0.004190158471967294
Cu_2,0.015352626307174376
Cu_3,0.01707102977273001
Cu_4,0.015362126305244719
Cu_5,0.021558232788840816
Cu_6,0.02905455896165237
Pb_1,0.012648577327900559
Pb_2,0.01833798944358289
Pb_3,0.019254937194837084
Pb_4,0.025124862066518632
Pb_5,0.029938114745437
Pb_6,0.040688993385345235
