,argW
Cr_1,0.0014068690083982912
Cr_2,-0.002999966110098153
Cr_3,7.125612440934598e-05
Cr_4,0.00037923756034480055
Cr_5,-0.004833950230180778
Cr_6,-0.019996878368651327
Fe_1,-0.02254653669153001
Fe_2,-0.026941035659322318
Fe_3,-0.004089715157139099
Fe_4,0.011348794825778592
Fe_5,0.02703563804721016
Fe_6,0.036667557656300934
Cd_1,0.0027069941545036875
Cd_2,0.005439039772757832
Cd_3,0.012453245877246659
Cd_4,0.02040093905325485
Cd_5,0.023801689064900683
Cd_6,0.03011222049591163
Zn_1,-0.010263440206845009
Zn_2,-0.013558382543472051
Zn_3,0.004390022982850565
Zn_4,0.01715541205997944
Zn_5,0.03921020222158325
Zn_6,0.051033129003728576
Cu_1,0.009433810964084152
Cu_2,0.016344598347943492
Cu_3,0.021104148116623887
Cu_4,0.029917929222308726
Cu_5,0.04010005172381738
Cu_6,0.045096753785013766
Pb_1,0.0033726446470114376
Pb_2,0.005703076936376466
Pb_3,0.0156046532661083
Pb_4,0.019126153873203686
Pb_5,0.021831058108558583
Pb_6,0.0191570465116094
