,A,Fnr,flhD,NarL,ihfB,NarP,NsrR,Fis
abx_mega__nal_naoh__4,-0.0491394774,0.0028938907,0.023803539300000003,-0.3741219792,-1.1529412139,-0.25856244240000004,0.7157952998,-0.2755809595
abx_mega__cip_naoh__1,1.0134286963,0.11078089020000001,0.1789866654,-0.3082369024,-1.0626874924,0.0550519451,0.5109925347000001,-0.0218445443
abx_mega__pen_h2o__2,2.115177785,-0.2836689398,-0.1519309597,-0.3006640419,-0.9260874235000001,-0.32598421250000004,-0.2833547597,-0.3603364043
abx_mega__ery_dmso__2,0.8798642977000001,0.0804674744,-0.441945124,-1.1971011775,-1.3048554744,0.4420436025,0.2404462869,0.5386924691
abx_mega__dmso-2__2,-0.5577242404,-0.2221077391,-2.609172495,1.5801977473000002,2.186138402,-0.2643984723,-0.3919295349,-1.1777016044
abx_mega__van_dmso__2,-2.535515712,0.6605546913,-1.8530520526,-0.884127384,0.9100277827000001,1.5217850224,0.4713974187,0.4569554622
abx_mega__h2o-1b__1,1.2847733489,0.030807355300000002,-0.1542357583,-0.452432223,-0.8877531976,0.0190431771,0.025203613700000002,0.62288687
abx_mega__ery_h2o__1,-1.7368279184,0.1635488437,0.7147943751,-1.3563246039,-1.5251338072,-0.33719525100000003,1.1520104852,2.3050038891
abx_mega__bacit_h2o__1,-0.8151113955,-0.4774994905,-3.5635347109,-0.6817547788,-1.4504833334,-0.4628079016,-1.6364548456999999,-0.034645267800000004
abx_mega__chl_h2o__2,-1.7014705238,0.0987552064,-0.0843130528,-1.3195528967999999,-1.2200697843000001,0.4495089318,1.1470947856,1.6454385256
abx_mega__str_h2o__2,-1.6886964449000001,0.2741965069,-2.0724436972999998,1.3047365667,1.7775761065,0.1744438962,-0.1406155079,-0.862049083
abx_mega__rfp_ethanol__2,-5.3925107706,0.12295077100000001,0.143207821,0.0825550003,-1.2855187251,0.008755924600000001,-1.3455176474,1.5046348551
abx_mega__polmyx_h2o__2,1.5345147215,-0.3737381984,0.024322288900000003,-0.2047876144,-0.8769879084000001,0.2622974283,-0.1912980384,-0.7560279758
abx_mega__tric_h2o__1,-0.3967394218,1.3424886167,0.5472886571,0.6570030657,-1.2793691829,1.059662953,-0.591423064,-0.9570480503000001
abx_mega__cip_naoh__2,1.6349592285,0.09932130680000001,-0.1387724002,-0.0042746708,-1.080054735,-0.5126311683,-0.16638508100000002,-0.2310521848
abx_mega__novo_h2o__3,0.9517907188,0.0559133562,-2.5939861389,-1.6268601596,-1.4207421173,-1.7429741852,-0.014549161500000001,0.0384749824
abx_mega__bacit_dmso__1,2.3597638259,-0.2242105774,0.0282411685,-0.2149626757,-0.36320266970000004,-0.4913291436,-0.3450232693,-0.27164175360000004
abx_mega__gen_h2o__1,-0.7295184461,0.41129122560000003,-2.8463544232,-0.0023401669,3.0734252999,0.405030378,-0.17598022900000002,-0.9889467527
abx_mega__bacit_dmso__2,1.9683063013000002,-0.2049744387,-0.0053740682,-0.1358000564,-0.1474923579,-0.7977427117,-0.5562611027000001,-0.7642554466
abx_mega__chl_dmso__1,-1.285217387,0.1866328231,-2.0607787793,-1.2077453185,-0.8603384773,0.5384543401,-0.4909730004,-0.2785421886
abx_mega__bacit_h2o__2,1.0672361096,-0.8589924069,-3.1172038726,-0.4745572525,0.0810143052,0.1082156185,-1.3949975515,0.37938326920000004
abx_mega__lvx_dmso__1,3.0383459429,-0.18501779240000002,0.2688373166,0.7236428398,-0.8766338815,-0.0427401263,0.2150596203,0.0592087638
abx_mega__bacit_h2o__3,-1.0349303669,-0.3986390476,-2.9197543414,-0.4942506949,-1.0401998064,-0.0107323025,-1.1055948067,0.2957838322
abx_mega__nor_naoh__2,1.4764196843000001,-0.11461450370000001,-0.1768880331,-0.1796711266,-1.1131732022,0.2506141943,0.1351941967,-0.9272936324000001
abx_mega__amyc-d_dmso__2,2.0686510162,0.1534325597,0.2146100155,-0.23408638040000002,1.1241333731,-0.2171867614,0.4248049696,1.1044165911
abx_mega__polmyx_h2o__3,1.5290997886,0.4256416268,-2.3126405164,1.4636209179000002,1.0533152899,0.2987113913,0.15273250630000001,-1.0044740437
abx_mega__naoh-6__1,1.8973144251,0.1918842788,-0.0479811407,-0.0738028359,-0.2205498512,-0.2025213412,0.0567076329,-0.3681309666
abx_mega__cst_h2o__2,2.0992961698,0.2575678173,0.1824769202,-0.2211989576,-0.9253991697,-0.020084199100000002,0.39856100400000005,0.49882963830000004
abx_mega__h2o-1b__2,0.6328496787,0.7809611414000001,-0.7486896812,-0.32526084780000003,-0.6949207847000001,-0.1599746149,0.3415437246,0.566920077
abx_mega__rfp_h2o__1,0.1752837434,-1.0905972262999999,-0.1745971313,0.9832435012,0.3662144094,0.9545101337,-0.0781341396,2.0234284253
abx_mega__tet_h2o__1,1.207545204,0.0295461953,1.306968395,-1.741102497,-0.9221896544,0.2129200557,0.4558157231,-0.22959920490000002
abx_mega__flavo_dmso__1,3.2233988441,-0.9098451584,-1.9880221804,0.3338762417,-0.3053163494,-0.3919223859,0.37579572380000004,-0.0980294456
abx_mega__zeocin_h2o__1,1.3136065278,0.11093211330000001,0.4637735116,0.356397116,-1.4155199507,0.19983134200000002,-0.1013788312,-0.459732
abx_mega__nor_naoh__3,1.8096422167,-0.2660034833,-0.3062661521,-0.2272100971,-1.0599211097,-0.40460818390000003,0.0826997019,-0.3283958898
abx_mega__rach_dmso__2,2.0715781819,0.1360391327,-0.15011868420000002,1.7463769081,-1.4386345449,-1.2809293815,-1.9326071197,0.5310775656
abx_mega__thio_dmso__2,-2.6055358899,0.3253789217,0.0831291111,-0.3890854292,-0.2803295697,1.0805292125000001,1.5766745735,1.8115914355
abx_mega__amyc-d_dmso__3,-0.7637631103,0.33467356740000004,0.0607207949,-1.6884538489,0.6293734383,1.4267336037,1.1326352811,1.6412196845
abx_mega__rif_dmso__2,2.0062976809,-0.7654036895,-0.1364899058,0.6145146939,-0.2010869699,0.4273007978,0.45794533,0.5688580452
abx_mega__amyc-d_dmso__4,0.048757462800000005,0.0720316185,0.20054398140000002,-0.335661769,1.2525770415,-0.1459043831,0.565346326,1.2367111817
abx_mega__teix_dmso__3,1.8665605376,-0.1127364899,-0.5745220569,-0.1154299023,-0.2896248806,0.1586559508,-0.131737561,0.5325024357
abx_mega__valin_dmso__1,2.1776092846,-0.1452747475,-0.4139537404,0.0956653423,-0.5997892775,-0.4885066871,-0.2220314505,-0.4511907362
abx_mega__teix_dmso__4,2.8766806018,-0.2103049645,-0.15704729750000002,0.23881420290000002,0.1237988565,0.0296494853,-0.31352496690000003,0.277694506
abx_mega__ethanol-10__1,-0.9250015878000001,0.6194313426,0.49249635300000005,0.6441814068,-1.5734086149,0.4304443738,-0.5861921527,-1.0363960574
abx_mega__inh_h2o__1,-0.6376757638,-0.0340580552,-0.3104736417,0.44933268930000003,-1.8638919299,-0.3569003075,-1.2274705445,-0.5469996683
abx_mega__rif_dmso__3,0.7841655554,-1.5589165824,-0.43504833860000003,1.197837956,0.6829585180000001,0.4464629396,-0.1575783937,2.0394370277
abx_mega__van_dmso__3,-0.7576993585,0.2389667466,-1.5174490577,-0.7705163065,0.9236742301,-0.0915679966,-0.44589467120000004,0.6814291384000001
abx_mega__doxo_dmso__1,2.0340818052,-0.1301723133,-1.5549778523,0.42316666420000004,-1.7925095215,-0.7656583164,-0.7418148667000001,-0.0301321781
abx_mega__tmp_dmso__1,2.0767002216,0.0567992999,0.24839610210000002,0.37644281350000003,-1.0856227286,-0.07555889040000001,0.1731569331,-0.1249819187
abx_mega__ethanol-10__2,-1.1888084777,0.4463184544,0.4977978239,0.3676884166,-1.5969538419,-0.4933719915,-0.8173543594,-0.5284590883
abx_mega__tmp_dmso__2,2.4952911721,-0.011770757000000001,0.0442897882,0.3141558765,-1.1365814194000001,-0.5430244888,0.2442831423,-0.1497972132
abx_mega__amyc-d_dmso__5,-3.7749877839,0.4703427457,-0.3345278946,-0.7713514634,0.9335471945,1.7156796893,1.3546064089,2.0380877735
abx_mega__novo_h2o__4,3.2665456287,0.7891519738,-1.5525288251,-1.9558634060000002,-0.9001345086,-2.0543147824,-0.44398007450000004,0.0052233307
abx_mega__cro_h2o__2,3.5243760347,0.0823465979,0.08404858080000001,1.2346799578,-1.5787237146000002,-0.4253322949,-1.1011914295,0.4784042827
abx_mega__cro_h2o__3,3.8092898054,-0.21446519260000002,0.014220288800000001,0.5304175659,-1.5363409356000002,-0.40653318660000004,-0.7682331549,-0.1817873103
abx_mega__gen_h2o__2,-0.28432453,0.5545946817,-5.4271297658,-0.48062680010000003,3.3245249795,0.5058802737,-0.1139160159,-1.6733663526
abx_mega__phos_h2o__4,2.6768898830000003,-0.1556899832,-2.1347973825,1.4968619098,1.3672523569,0.058172736600000004,-0.5812635049,-1.4923286758
abx_mega__metro_dmso__2,0.7789271108,0.40866825960000003,0.1241881737,-0.2002604006,-0.2511288672,-0.3005954981,0.34962264260000003,0.0575286216
abx_mega__ery_h2o__2,0.3879330733,-0.0307498051,0.6514211433,-1.8801459853,-1.2241393744,0.095882878,1.3161354993,2.0216415702
abx_mega__sacet_h2o__1,-0.6662249152,1.8984960352,-1.2290970377,1.5862913974000001,2.2712715973,-0.9136579141000001,-0.3944191764,-1.5202731443
abx_mega__nal_naoh__5,0.4352387784,0.11935505780000001,-0.3095138114,-0.2314427329,-1.1236160881,-0.7939913125,0.0306528923,-0.37419296630000004
abx_mega__bacit_h2o__4,0.8542405442000001,-0.7716038602,-3.3963695321,-0.6522742559,0.16848949670000002,-0.0712362409,-1.1975083431,0.6656975378000001
abx_mega__cip_naoh__3,2.1066079586,-0.1062377801,-0.006235324,-0.49739226270000003,-1.2601444012,-0.1621612355,0.5611618831,-0.285459375
abx_mega__ethanol-8__1,3.1675679325,-0.0429042057,0.12707968420000001,0.6304378737,-1.4558741109,-0.0158619037,-0.4580394967,-0.5478844172
abx_mega__h2o-8a__1,-1.2406030408,-0.1697118587,0.2065048893,-0.1934353014,-1.5760854295,-0.0407747313,0.9441150572,-0.9426291372000001
abx_mega__ery_h2o__3,-1.8144345241000002,-0.046749594000000005,1.0557329767,-1.5593456345,-1.4715961776,-0.2011381768,0.8560452596,2.365706667
abx_mega__flavo_dmso__2,4.3449008107000004,0.060263538500000005,0.2214268097,1.3837328354,-1.5589412839999999,-0.571705648,-1.3447048369,0.44815050570000003
abx_mega__rif_dmso__4,1.6556344739000002,-1.4686879149,-0.3504350666,1.0818833664,0.3994912939,0.5616910901000001,-0.1917818249,2.2319022165
abx_mega__novo_h2o__5,2.3356198645,0.2258676651,-2.7753189692999998,-1.3957788496,-0.9678017240000001,-2.1742655912,-0.4538369612,0.9714924580000001
abx_mega__teix_dmso__5,1.5134305381000002,-0.0180107938,0.2172820481,0.2339403894,-0.9608040567,-0.1130217979,0.2690134337,-0.3183097434
abx_mega__naoh-2__1,0.8141830511,0.12440957970000001,-0.6120320406,1.5570266128,1.2447894583,-0.7274217628,-0.6730369657,0.4595702441
abx_mega__novo_h2o__6,0.2690788981,0.7205527484,-2.1435260193,-2.0014040988,-1.191436742,-2.278213256,-0.12628103940000002,0.3188663069
abx_mega__ctx_h2o__3,3.1848610281,-0.064859922,-0.1295221233,0.6053981366,-1.9337324817,-0.6882414568,-1.351614657,-0.29555656550000003
abx_mega__rach_dmso__3,2.9073644106,-0.0946227506,-0.2194067828,1.604092458,-1.1366547883,-1.3066296088,-1.9709263086000002,0.3466464765
abx_mega__valin_dmso__2,3.6542324572,-0.1504039911,-0.4133308842,0.6228761494,-0.7399595053,-0.8226361050000001,0.0161469828,-0.1199930824
abx_mega__amyc-d_dmso__6,-3.0788956214,1.0932260792,-0.5270457155,-0.8243217897,0.923138631,2.1943823936,1.3459001342999999,1.8591924979
abx_mega__dox_dmso__2,2.4847621253,-0.3495048284,0.0187277888,-0.6210031891000001,-0.6534829936000001,0.3364447853,-0.548479059,-0.8229845064
abx_mega__teix_dmso__6,0.7975174848000001,-0.19216870800000002,0.0471940184,0.46369876390000003,-1.1495585992,-0.32548817700000005,-0.6127239321,-0.0098665728
abx_mega__naoh-6__2,1.2735202617999999,0.2508705046,0.06383159940000001,0.0115520281,-0.3206835072,-0.0572439946,0.1230922574,-0.22942625560000002
abx_mega__inh_h2o__2,-2.4313444813,1.0236963855,-1.3319311646,-1.044426633,-0.8808770448000001,0.9599814641000001,-0.5702290436,-0.6399566405
abx_mega__chl_h2o__3,-3.2033243391,0.8645055481,0.8869315514,-0.46185970600000004,-2.0232756272,0.8907982246,0.1229693956,0.4801023406
abx_mega__nal_naoh__6,0.9486855241000001,0.1051428429,-0.1895489367,-0.3703789377,-1.1867332256,-0.2457727821,-0.17247340900000002,-0.30825317760000004
abx_mega__chl_dmso__2,0.92277883,0.2708431966,-2.5762372585,-1.1513063757,-0.9006154946,0.4003051926,-0.2841610572,-0.5175083398
abx_mega__rach_dmso__4,3.9088713598,0.2606390819,-0.4694516748,1.4684025725,-1.631366638,-1.0962010883,-1.1338164168,-0.2185033082
abx_mega__teix_dmso__7,1.502984938,0.3504676022,0.4069309336,0.3922415131,-1.033868219,-0.1483909361,0.0702058415,-0.2470005291
abx_mega__ceru_ethanol__1,1.7757705302,1.4535275098,-0.3228416099,0.6149460887,-0.7600665551,0.3407571019,-0.6530692228,-1.695413108
abx_mega__dmso-7__1,3.624388727,0.0944210472,0.3160195196,1.2176890491,-0.4911206664,-0.4340730082,-0.7286710676,-0.0019591802
abx_mega__naoh-6__3,1.2589528896,0.2067024995,0.16985497530000002,0.0786879999,-0.30821672310000003,0.0149469388,-0.08947879090000001,-0.41536759040000004
abx_mega__phos_ethanol__2,1.5112347851,0.5219782296000001,0.7145446211,0.4392596675,-1.1953659872,0.3048665491,0.37628155220000004,-0.2445014006
abx_mega__metro_dmso__3,0.17064136300000002,0.5121052174,0.10043686900000001,-0.2137913818,-0.137280135,-0.41623245750000004,0.10654146490000001,-0.24004343990000002
abx_mega__van_dmso__4,-0.5008014094000001,0.28659288180000003,-1.0968315312,-0.9419717976,1.2171043994,0.287914174,-0.5204822863,0.13992067500000002
abx_mega__h2o-10__1,-0.3049236468,0.2130377387,0.1534776173,0.1814334535,-1.5275886062000001,-0.39581197770000004,-0.5227066614,-0.722319177
abx_mega__h2o-10__2,0.1362804545,0.1522575818,0.4429498888,0.48796528650000004,-1.9308061206,-0.018352238400000002,-0.5577824179,-0.4136282455
abx_mega__dmso-6__3,2.5174652631,-0.35454569550000004,0.0131545627,0.3898016124,0.33441959600000004,-0.2326673726,-0.2752435944,-0.5687207573
abx_mega__mem_dmso__1,4.2656519719,-0.3062884087,0.3213024161,0.9646124930000001,-1.6562199957,-0.2546286108,-1.0213914401,0.483350804
abx_mega__ethanol-8__2,3.0277461413,-0.0252304237,-0.0302465963,0.3186268997,-0.9106399612,0.3950960525,-0.1277657602,-1.2496100656
abx_mega__chl_h2o__4,-3.649745935,0.7271274121,1.1739271801,-0.6661033798,-1.9080504914,0.8610139065,-0.0778258473,0.5186651994
abx_mega__van_h2o__1,1.6343275252,-0.903332961,-1.6613654743000001,-0.5742892551000001,-0.9515812199,-0.6986074468,-0.6352693246000001,0.9782994344
abx_mega__dcs_h2o__1,1.5284986329999999,0.6936041281,0.4405296272,0.2068721395,-1.2671154485,-0.0320350164,0.2200507515,0.2113714276
abx_mega__rif_dmso__5,1.4510677786000001,-0.7666040526,0.2476099294,0.8425442237,-0.0163777134,0.5155815996,0.059526114000000005,0.5784329789
abx_mega__dox_dmso__3,2.0544272865,0.2468405504,1.6616152994000002,0.10017048020000001,-1.1819124107,0.5002942189,0.47240325390000004,0.3899879865
abx_mega__mem_dmso__2,-0.2144335164,-0.4892115863,-0.4419209753,0.6332738483,-0.8976499983,-0.1905824414,0.47358810970000004,-0.12475402370000001
abx_mega__lvx_dmso__2,1.5535990721,-0.129152751,0.1712580785,-0.0869541332,-0.7905816784,0.1163194805,0.2789945636,-0.440646719
abx_mega__tet_h2o__2,-2.2396567606,0.2983443387,1.040503405,-0.46924192730000003,-0.8527907562,1.7408995561,1.9167743804000001,0.9389394508000001
abx_mega__phos_h2o__5,-2.9027574947,0.12871355610000002,-2.0588765365,1.6275674107,1.3728449627,-0.4592834108,-0.2186596848,-0.7376719052
abx_mega__monac_dmso__1,-1.9964262431000002,1.4088048351,-1.6912800863,0.0717431857,0.5807675425000001,-0.1690616091,-1.3127952883,0.3206533466
abx_mega__str_h2o__3,0.9344971654,0.08708125080000001,-0.16340206810000002,0.1418999508,-1.8941859509,-0.2498896414,-1.482931088,-0.8841602868
abx_mega__zeocin_h2o__2,3.7633688599,-0.42460153910000004,-2.0722140842,1.3045613756,0.3180122541,-0.5528055072,-0.1835715239,-1.0325870926
