,A,Fnr,flhD,NarL,ihfB,NarP,NsrR,Fis
R2,,0.1001404591836389,0.03308850162003496,0.016648030670375236,0.011058384805296972,0.005920772155895815,0.0054985519509819225,0.0053850984835728255
xmin,,-7.8525940196,-7.0720007684,-3.0560450505,-3.9178110457,-3.4636144832999998,-3.3695472206,-4.8936592304
xmid,,-0.22430438287897128,,,0.5209752956565616,-0.4253255107748757,3.0870641220125425,
xmax,,4.4171410107,3.5625693591000003,2.4694155805999998,3.3245249795,2.9757521876,5.797296702,4.361795663
ystart,,0.5756679101296693,-1.0508069664022825,-0.41966037863290795,0.3334296795360916,0.4022741588348615,0.2576397007928992,-0.17846628133027015
yend,,-4.790433765580697,0.9948808383991965,0.9262277893030664,-1.43199475593886,-0.3411101590232976,1.3788119048892455,0.7163477995377285
aat__00m_00s__1,-1.2668888247,-0.0825740115,-0.0382576976,0.0834143878,-0.1131958483,-0.025949787000000002,-0.2207476343,0.1452799267
aat__00m_30s__1,-0.5667710063,0.16485310350000001,-0.2732545799,0.0504933555,0.0772468121,-0.0137519644,-0.5463815679,0.032152022100000004
aat__01m_00s__1,-0.0006776226,0.7752711503,-0.8198496909,0.031696480900000004,0.0671979825,0.0609692344,-0.2351401063,-0.11344229280000001
aat__02m_00s__1,-0.4802481658,0.9066270852,-1.0585565025,-0.0029696078000000002,-0.031233225400000002,-0.10841500300000001,-0.5788017455000001,-0.6030691047
aat__05m_00s__1,-2.1165434798,0.95171602,-1.1270911982,-0.3118176763,0.0201842575,-0.2022767549,-0.9354173704000001,-0.7040569003
aat__10m_00s__1,-3.1230097976,1.0192587317,-1.3640907807,-1.1250431231,-0.1696861744,0.122656549,-0.8477942645000001,-0.3000441569
aat__00m_00s__2,-0.6834285299,0.1234264677,-0.0877372101,0.0253800388,0.030994294500000002,-0.25349993590000003,0.11996087350000001,-0.1565872788
aat__00m_30s__2,-0.7699418321,0.4334180231,-0.3183074932,-0.0159687598,0.0539088152,0.11107518100000001,-0.5137669567,0.0544366627
aat__01m_00s__2,-0.8540672761,0.7979562918,-1.5097918652,0.11729304230000001,0.1097352022,-0.056693302200000004,-0.2228296512,-0.2428967066
aat__02m_00s__2,-1.3625769023,0.8964971719,-1.6680735503,-0.0645860458,0.2340397233,-0.3977770989,-0.3971529525,-0.7952871017
aat__05m_00s__2,-3.1969197929,0.9047534472000001,-1.8356164874,-0.4360385312,0.2579735379,-0.2185532135,-0.4851082459,-1.2037749275
aat__10m_00s__2,-2.9350213652,0.9185125141,-2.3199326431,-0.7155510694,0.5504911606,-0.0581421639,-0.5183309043000001,-0.8523048087
aat__00m_00s__3,1.9503173546,-0.040852456200000005,0.1259949077,-0.10879442660000001,0.0822015539,0.27944972300000004,0.1007867608,0.011307352100000001
aat__00m_30s__3,-0.5413366425,0.2208704434,0.0340542969,0.004012204,0.4189166854,0.181212162,-0.2326454443,0.29622605760000004
aat__01m_00s__3,0.0817235754,0.7920547098,-0.4242191301,0.1317350897,0.2529822276,0.0720095186,-0.288216446,0.0283022157
aat__02m_00s__3,-0.5406081585,0.8818752216,-0.9449499442,0.0470774695,0.39341672120000004,-0.12842398730000001,-0.3433618417,-0.43191519440000004
aat__05m_00s__3,-1.8425446929,0.9825066807,-1.2000456048,-0.5255995358000001,0.2673414086,-0.21288096950000002,-0.8496726533000001,-1.1986122972
aat__10m_00s__3,-2.7349067935,0.9444446514,-1.7127137974000002,-0.9168248342,0.42329341260000003,-0.1782494413,-0.2456434827,-1.2380068344
abx_mega__dmso-2__1,2.8560255934,0.0403637158,-0.9255071151,1.9154446272,2.297485246,-0.4338146809,-1.2571186993999999,-0.1179993382
abx_mega__ery_dmso__1,-0.2124933621,0.5459244040000001,-0.7657864959,-0.7280519322,-1.5657193052,-0.1175039434,0.9077618066,0.7771395971
abx_mega__nal_naoh__1,-2.0735149269,-0.6791990309,-2.4365460475000003,1.1947183288,1.171465281,-1.0752569035,-0.948976938,0.1724641512
abx_mega__dmso-5__1,1.9068246108,0.0078028844000000005,0.0226470931,0.1780909309,0.294111116,-0.1711096228,-0.0532087793,-0.4379147116
abx_mega__rif_dmso__1,0.7242360721000001,-1.3129271236,-0.0072364669,1.2955909793,0.9331627303000001,0.48338741570000004,-0.8151296348,1.7759768752
abx_mega__novo_h2o__1,-0.6167118518,0.20689053170000002,-4.3584411613,-1.6319055235,-1.5948301920999999,-1.8476087346,-0.6689488431,0.1268043401
abx_mega__rach_dmso__1,1.5265465650999999,-0.045048951000000004,0.7017636168,0.4734941154,-0.6969566792,-0.4523160888,0.3183604848,0.08683377910000001
abx_mega__metro_dmso__1,2.0252514345,0.4656249649,-0.2450918176,-0.1664938681,-0.24371025970000001,-0.36014899040000004,0.0799654781,0.147434414
abx_mega__dmso-6__1,2.6781553558,-0.3784852643,-0.0339004138,0.5350788069,0.3294536628,-0.4676117134,0.059539330800000005,-0.7709696535
abx_mega__chl_h2o__1,-1.8193699058,0.3019332691,-1.7914813412,-1.1516025581,-1.0253066066,0.4629083968,1.4410314397000001,1.8644089753
abx_mega__cst_h2o__1,2.7329972262,0.0320312785,0.47528773360000004,0.2589008747,-1.1929652783,0.0851830803,0.3169623364,-0.3006031253
abx_mega__tec_h2o__1,1.3219490211,-2.6112045671,-6.3287632435,0.6985329095,0.8805616572,-0.8365717475000001,-1.6052379932,0.5347225265000001
abx_mega__str_h2o__1,-1.0514394101,0.2482154852,-2.0025559367,1.5091314717,1.9132335694,0.5061302001,-0.1461348632,-0.315531422
abx_mega__ctx_h2o__1,1.3536041633,0.0230880885,0.8020303577,0.0599282165,-1.1279696429000001,0.3847222361,0.7432808225,-0.27706315800000003
abx_mega__nal_naoh__2,-1.1833236898,0.3075812793,-0.1760221155,-0.3923176547,-0.9605612867000001,-0.06551305810000001,-0.2166065815,-1.0515561892
abx_mega__phos_h2o__1,2.9359676443,-0.7038356709,-1.2812287982,-0.4271510985,-0.7856317823000001,0.2361240816,-0.1369015042,0.45988812300000004
abx_mega__dmso-5__2,2.4666691798000002,-0.2244639849,-0.047958574100000005,0.2821523801,0.10447339950000001,-0.2733503608,-0.7326129115000001,-0.1227531806
abx_mega__polmyx_h2o__1,1.0640301189,0.32801548280000004,0.06273733840000001,0.07094828710000001,-1.1566112913,0.3720560761,0.166517724,-0.7439088252
abx_mega__h2o-8b__1,1.4747582222,-0.0363903054,0.040339321000000004,0.19399510790000002,-0.5151260577,0.1109293113,0.3759936703,-0.3382359766
abx_mega__h2o-6__1,1.5220295681,0.1539794799,0.2604155429,0.0642121101,-0.3442757495,0.0975458241,0.0522659552,-0.46712865400000003
abx_mega__thio_dmso__1,-0.7891067306,-0.315089026,0.4108135992,-0.07041621590000001,-2.3813583609,-0.1415011829,-0.30502947610000003,1.2231535145
abx_mega__phos_h2o__2,1.0132833354,-0.19593564700000002,-0.410395599,0.2387249998,-1.0600417401,0.2943684521,0.30969323190000003,-0.8780742082
abx_mega__ctx_h2o__2,3.8627392149,0.1826918599,-0.3351232118,0.4765491027,-2.7828060503,-0.1182591057,-1.4834810803,-0.3190684022
abx_mega__lzd_dmso__1,-0.0582504376,0.6125076868,0.7158480443,-0.9480551533,-0.938501404,0.21852763760000002,0.759732116,0.9380870463000001
abx_mega__naoh-9__1,1.1384795802,0.518483773,0.4134592559,0.3874315129,-1.1086632386,0.3719915205,0.7035451895,-0.5544290879
abx_mega__dox_dmso__1,-1.5804907747999999,0.6077452839,1.5692669112000002,-0.30677911280000003,-1.5186830960000002,0.8872135585,0.4149064598,0.499138858
abx_mega__phos_ethanol__1,1.7287646656,0.7489705412000001,0.6637785565000001,0.45546757130000004,-1.0835463994,0.3886492084,0.47671043430000004,0.1323222643
abx_mega__teix_dmso__1,0.229031062,-1.2905505804000001,-3.1494975245,0.8811496315,-0.2108301915,-1.1287978512,-1.6526408947,0.2073111051
abx_mega__dmso-10__1,1.0230820069,0.4743514224,0.4066258869,0.5259159415,-1.1932094615,0.1035965041,0.25232027760000003,-0.25733282500000004
abx_mega__van_dmso__1,-2.2999810116,0.8302627999000001,-1.2742907023,-1.1704676525,0.5828825608,1.1049926991,0.44411644110000004,-0.43288717800000004
abx_mega__ramo_h2o__1,2.1343279357,-0.8002749045,-0.6859030291,-0.1456506972,-0.9701385051,0.0806093745,-0.7487147498000001,-0.1847626776
abx_mega__tec_h2o__2,2.9847512928,-1.6551107114999999,-3.4972278364,-0.0240085228,-0.8524414069,0.0014017051,-0.0278641568,0.9230981104
abx_mega__h2o-7__1,2.5790055397,0.21844817860000001,-0.0243372955,0.5443759374,-1.405760481,-0.1979834949,-1.8046369100000001,0.418788309
abx_mega__cro_h2o__1,3.0124106391,0.0879280571,0.052015979600000005,0.9783104235000001,-2.0779262437,-0.1569156836,-1.2122543403,0.2659133738
abx_mega__tric_ethanol__1,0.4974292159,0.8900785727,-0.6678377496,0.7166860521,-0.1903310601,0.3661053718,-0.9650439825,-1.8737666673
abx_mega__nor_naoh__1,1.5953884832,-0.0313845657,-0.2088230942,-0.0818044565,-1.0812140072,-0.2629685692,-0.0833587065,-0.7529405576
abx_mega__teix_dmso__2,2.6701670485999998,-0.4150383489,-0.3703726289,0.2538442496,-0.026524093000000002,-0.4385959025,-0.9951298784,0.40104904210000003
abx_mega__nal_naoh__3,0.4295137048,0.2272209504,-0.0336465175,-0.32002223220000003,-1.0022560843,-0.28319217420000004,-0.1863491189,-0.5866514008
abx_mega__novo_h2o__2,0.4641377908,0.16806743940000002,-3.6555873421,-1.4231800896,-1.7171008209,-1.6058511883,-0.4984894287,0.1670368142
abx_mega__dmso-10__2,0.845987593,0.40832126950000003,0.41571797380000003,0.371962511,-0.8705550239000001,0.21582440830000002,0.2394244744,-0.18329488400000002
abx_mega__phos_h2o__3,1.4966654234,0.0877333852,0.040740959,0.040928029000000005,-0.6341559143000001,0.1165515869,0.1168794321,-0.44714341750000003
abx_mega__dmso-6__2,2.4235865822,-0.1654402185,0.4771166754,0.3072546497,0.5477587571,-0.2907956102,-0.15490831100000002,-1.1044765928
abx_mega__rfp_ethanol__1,-3.5812921291,-0.12067474560000001,0.2040171285,0.3371132867,-1.3179166312000001,-0.4398574484,-1.2126126689,2.01999203
abx_mega__dmso-5__3,2.5290260827999997,0.1613415464,-0.3127311225,0.3899857407,-0.09633023900000001,-0.3527733799,0.1916600448,-0.11737753790000001
abx_mega__amyc-d_dmso__1,-1.6806087123,0.257224454,-0.6723734014,-1.9056921008,0.6487792296,1.3288510418000001,1.1935890698,1.1007515523
abx_mega__sxt_dmso__1,3.4957511871999998,0.047755995,0.45815496310000003,1.3605355026,-1.398343179,-0.7089910410000001,-1.8055287487,-0.1059151671
abx_mega__dmso-1__1,1.5058837174000002,-0.1308553567,-0.19542334520000001,-0.1621879518,-0.0548211138,-0.2711287174,-0.397322789,-0.1809852853
abx_mega__pen_h2o__1,1.7695107937999999,-0.3609283863,0.2662724112,-0.4011629601,-0.4764255264,-0.5093581558,-0.5123824087000001,-0.4078044901
abx_mega__dmso-10__3,1.1116749261,0.20815252,0.5706940822000001,0.6602530221,-0.9915859493,0.0364477442,-0.0186931896,-0.4056936109
